"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
426.5,155.6,81.8,89.8,37.3,45,115.8,288,-36,21,0.3,-941.8,3.3,0.1,1.3,98.6,29.9,27.1,"Hip.","02","TV","Térreo","AFN","L","Dorm. N","Curitiba"
427.9,179,62.2,-13,35.7,87,85.7,195.4,-46.8,21,0.1,-851.3,3.1,0,2.4,97.5,28.8,26.5,"Hip.","02","TV","Térreo","AFN","L","Dorm. S","Curitiba"
765.1,125.7,92.5,38.6,6.7,56.8,91.1,193.2,-87.2,37,0.1,-1105.2,2.8,14.7,0,85.3,29.4,26.7,"Hip.","02","TV","Térreo","AFN","L","Sala","Curitiba"
437.4,222.9,136.8,164.2,132.1,75.9,113.1,485.3,-44.4,28.4,0.4,-1268.9,3.3,0,0.1,99.9,29.2,26.4,"Hip.","02","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
437.8,226.7,145.1,129.6,170.1,55.5,188.8,543.9,-41.6,28.9,0.4,-1345.3,3.6,0,0.1,99.9,28.9,26.2,"Hip.","02","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
791.6,176.5,178,115.2,0,74.8,109.5,403.3,-95.4,57.4,0.4,-1506.2,3,14.2,0,85.8,29.6,26.3,"Hip.","02","TV","Térreo","AFN","NE","Sala","Curitiba"
437.3,222.3,137.1,164.3,113.7,76.1,135.4,489.4,-44.4,29.4,0.4,-1273.9,3.3,0,0.1,99.8,29.2,26.4,"Hip.","02","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
437.8,226.7,145.1,129.6,190.5,55.5,168.2,543.7,-41.6,28.8,0.4,-1345.1,3.6,0,0.1,99.9,28.9,26.2,"Hip.","02","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
791.6,176.4,177.9,115.2,111.2,74.8,0,403.1,-95.5,57,0.4,-1505.5,3,14.2,0,85.8,29.6,26.3,"Hip.","02","TV","Térreo","AFN","NO","Sala","Curitiba"
438.9,257.3,107.4,0.5,103.8,158.8,91.8,354.9,-56.9,22.3,0.1,-1131.6,3.1,0,0.3,99.7,27.5,25.6,"Hip.","02","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
439.3,258.5,114.5,1.1,136,124.9,147.6,409.6,-54.8,23.4,0.2,-1199,3.3,0,0.2,99.8,27.2,25.5,"Hip.","02","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
803.2,210.4,110,-40.4,0,98.7,65.1,190.8,-123.3,36.6,0.1,-1217.9,2.6,7.3,0,92.7,28.5,25.6,"Hip.","02","TV","Térreo","AFN","SE","Sala","Curitiba"
438.8,257,108,0.8,92.1,159.3,108.7,361,-56.9,22.4,0.1,-1138.3,3.1,0,0.3,99.7,27.5,25.5,"Hip.","02","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
439.3,258.4,114.5,1.1,147.7,124.8,135.9,409.6,-54.8,23.4,0.2,-1199,3.3,0,0.2,99.8,27.2,25.5,"Hip.","02","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
803.2,210.2,110,-40.4,65.6,98.7,0,190.9,-123.3,36.5,0.1,-1217.8,2.6,7.3,0,92.7,28.5,25.6,"Hip.","02","TV","Térreo","AFN","SO","Sala","Curitiba"
425.1,152,86.7,99.7,121.3,45.9,69.1,336,-36.5,23,0.4,-992.1,3.4,0.4,1,98.6,30.9,27.3,"Hip.","02","TV","Térreo","AFN","O","Dorm. N","Curitiba"
426.5,175.5,65.4,-10.7,89.3,97.3,71.2,247.1,-47.5,23.3,0.1,-904.6,3.2,0.3,2.3,97.5,30.1,26.8,"Hip.","02","TV","Térreo","AFN","O","Dorm. S","Curitiba"
754.8,131,115.2,49.5,112.5,66.7,78.9,307.6,-77.9,48,0.3,-1260.1,2.9,22.5,0,77.5,31.1,26.6,"Hip.","02","TV","Térreo","AFN","O","Sala","Curitiba"
319.8,167.7,92.3,100.3,76,58.3,128.5,363.2,-30.6,23.8,0,-939.2,3.9,66.3,0,33.7,35.8,33.4,"Hip.","02","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
323.7,198.4,73,2.8,79.9,99.7,97.3,279.7,-38.5,24.7,0,-877.7,3.8,60.2,0,39.8,35.7,32.6,"Hip.","02","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
605.9,145.3,127.2,55.1,75,75.6,120.6,326.3,-67.4,50.6,0,-1173.1,3,90,0,10,35.4,32.9,"Hip.","02","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
329.7,245.6,148,178,145.1,93.8,119.8,536.8,-35.9,31.2,0.1,-1259,3.9,70.4,0,29.6,35.3,32.7,"Hip.","02","TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
330.4,250.6,155.5,139.8,178.9,67.9,204,590.7,-33.1,30.6,0.1,-1330.7,4.1,71.2,0,28.8,35,32.6,"Hip.","02","TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
635.1,221.7,215,143.4,0,121,136.4,530,-73.4,71,0.1,-1604.4,3.2,93.2,0,6.8,35.1,32,"Hip.","02","TV","Térreo","AFN","NE","Sala","Rio de Janeiro"
329.6,246,147.9,178.1,119.7,94.1,145.9,537.9,-35.7,31.4,0.1,-1260.8,3.9,70.4,0,29.6,35.3,32.7,"Hip.","02","TV","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
