"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-1.30000000000001,-14.4,2.39999999999999,6.6,5.1,-0.5,13.7,0.900000000000006,0.300000000000001,0,1.60000000000002,0,0,-0.3,0.299999999999997,-0.199999999999999,-0.199999999999999,"Hip.","03","C10","Térreo","AFN","L","Dorm. N","Curitiba"
-0.300000000000011,-9.09999999999999,14.3,4.7,5.5,0.900000000000006,-0.399999999999991,10.9,0.200000000000003,0.300000000000001,0,-15.9,0,0,-0.5,0.5,-0.100000000000001,0,"Hip.","03","C10","Térreo","AFN","L","Dorm. S","Curitiba"
-1.19999999999993,-5.09999999999999,-20.5,3.5,9.8,-2.2,34.2,45.2,1,-12.1,0,-7.20000000000005,0,1,-0.1,-1,-0.0999999999999979,0.100000000000001,"Hip.","03","C10","Térreo","AFN","L","Sala","Curitiba"
-0.0999999999999659,-0.900000000000006,-24.4,22.5,-1.40000000000001,6.2,-1.2,26.2,1.1,-0.100000000000001,-0.3,1.90000000000009,0,0,-0.3,0.299999999999997,-0.199999999999999,0,"Hip.","03","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
0.100000000000023,0,-27,18.8,-1.5,5.4,-3.59999999999999,19.1999999999999,1.5,-0.199999999999999,-0.3,9.70000000000005,-0.1,0,0.1,-0.0999999999999943,-0.299999999999997,-0.100000000000001,"Hip.","03","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.5,-4.5,-70.4,71.1,0,5.9,-5.3,80.5,1.10000000000001,-16.7,-0.3,17.4000000000001,0,-1.1,0,1.09999999999999,-0.300000000000001,-0.0999999999999979,"Hip.","03","C10","Térreo","AFN","NE","Sala","Curitiba"
-0.100000000000023,-0.900000000000006,-24.8,23.6,-1.19999999999999,5.89999999999999,-1.90000000000001,26.4,1,-0.199999999999999,-0.3,2.60000000000014,0,0,-0.3,0.300000000000011,-0.199999999999999,0,"Hip.","03","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
0.100000000000023,-0.100000000000023,-26.9,18.7,-3.5,5.3,-1.59999999999999,18.8,1.4,-0.299999999999997,-0.3,9.90000000000009,-0.1,0,0.1,-0.0999999999999943,-0.299999999999997,-0.100000000000001,"Hip.","03","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.5,-4.29999999999998,-70.6,71.2,-5.3,5.9,0,80.5,1.10000000000001,-16.6,-0.3,17.3000000000002,0,-1.1,0,1.09999999999999,-0.200000000000003,-0.0999999999999979,"Hip.","03","C10","Térreo","AFN","NO","Sala","Curitiba"
0,-1.90000000000001,11.2,11.1,5.30000000000001,-45.1,1.69999999999999,-26.9,1.6,0.300000000000001,0.2,18.0000000000001,-0.1,0,-0.4,0.400000000000006,0,0.100000000000001,"Hip.","03","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
