"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.9,12.2,4.2,2.9,-14.8,-8.2,9.1,-11,-7.5,0.7,0,-1.9,1.6,-41.3,1.6,2.4,"Hip.","00","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
44.7,5.4,-0.2,-15.3,-10.9,5.3,3.7,-17.3,-7.7,0.9,0,-1.6,3.6,-28.2,3.6,0.9,"Hip.","00","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
51.2,19,7.8,2.5,-4.7,6.1,10.3,14.2,-6.4,3.9,0,-2.1,0,-88.4,0,44.7,"Hip.","00","C10","Intermediário","HVAC","L","Sala","Curitiba"
33.3,15.6,6.7,4.5,4.3,-9.2,5.2,4.8,-8,1.3,0,-1.7,0,-51.3,0,1.8,"Hip.","00","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
33.1,17,7.7,3.2,7.4,-6.9,10.5,14.2,-8,1.3,0,-1.7,0,-62.7,0,1.9,"Hip.","00","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.4,28,13.1,7.4,0,-0.1,9.6,24.5,-6,4.7,0.1,-1.2,0,-103.5,0,47,"Hip.","00","C10","Intermediário","HVAC","NE","Sala","Curitiba"
33.2,15.8,6.8,4.5,5.2,-9.2,5.1,5.6,-8,1.4,0,-1.7,0,-52.6,0,2.1,"Hip.","00","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
33.1,17,7.7,3.2,10.6,-6.9,7.3,14.1,-8,1.2,0,-1.7,0,-62.7,0,1.9,"Hip.","00","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.4,28,13.1,7.4,9.6,-0.1,0,24.5,-6,4.6,0.1,-1.2,0,-103.5,0,47,"Hip.","00","C10","Intermediário","HVAC","NO","Sala","Curitiba"
33.9,6.6,1.8,-16,1.7,7.6,2.7,-4,-7.9,0.6,0,-1.5,0.7,-30.1,0.7,0.3,"Hip.","00","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
