"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,7.4,3.2,0.5,13.1,6.4,-1,19.2,-2.7,0.9,0,-27.4,0.4,2,-6,3.89999999999999,3.7,2.5,"Hip.",0,"SF","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.299999999999997,4.5,2.3,10.2,6.3,-3.9,0.199999999999999,12.8,-1.8,1,0,-20,0.4,0.7,-8.3,7.5,1.8,1.5,"Hip.",0,"SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-1.5,6.3,4,4.8,12,2.4,3.5,22.7,-2.3,1.4,0,-29.6,0.5,16.4,-2.9,-13.5,4.1,2.3,"Hip.",0,"SF","Intermediário","AFN","L","Sala","Curitiba"
-0.300000000000004,6.1,2.7,1.9,1.9,7.8,-1.9,9.6,-2.5,0.5,-0.1,-16,0.3,2.3,-3.5,1.3,4.9,3.1,"Hip.",0,"SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.200000000000003,5.2,1.8,1.5,-2.2,5.6,-1.2,3.6,-2.3,0.4,-0.1,-8.99999999999999,0.0999999999999996,2.2,-1.2,-1,5.1,3.1,"Hip.",0,"SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1.1,7.2,3.9,5.5,0,8.3,3,20.8,-2,1.4,0,-30.6,0.4,20.6,-0.1,-20.5,3.2,1.9,"Hip.",0,"SF","Intermediário","AFN","NE","Sala","Curitiba"
-0.200000000000003,5.9,2.5,1.9,-1.7,7.8,0.6,8.5,-2.5,0.5,-0.1,-14.7,0.2,2.2,-3.5,1.3,4.6,3,"Hip.",0,"SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.200000000000003,5.2,1.9,1.5,-0.899999999999999,5.6,-2.4,3.8,-2.3,0.5,-0.1,-9.20000000000002,0.0999999999999996,2.2,-1.2,-1,5.2,3.2,"Hip.",0,"SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1.1,7.2,3.9,5.5,3.3,8.3,0,20.9,-2,1.4,0,-30.7,0.4,20.6,-0.1,-20.5,3.2,1.9,"Hip.",0,"SF","Intermediário","AFN","NO","Sala","Curitiba"
-0.100000000000001,3.9,1.7,10.4,0.600000000000001,-4.7,-1.4,4.9,-1.6,0.4,0,-9.7,0.2,0.6,-5.6,5.09999999999999,2.3,1.7,"Hip.",0,"SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.100000000000001,3.4,1.2,7.5,-1.6,-3.4,-0.5,2,-1.4,0.5,0,-6.5,0.1,0.5,-3.9,3.39999999999999,2.6,1.7,"Hip.",0,"SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.900000000000006,4.6,2.6,9.8,0,0.0999999999999996,2.3,14.1,-1.6,0.7,0,-19.4,0.5,13,-2.9,-10.1,2,1.5,"Hip.",0,"SF","Intermediário","AFN","SE","Sala","Curitiba"
-0.100000000000001,3.8,1.5,10.4,-1.3,-4.6,-0.4,4,-1.5,0.4,0,-8.69999999999999,0.2,0.5,-5.5,5,2.3,1.7,"Hip.",0,"SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.100000000000001,3.4,1.2,7.5,-0.4,-3.4,-1.6,2,-1.4,0.5,0,-6.40000000000001,0.1,0.5,-4,3.5,2.6,1.7,"Hip.",0,"SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-0.900000000000006,4.6,2.6,9.9,2.2,0.0999999999999996,0,14.1,-1.6,0.7,0,-19.3,0.5,13.1,-2.9,-10.2,2,1.5,"Hip.",0,"SF","Intermediário","AFN","SO","Sala","Curitiba"
-0.399999999999999,6,2.9,-1.3,-0.399999999999999,7,8.8,14.3,-2.6,0.9,-0.1,-21.4,0.3,1.6,-5.5,3.89999999999999,2.8,2.4,"Hip.",0,"SF","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.100000000000001,3.6,2.2,10.7,0.799999999999999,-5.6,1.7,7.7,-1.6,1.1,0,-14.1,0.2,0.4,-6.4,5.90000000000001,1,1.2,"Hip.",0,"SF","Intermediário","AFN","O","Dorm. S","Curitiba"
-1.8,7.4,4.2,5.8,6.5,3.5,10,25.9,-2.2,1.6,0,-34.4,0.5,17.9,-2.4,-15.5,3.2,1.6,"Hip.",0,"SF","Intermediário","AFN","O","Sala","Curitiba"
-1.2,6.6,3,0,9.6,5.8,-0.899999999999999,14.5,-2.7,1,0,-20.3,0.2,8.8,0,-8.8,3.90000000000001,2.6,"Hip.",0,"SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.799999999999997,4.1,2,8.9,1.2,-4.9,0.6,5.9,-1.4,1.2,0,-12.8,0.2,5.5,0,-5.5,1.59999999999999,1.2,"Hip.",0,"SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-1.8,6.7,4.1,5,9.4,2.3,5,21.6,-2.3,1.4,0,-28.4,0.3,7.60000000000001,0,-7.6,3.4,2.7,"Hip.",0,"SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
-0.600000000000001,5.3,2.6,2,0.9,6.5,-1.7,7.6,-2.7,0.4,0,-12,0.1,4.19999999999999,0,-4.2,4.3,3.2,"Hip.",0,"SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.399999999999999,4.8,2,1.6,-2,4.7,-1.3,2.9,-2.5,0.4,0,-6.8,0.0999999999999996,1.19999999999999,0,-1.2,4.5,3.2,"Hip.",0,"SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1.3,6.9,4,5.7,0,6.5,2.8,18.5,-1.8,1.4,0,-28.4,0.3,3,0,-3,4.1,2,"Hip.",0,"SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-0.600000000000001,5.3,2.7,1.9,-1.7,6.4,0.800000000000001,7.4,-2.6,0.4,0,-11.8,0.1,4.09999999999999,0,-4.1,4.3,3.1,"Hip.",0,"SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.399999999999999,4.8,2,1.6,-1.3,4.7,-2,2.9,-2.5,0.4,0,-6.8,0.0999999999999996,1.3,0,-1.3,4.5,3.2,"Hip.",0,"SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-1.3,6.9,4,5.7,2.8,6.5,0,18.6,-1.8,1.4,0,-28.5,0.3,3,0,-3,4.1,2,"Hip.",0,"SF","Intermediário","AFN","NO","Sala","Rio de Janeiro"
-0.200000000000003,3.4,1.2,8,-0.5,-5.7,-1.3,0.5,-1.3,0.3,0,-4.09999999999999,0,2.1,0,-2.1,2.1,1.6,"Hip.",0,"SF","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
-0.100000000000001,2.9,0.9,5.7,-1.9,-4.5,-1,-1.6,-1.2,0.3,0,-1.60000000000001,0.1,1.2,0,-1.2,2.3,1.6,"Hip.",0,"SF","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.900000000000002,4.5,2.3,8.3,0,-0.5,1.9,11.1,-1.2,0.7,0,-16.5,0.3,7.39999999999999,0,-7.4,1.8,1.2,"Hip.",0,"SF","Intermediário","AFN","SE","Sala","Rio de Janeiro"
-0.200000000000003,3.4,1.2,8,-1.4,-5.7,-0.600000000000001,0.300000000000004,-1.4,0.3,0,-3.89999999999999,0,2,0,-2,2.1,1.6,"Hip.",0,"SF","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
-0.100000000000001,2.9,0.9,5.7,-1,-4.5,-1.9,-1.6,-1.2,0.3,0,-1.60000000000001,0.1,1.2,0,-1.2,2.3,1.6,"Hip.",0,"SF","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.900000000000002,4.5,2.3,8.3,2,-0.5,0,11.1,-1.2,0.7,0,-16.5,0.3,7.5,0,-7.5,1.8,1.2,"Hip.",0,"SF","Intermediário","AFN","SO","Sala","Rio de Janeiro"
-1,5.8,2.9,-0.699999999999999,-1.4,5.1,8.9,12,-2.7,0.7,0,-16.8,0.1,7.40000000000001,0,-7.4,3.8,2.6,"Hip.",0,"SF","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
-0.5,3.5,2,8.3,0.200000000000001,-5.6,0.5,3.3,-1.2,1.1,0,-9.2,0.0999999999999996,4,0,-4,1.2,1.3,"Hip.",0,"SF","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
-1.9,7.1,3.9,5.5,6.2,3,8.4,23.1,-1.9,1.6,0,-31.3,0.3,6.40000000000001,0,-6.4,2.8,1.4,"Hip.",0,"SF","Intermediário","AFN","O","Sala","Rio de Janeiro"
-0.899999999999999,6.9,2.9,0,10.6,6.2,-0.800000000000001,16.1,-2.6,1,0,-23,0.3,8,-1.7,-6.3,5.59999999999999,2.4,"Hip.",0,"SF","Intermediário","AFN","L","Dorm. N","São Paulo"
-0.5,4.6,2.1,9.5,3.6,-4.4,0.600000000000001,9.3,-1.5,1.3,0,-16.3,0.3,5.5,-2.2,-3.3,1.9,1.4,"Hip.",0,"SF","Intermediário","AFN","L","Dorm. S","São Paulo"
-1.8,6.4,4,4.8,10.6,2.4,4.5,22.4,-2.3,1.3,0,-28.4,0.5,12.6,-0.2,-12.4,3.5,2.4,"Hip.",0,"SF","Intermediário","AFN","L","Sala","São Paulo"
-0.5,5.6,2.5,1.7,1.1,7,-1.9,7.8,-2.6,0.5,0,-13,0.2,5.5,-0.4,-5.09999999999999,6.1,3.1,"Hip.",0,"SF","Intermediário","AFN","NE","Dorm. 1","São Paulo"
-0.299999999999997,5,1.7,1.3,-2.3,5,-1.3,2.8,-2.4,0.5,0,-7.20000000000002,0.100000000000001,3.7,0,-3.59999999999999,6.5,3.2,"Hip.",0,"SF","Intermediário","AFN","NE","Dorm. 2","São Paulo"
-1.3,6.8,3.8,5.4,0,7.8,2.9,19.8,-2,1.3,0,-28.9,0.4,11.1,0,-11.1,5.3,1.9,"Hip.",0,"SF","Intermediário","AFN","NE","Sala","São Paulo"
-0.5,5.6,2.4,1.7,-1.9,6.9,1,7.5,-2.5,0.4,0,-12.7,0.2,5.3,-0.3,-5,6,3,"Hip.",0,"SF","Intermediário","AFN","NO","Dorm. 1","São Paulo"
-0.299999999999997,5,1.8,1.3,-1.2,5,-2.3,2.9,-2.4,0.5,0,-7.30000000000001,0.100000000000001,3.7,0,-3.59999999999999,6.5,3.2,"Hip.",0,"SF","Intermediário","AFN","NO","Dorm. 2","São Paulo"
-1.3,6.8,3.8,5.4,3,7.8,0,19.8,-2,1.3,0,-29,0.4,11.2,0,-11.2,5.3,1.9,"Hip.",0,"SF","Intermediário","AFN","NO","Sala","São Paulo"
