"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.3,14.9,5.9,4.7,-6.3,-3.8,9.6,4.2,-8.4,1.1,0,-2.1,0.1,-57.6,0.1,4.1,"Hip.","00","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
44,6.8,1,-8.9,-6.4,4.6,4.2,-6.6,-8.5,1.2,0,-1.8,0.8,-37.1,0.8,1.4,"Hip.","00","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
51,21.1,9.3,4.5,1.2,6.9,11.2,23.8,-7.1,4.6,0,-2.3,0,-101.1,0,55.6,"Hip.","00","TV","Intermediário","HVAC","L","Sala","Curitiba"
33,18.5,8.3,7.5,6.9,-2.9,5.9,17.3,-8.7,1.5,0,-1.9,0,-67.2,0,3.4,"Hip.","00","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.9,19.9,9.3,6,9.1,-2,12.3,25.6,-8.7,1.5,0,-1.8,0,-77.8,0,3.5,"Hip.","00","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.4,30.7,14.7,9.8,0,4.2,10.5,33.8,-6.6,5.3,0.1,-1.3,0,-117.2,0,61.8,"Hip.","00","TV","Intermediário","HVAC","NE","Sala","Curitiba"
33,18.6,8.4,7.5,6,-2.9,7.1,17.8,-8.7,1.6,0,-1.9,0,-68,0,3.6,"Hip.","00","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.9,19.9,9.3,6,12.5,-2,9,25.6,-8.7,1.5,0,-1.8,0,-77.8,0,3.5,"Hip.","00","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.4,30.7,14.7,9.8,10.6,4.2,0,33.8,-6.6,5.3,0.1,-1.3,0,-117.2,0,61.8,"Hip.","00","TV","Intermediário","HVAC","NO","Sala","Curitiba"
33.5,8,2.7,-8.4,2.9,6.7,2.9,4,-8.7,0.7,0,-1.6,0,-38.4,0,0.5,"Hip.","00","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
33.3,8.6,3.2,-6.1,4.1,5,5.4,8.4,-8.8,0.7,0,-1.5,0,-43.5,0,0.4,"Hip.","00","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.5,13.5,5.5,-3,0,6.8,4.7,13.2,-7.7,2.6,0,-1.2,0,-66.3,0,23.3,"Hip.","00","TV","Intermediário","HVAC","SE","Sala","Curitiba"
33.5,8,2.7,-8.4,3,6.7,3.3,4.5,-8.8,0.7,0,-1.6,0,-39,0,0.6,"Hip.","00","TV","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
33.3,8.6,3.2,-6.1,5.4,5,4.1,8.4,-8.8,0.7,0,-1.5,0,-43.6,0,0.4,"Hip.","00","TV","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
39.5,13.5,5.6,-2.9,4.8,6.8,0,13.3,-7.7,2.6,0,-1.2,0,-66.4,0,23.3,"Hip.","00","TV","Intermediário","HVAC","SO","Sala","Curitiba"
43.2,16.7,6.8,6.1,10.6,-3.2,-2.9,10.5,-8.3,1.4,0,-2.1,0.1,-66.8,0.1,7.6,"Hip.","00","TV","Intermediário","HVAC","O","Dorm. N","Curitiba"
43.8,8.2,1.6,-8.6,4.7,5.8,-2.8,-0.8,-8.6,1.5,0,-1.9,0.7,-44.4,0.7,3.8,"Hip.","00","TV","Intermediário","HVAC","O","Dorm. S","Curitiba"
51,29.1,13.2,6,14.1,8.3,7.7,36,-6.1,6.1,0.1,-1.2,0,-129.3,0,83.3,"Hip.","00","TV","Intermediário","HVAC","O","Sala","Curitiba"
42.5,37.8,18.5,17.3,21.7,16.4,24.6,80,-0.2,4.1,0.1,-0.6,0,-177.6,0,159.6,"Hip.","00","TV","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,24.8,11.7,8.8,19.8,14.9,15.9,59.4,-0.9,3.7,0.1,-1.5,0,-139.4,0,118.3,"Hip.","00","TV","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,43.9,22.8,12.7,24.7,15.3,24.5,77.2,1.7,10.7,0.1,-0.4,0,-209.1,0,220.8,"Hip.","00","TV","Intermediário","HVAC","L","Sala","Rio de Janeiro"
32.7,39,20.1,23.3,19.8,17.4,14.5,75.1,0.3,3.7,0.1,-0.5,0,-167.5,0,151.9,"Hip.","00","TV","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,38.4,20,17.5,20.9,12,26.3,76.7,0.4,3.6,0.1,-0.4,0,-168.7,0,153.7,"Hip.","00","TV","Intermediário","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.3,50.6,26.1,19.6,0,20,17.6,74.1,2.4,9.3,0.1,-0.5,0,-203.1,0,215.6,"Hip.","00","TV","Intermediário","HVAC","NE","Sala","Rio de Janeiro"
32.7,38.9,20.1,23.3,14.4,17.4,19.5,74.7,0.3,3.7,0.1,-0.5,0,-167,0,151.4,"Hip.","00","TV","Intermediário","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,38.4,20,17.5,26.2,12,20.9,76.7,0.4,3.5,0.1,-0.4,0,-168.6,0,153.6,"Hip.","00","TV","Intermediário","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.3,50.5,26.1,19.6,17.7,20,0,74.1,2.4,9.3,0.1,-0.5,0,-202.9,0,215.5,"Hip.","00","TV","Intermediário","HVAC","NO","Sala","Rio de Janeiro"
