"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.8,15.7,-1.8,4,-6.7,-4.1,8.2,1.4,-8.1,0.9,0,-2.3,2.1,-50.3,2.1,6,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
44.5,7.6,-1.8,-8.5,-6.4,4.3,4.4,-6.2,-8.4,1,0,-2.1,4,-38.5,4,4,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.2,24,7.5,5.1,2.2,7,11.6,25.9,-6.5,4.9,0,-2.5,0,-105.7,0,70.6,"Hip.","00","TV","Cobertura","HVAC","L","Sala","Curitiba"
33.4,19.8,-1.1,6.4,5.9,-3.5,4.9,13.8,-8.5,1.2,0,-2,0.7,-56.4,0.7,5.5,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.3,21.1,-1,5,7.5,-2.5,10.3,20.3,-8.5,1.2,0,-1.9,0.2,-63.6,0.2,5.8,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.5,32.9,8.9,9.5,0,4.2,9.8,32.4,-6,5.1,0.1,-1.3,0,-112.8,0,69.9,"Hip.","00","TV","Cobertura","HVAC","NE","Sala","Curitiba"
33.4,19.9,-1.1,6.5,5,-3.5,6.2,14.1,-8.5,1.3,0,-2,0.7,-56.9,0.7,5.8,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.3,21.1,-1,5,10.4,-2.5,7.3,20.3,-8.5,1.2,0,-1.9,0.2,-63.6,0.2,5.8,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.5,32.9,8.9,9.5,9.9,4.2,0,32.4,-6,5.1,0.1,-1.3,0,-112.8,0,69.8,"Hip.","00","TV","Cobertura","HVAC","NO","Sala","Curitiba"
34,9.6,-1,-7.8,3.5,6.8,3.2,5.6,-8.5,0.7,0,-1.8,2.2,-40.4,2.2,3.4,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
33.8,10.5,-1.2,-5.6,4.5,5.2,6,10.1,-8.5,0.7,0,-1.7,1.3,-44.4,1.3,3.4,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.7,17.2,6.6,-1.6,0,7.7,5.7,17.3,-7,3.2,0,-1.3,0.1,-76.9,0.1,43.6,"Hip.","00","TV","Cobertura","HVAC","SE","Sala","Curitiba"
33.9,9.7,-1,-7.8,3.2,6.8,3.8,6,-8.5,0.7,0,-1.8,2.1,-40.8,2.1,3.6,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
33.8,10.5,-1.2,-5.6,6,5.2,4.5,10.1,-8.5,0.7,0,-1.7,1.3,-44.4,1.3,3.4,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.7,17.2,6.6,-1.6,5.7,7.7,0,17.3,-7,3.2,0,-1.3,0.1,-76.9,0.1,43.6,"Hip.","00","TV","Cobertura","HVAC","SO","Sala","Curitiba"
43.7,17.3,-1.5,5,8.9,-3.8,-3.7,6.4,-8.2,1.1,0.1,-2.3,2,-57.1,2,9.8,"Hip.","00","TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
44.3,8.9,-1.6,-8.2,4.7,5.2,-3.1,-1.4,-8.6,1.2,0,-2.2,3.7,-44.1,3.7,7.1,"Hip.","00","TV","Cobertura","HVAC","O","Dorm. S","Curitiba"
51.1,31.6,9.5,6.5,14.2,8.3,8.2,37.1,-5.6,6.3,0.1,-1.2,0,-130.7,0,94.8,"Hip.","00","TV","Cobertura","HVAC","O","Sala","Curitiba"
42.5,38.5,20,18.2,21,16,25.7,80.8,-0.5,4.3,0.2,-0.7,0,-179.9,0,160.1,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,26.2,18.6,9.2,19.6,16.6,19,64.4,-1.4,4,0.1,-2.3,0,-151.4,0,131.8,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,47.6,30.9,14.8,26.1,16.9,29.3,87,1.8,12.4,0.1,-0.5,0,-234,0,246,"Hip.","00","TV","Cobertura","HVAC","L","Sala","Rio de Janeiro"
32.7,40.8,21.2,26.5,20.6,17.2,15.3,79.6,-0.2,3.8,0.1,-0.6,0,-173.8,0,155.6,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,40.4,21.4,20,22.2,11.8,27.8,81.8,0,3.7,0.1,-0.5,0,-176.1,0,158.2,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.3,54.4,32.4,23,0,20.7,19.4,82.1,2.4,10.6,0.1,-0.6,0,-224,0,234.7,"Hip.","00","TV","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
