"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.7,4.7,4.3,1.8,-12.6,-5.5,6.8,-9.5,-7.1,0.5,0,-1.3,0.2,-34.3,0.2,0.4,"Hip.","01","C10","Térreo","HVAC","L","Dorm. N","Curitiba"
44.3,9.7,-0.9,-15.5,-10,3.8,1.9,-19.8,-7.8,0.7,0,-1.1,0.7,-25.6,0.7,0.1,"Hip.","01","C10","Térreo","HVAC","L","Dorm. S","Curitiba"
51.1,11.6,7.1,2.5,-3.5,5.2,9.2,13.3,-6.2,2.1,0,-1.2,0,-78.2,0,27.6,"Hip.","01","C10","Térreo","HVAC","L","Sala","Curitiba"
33.2,2.5,7.6,6.6,3.5,-6.1,3.8,7.9,-7.4,1,0,-1.3,0,-42.7,0,0.4,"Hip.","01","C10","Térreo","HVAC","NE","Dorm. 1","Curitiba"
33,1.4,8.8,5.7,5.5,-4.5,7.9,14.7,-7.3,1,0,-1.2,0,-49.7,0,0.3,"Hip.","01","C10","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,9.2,13.7,9.9,7.1,2.1,7.9,27,-5.5,2.9,0,-1,0,-86.3,0,26.1,"Hip.","01","C10","Térreo","HVAC","NE","Sala","Curitiba"
33.2,2.5,7.7,6.7,3.9,-6,4.2,8.8,-7.4,1.1,0,-1.3,0,-43.9,0,0.5,"Hip.","01","C10","Térreo","HVAC","NO","Dorm. 1","Curitiba"
33,1.4,8.8,5.7,8,-4.4,5.4,14.7,-7.3,0.9,0,-1.2,0,-49.6,0,0.3,"Hip.","01","C10","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,9.2,13.8,10,7.9,2.1,7.1,27,-5.5,2.9,0,-1,0,-86.2,0,26.1,"Hip.","01","C10","Térreo","HVAC","NO","Sala","Curitiba"
33.8,9.1,0.4,-15.4,1.8,2.7,2,-8.9,-7.8,0.4,0,-1.1,0,-25.8,0,0,"Hip.","01","C10","Térreo","HVAC","SE","Dorm. 1","Curitiba"
33.5,7,1.3,-11.4,2.3,2.4,3.2,-3.5,-7.9,0.4,0,-1.1,0,-29.5,0,0,"Hip.","01","C10","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.6,11.7,3,-8.3,2.7,4.2,3.2,1.8,-6.9,1.1,0,-0.8,0,-49.4,0,6.9,"Hip.","01","C10","Térreo","HVAC","SE","Sala","Curitiba"
33.7,8.9,0.6,-15.4,2,2.8,2.6,-8,-7.8,0.4,0,-1.1,0,-26.7,0,0,"Hip.","01","C10","Térreo","HVAC","SO","Dorm. 1","Curitiba"
33.5,7,1.3,-11.4,3.2,2.4,2.3,-3.5,-7.9,0.4,0,-1.1,0,-29.5,0,0,"Hip.","01","C10","Térreo","HVAC","SO","Dorm. 2","Curitiba"
39.6,11.7,3.1,-8.3,3.2,4.2,2.7,1.9,-6.9,1.1,0,-0.8,0,-49.5,0,6.9,"Hip.","01","C10","Térreo","HVAC","SO","Sala","Curitiba"
43.6,4.3,5.3,3.1,7.2,-5.5,-6.4,-1.5,-7.2,0.8,0,-1.5,0.2,-42.7,0.2,1.9,"Hip.","01","C10","Térreo","HVAC","O","Dorm. N","Curitiba"
44.1,8.9,-0.2,-15.6,1.9,4.9,-3.2,-12,-8,0.9,0,-1.3,0.5,-32.6,0.5,1,"Hip.","01","C10","Térreo","HVAC","O","Dorm. S","Curitiba"
51,14.3,11.8,3.9,13.6,6.5,5.9,30,-5.1,3.1,0,-0.9,0,-104.9,0,53.1,"Hip.","01","C10","Térreo","HVAC","O","Sala","Curitiba"
42.5,26.8,17.4,15.7,24.3,19.7,22.8,82.5,0.2,3.8,0.1,-0.4,0,-169.3,0,142.2,"Hip.","01","C10","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,29,10.8,7.5,25.7,16.1,15,64.4,-0.9,3.6,0.1,-0.8,0,-147.4,0,118.6,"Hip.","01","C10","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,32.7,21.7,11.7,28.5,14.9,28.4,83.5,1.7,6.8,0.1,-0.2,0,-197.6,0,202.8,"Hip.","01","C10","Térreo","HVAC","L","Sala","Rio de Janeiro"
32.7,29.4,19.9,25,19.3,21.3,14.1,79.7,0.8,3.5,0.1,-0.3,0,-163.7,0,140.9,"Hip.","01","C10","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,30,19.4,18.4,20.5,15,25.1,79,1,3.4,0.1,-0.3,0,-163.5,0,141.4,"Hip.","01","C10","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.3,34.2,25.1,22.3,16.1,23.7,16.2,78.2,2.5,6,0.2,-0.2,0,-185.3,0,193.5,"Hip.","01","C10","Térreo","HVAC","NE","Sala","Rio de Janeiro"
32.7,29.6,19.9,25,14.1,21.4,19.3,79.8,0.8,3.5,0.1,-0.3,0,-164,0,141.2,"Hip.","01","C10","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,30,19.4,18.4,25.1,15,20.5,79,1,3.4,0.1,-0.3,0,-163.4,0,141.4,"Hip.","01","C10","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.3,34.2,25,22.3,16.2,23.7,16,78.1,2.5,6,0.2,-0.2,0,-185.1,0,193.3,"Hip.","01","C10","Térreo","HVAC","NO","Sala","Rio de Janeiro"
32.8,32.7,11.3,9.3,14.9,17.6,10.3,52.1,-0.2,2.4,0.1,-0.2,0,-130,0,100.4,"Hip.","01","C10","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.8,32.9,10.8,6.3,14.6,12.8,17.1,50.8,-0.1,2.4,0.1,-0.1,0,-128.7,0,97.6,"Hip.","01","C10","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,33.5,12.9,9.6,9.9,14.2,9.7,43.5,0.5,3.5,0.2,-0.2,0,-132.5,0,125.5,"Hip.","01","C10","Térreo","HVAC","SE","Sala","Rio de Janeiro"
32.8,32.8,11.2,9.4,10.3,17.6,15,52.2,-0.1,2.4,0.1,-0.2,0,-130.3,0,100.7,"Hip.","01","C10","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.8,32.9,10.8,6.3,17.1,12.8,14.6,50.8,-0.1,2.4,0.1,-0.1,0,-128.7,0,97.6,"Hip.","01","C10","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,33.5,12.9,9.7,9.7,14.2,9.8,43.4,0.5,3.5,0.2,-0.2,0,-132.5,0,125.5,"Hip.","01","C10","Térreo","HVAC","SO","Sala","Rio de Janeiro"
42.5,28.2,18.4,16.3,24.2,20.7,26.6,87.9,0.5,3.9,0.1,-0.4,0,-177.2,0,151.6,"Hip.","01","C10","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
42.6,30.6,11.7,8.5,16.3,16.8,28.2,69.8,-0.7,3.7,0.1,-0.9,0,-155.4,0,127.3,"Hip.","01","C10","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
50.8,38.5,23.9,12.8,30.6,15.9,36.2,95.4,3.1,7.7,0.1,-0.2,0,-220.6,0,229,"Hip.","01","C10","Térreo","HVAC","O","Sala","Rio de Janeiro"
42.9,10.1,9.1,6.8,2.2,3.2,12,24.1,-4.4,1.6,0,-0.8,0,-80.8,0,28.6,"Hip.","01","C10","Térreo","HVAC","L","Dorm. N","São Paulo"
43.2,13.7,3.7,-7,4,7.9,6.3,11.3,-5.2,1.6,0,-1.4,0,-66.2,0,22.6,"Hip.","01","C10","Térreo","HVAC","L","Dorm. S","São Paulo"
50.8,17.7,13.7,6.3,10.2,9,17.2,42.7,-3,4,0,-0.6,0,-125.9,0,97.5,"Hip.","01","C10","Térreo","HVAC","L","Sala","São Paulo"
32.9,10.7,12.1,13.3,9.5,4.2,7.4,34.4,-4.2,1.9,0,-0.8,0,-85.9,0,28.2,"Hip.","01","C10","Térreo","HVAC","NE","Dorm. 1","São Paulo"
32.8,10.6,12.7,10.4,11,3,14.3,38.6,-4,1.8,0,-0.7,0,-90.9,0,27.6,"Hip.","01","C10","Térreo","HVAC","NE","Dorm. 2","São Paulo"
39.3,17.6,18,14.6,10.5,10.3,11,46.4,-2.3,4.1,0.1,-0.6,0,-122.9,0,93.1,"Hip.","01","C10","Térreo","HVAC","NE","Sala","São Paulo"
32.9,10.8,12.1,13.3,7.5,4.3,9.5,34.5,-4.2,1.9,0,-0.8,0,-86.2,0,28.4,"Hip.","01","C10","Térreo","HVAC","NO","Dorm. 1","São Paulo"
32.8,10.6,12.7,10.4,14.3,3,10.9,38.6,-4,1.8,0,-0.7,0,-90.9,0,27.6,"Hip.","01","C10","Térreo","HVAC","NO","Dorm. 2","São Paulo"
39.3,17.6,18,14.6,11,10.3,10.4,46.3,-2.3,4.1,0.1,-0.6,0,-122.8,0,93,"Hip.","01","C10","Térreo","HVAC","NO","Sala","São Paulo"
33,15,4.6,-5.9,6.5,7.8,4.7,13.1,-4.8,1.1,0,-0.6,0,-61,0,17.5,"Hip.","01","C10","Térreo","HVAC","SE","Dorm. 1","São Paulo"
32.9,14.1,5.1,-4.4,6.5,6.1,8.1,16.2,-4.8,1.1,0,-0.6,0,-63.7,0,16.2,"Hip.","01","C10","Térreo","HVAC","SE","Dorm. 2","São Paulo"
39.4,18.1,7.6,-0.8,5.6,8.1,5.8,18.7,-3.9,2.1,0.1,-0.5,0,-81.3,0,51,"Hip.","01","C10","Térreo","HVAC","SE","Sala","São Paulo"
33,15.1,4.6,-5.9,4.7,7.8,6.6,13.2,-4.8,1.1,0,-0.6,0,-61.2,0,17.7,"Hip.","01","C10","Térreo","HVAC","SO","Dorm. 1","São Paulo"
32.9,14.1,5.1,-4.4,8.1,6.1,6.5,16.2,-4.8,1.1,0,-0.6,0,-63.7,0,16.3,"Hip.","01","C10","Térreo","HVAC","SO","Dorm. 2","São Paulo"
39.4,18.1,7.6,-0.8,5.8,8.1,5.5,18.7,-3.9,2.1,0.1,-0.5,0,-81.3,0,50.9,"Hip.","01","C10","Térreo","HVAC","SO","Sala","São Paulo"
42.9,11.1,9.7,7.3,12.9,4,4.3,28.5,-4.2,1.8,0.1,-0.8,0,-86.9,0,35,"Hip.","01","C10","Térreo","HVAC","O","Dorm. N","São Paulo"
43.1,14.7,4.1,-6.2,7,8.4,6.5,15.7,-5.1,1.8,0,-1.6,0,-71.7,0,27.9,"Hip.","01","C10","Térreo","HVAC","O","Dorm. S","São Paulo"
50.9,21.8,15.6,7.1,19,9.7,15.8,51.6,-2,4.7,0.1,-0.4,0,-143,0,115.3,"Hip.","01","C10","Térreo","HVAC","O","Sala","São Paulo"
