"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.9,1.1,1.9,-3.4,-10,7.1,4.5,-2.3,0,Inf,-1.5,0,22.2,0,-0.2,0.3,0,"Hip.","01","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-1.6,-4.4,1.5,200,3.3,-20,-6.3,2,0,NA,1.3,-3.7,0,7.3,-1.1,0.3,0,"Hip.","01","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.4,2.6,0,-40,-3.7,0,30.6,29.5,-1.7,-42.3,NA,-1.2,0,11.6,34.5,-5,1.9,1.1,"Hip.","01","C10","Intermediário","AFN","L","Sala","Curitiba"
-0.3,4.7,4.8,24.8,0,-38.5,10.7,11.5,-2.2,7.4,-100,-5.5,3,87.5,-2.7,-0.5,2.6,1.8,"Hip.","01","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.3,5.1,6.6,35.8,10.6,-62.5,7.4,13.4,-4.5,7.1,-100,-7,2.7,77.8,-75,0.2,2.9,1.8,"Hip.","01","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.5,5.9,7,121.6,NA,-81.8,3.3,43.7,-8.8,-21.2,NA,-8,3.2,18.2,-100,-6.8,1.6,1.8,"Hip.","01","C10","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,5,4.8,27,10.7,-38.5,0.8,11.9,-4.4,7.1,-100,-5.8,0,88.9,-2.7,-0.7,2.9,1.8,"Hip.","01","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.3,5.1,6.6,35.8,7.4,-62.5,10.7,13.6,-4.5,11.1,-100,-7,2.7,77.8,-75,0.2,2.9,1.8,"Hip.","01","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.5,6.4,7,121.6,3.3,-81.8,NA,43.7,-8.8,-21.2,NA,-8,3.2,18.2,-100,-6.8,1.6,1.8,"Hip.","01","C10","Intermediário","AFN","NO","Sala","Curitiba"
0.3,-8.3,-12.9,14,2.7,-43.6,-7.5,-26.3,6.5,-11.8,NA,10.7,-7.1,100,19,-1.6,0.7,-0.4,"Hip.","01","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0.3,-8.4,-10.3,11.9,-7.9,-39.2,-9.7,-20.6,6.5,-5.9,NA,9.3,-6.7,0,33.3,-2.1,0.3,-0.4,"Hip.","01","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.2,-3.6,-10.9,12.9,NA,-27.7,-12.5,-41.7,6.7,-50,NA,7.3,-4.2,-3.1,82.8,-2.3,1,0,"Hip.","01","C10","Intermediário","AFN","SE","Sala","Curitiba"
0,-8.2,-12.5,12.3,-7.5,-42.3,3.6,-23.7,6.4,-11.8,NA,10,-7.1,0,19.5,-1.6,1,-0.4,"Hip.","01","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0.3,-7.8,-10.3,11.9,-10.6,-39.2,-7,-20.6,6.5,-5.9,NA,9.3,-6.7,0,35.1,-2.1,0.7,-0.4,"Hip.","01","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.2,-3.6,-10.9,11.4,-16,-26.2,NA,-39.6,6.7,-50,NA,7.1,-4.2,-3.1,79.3,-2.3,1,0,"Hip.","01","C10","Intermediário","AFN","SO","Sala","Curitiba"
-0.2,1.3,1,6.9,6.4,-28.6,-10.5,5.1,-2.2,7.4,0,-2.1,0,14.3,0,-0.2,0.3,0.4,"Hip.","01","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-0.7,-2,1.4,-21.4,6.8,1.7,-2.3,1.9,7.4,NA,0.2,-3.4,7.7,6,-0.9,0.6,0.4,"Hip.","01","C10","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.6,4.3,3.2,-27.3,73,-2.4,-Inf,35.7,-5.3,-39.4,NA,-3.9,0,6.7,25,-4.3,2.1,1.8,"Hip.","01","C10","Intermediário","AFN","O","Sala","Curitiba"
-0.6,1.3,1.9,5.6,-9.7,-6.7,8.2,4.5,-2.5,7.7,NA,-2,0,1.5,NA,-2.9,0.3,0.3,"Hip.","01","C10","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
0,-1.4,-1.7,2.5,2.5,5.4,-21.3,-3.2,0,3.6,NA,0.8,0,-1.3,NA,1.5,0.5,0,"Hip.","01","C10","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.5,5.3,5,-12.5,-300,1.9,65.9,33.3,-4.2,-36.1,NA,-5.2,3.3,0,NA,0,2.1,1.2,"Hip.","01","C10","Intermediário","AFN","L","Sala","Rio de Janeiro"
-1.1,4,4.4,30.2,-0.8,-20.5,9.4,10.8,-7.9,10.3,NA,-5.6,0,4.5,NA,-12.2,2.2,1.5,"Hip.","01","C10","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-1.1,4.5,5.5,38.3,8.6,-26.9,6.4,12.2,-10.8,6.9,NA,-6.7,2.4,4.6,NA,-14.5,2.4,1.5,"Hip.","01","C10","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1,6.5,7.4,111.1,NA,-42.9,6.5,35.2,-10.9,-22,NA,-9.4,3,1.3,NA,-17.1,2.9,1.5,"Hip.","01","C10","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-1.1,4,5.1,29.3,9.4,-20,-1.6,10.4,-7.9,10.3,NA,-5.5,0,4.5,NA,-12.2,1.9,1.2,"Hip.","01","C10","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-1.1,4.5,5.5,38.3,6.4,-26.9,8.6,12.2,-10.8,6.9,NA,-6.7,2.4,4.6,NA,-14.5,2.4,1.5,"Hip.","01","C10","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
