"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
47.1,20.9,5.8,10.3,-4.2,-0.1,15.1,21.1,-4.6,2.1,0.1,-94.2,2.9,1.4,9.8,88.9,32.7,28.4,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
47.4,12,5.9,-7.2,-1.3,12,7.8,11.3,-5.2,2.2,0,-76.4,2.5,0.9,16,83.1,32.5,27.8,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
50.4,17.4,5.6,0.9,-5.7,3.8,9.5,8.5,-5.9,1.7,0,-75.2,2.6,29.4,5,65.6,32.8,28,"Hip.","01","C10","Cobertura","AFN","L","Sala","Curitiba"
36.1,27,7.2,16,10,-0.3,12,37.8,-4.8,2.6,0,-106.7,3.1,1.7,6.2,92.1,32.3,28.1,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
36,29.2,7.6,13.4,17.5,-0.5,18.2,48.6,-4.8,2.6,0,-120.1,3.5,1.9,4.7,93.4,32.2,28.1,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.8,27.1,6.6,10.3,0,-2.2,6,19.9,-6,2.4,0,-88.1,3,34.7,1.7,63.6,32.2,27.7,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Curitiba"
36,27.3,7.2,16.2,12,-0.3,11,38.9,-4.8,2.7,0,-108.1,3.2,1.9,6.1,92,32.4,28.1,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
36,29.2,7.6,13.4,18.3,-0.5,17.4,48.6,-4.8,2.6,0,-120.1,3.5,1.9,4.7,93.4,32.1,28.1,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.8,27.1,6.6,10.3,6,-2.2,0,19.9,-6,2.4,0,-88.1,3,34.6,1.7,63.6,32.2,27.7,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Curitiba"
36.4,13.4,7.3,-5.9,7.7,10,7.8,19.7,-4.7,1.6,0,-74.7,2.5,0.7,13.4,85.8,31.6,27,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.4,14.6,7.5,-4.5,11,8.3,11.1,26,-4.7,1.6,0,-82.3,2.8,0.7,11.1,88.2,31.4,27,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39.9,11.6,6.6,-6.3,0,5.5,2.8,4.6,-5.8,1.1,0,-57.5,2.3,21.1,6.3,72.5,32.1,26.8,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Curitiba"
36.4,13.7,7.4,-5.9,7.8,10.2,8.7,20.8,-4.7,1.6,0,-76,2.5,0.8,12.9,86.3,31.7,27,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
36.4,14.6,7.5,-4.5,11.1,8.3,11.1,26,-4.7,1.6,0,-82.4,2.8,0.7,11.1,88.2,31.4,27,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
39.9,11.7,6.5,-6.4,2.8,5.5,0,4.7,-5.8,1.1,0,-57.6,2.3,21.2,6.3,72.5,32.2,26.8,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Curitiba"
46.8,23.2,5.9,12.7,15.2,-0.5,0.3,27.6,-4.8,2.5,0.1,-103.7,3.1,2.5,9.1,88.4,33.7,28.8,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
47.1,14,5.9,-7.5,7.5,14.3,3.8,18.2,-5.4,2.6,0,-85.8,2.7,1.9,13.9,84.2,34.4,28.2,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
