"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-1,0,5.2,2.9,15.8,7.6,0.3,26.6,-2.4,0.4,0,-0.5,-0.2,-27.3,-0.2,0,"Hip.",1,"SF","Térreo","HVAC","L","Dorm. N","Curitiba"
-1.5,-0.799999999999999,3.9,14.8,10.9,-0.5,2.1,27.3,-2.4,0.4,0,-0.3,-0.7,-25.4,-0.7,0,"Hip.",1,"SF","Térreo","HVAC","L","Dorm. S","Curitiba"
-0.300000000000004,3.1,4.6,3.3,10.2,1.1,3.5,18.3,-1.9,1.5,0,-0.3,0,-25.3,0,14.7,"Hip.",1,"SF","Térreo","HVAC","L","Sala","Curitiba"
-0.400000000000006,2.4,4.8,1.7,3.1,9.3,0.9,15,-2.1,0.1,0,-0.4,0,-18.7,0,0,"Hip.",1,"SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
-0.200000000000003,3.5,3.8,0.899999999999999,2,6.8,1.2,10.8,-1.9,0.1,0,-0.3,0,-15,0,0,"Hip.",1,"SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,7.2,3.3,2.7,0,5.2,1.2,11.1,-1.2,1.2,0,-0.1,0,-21.7,0,24.4,"Hip.",1,"SF","Térreo","HVAC","NE","Sala","Curitiba"
-0.400000000000006,2.4,4.7,1.7,1,9.3,2.1,14,-2.1,0.0999999999999999,0,-0.4,0,-17.6,0,-0.1,"Hip.",1,"SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
-0.200000000000003,3.4,3.8,0.899999999999999,1.5,6.7,1.8,10.9,-1.9,0.2,0,-0.3,0,-15.1,0,0,"Hip.",1,"SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,7.2,3.2,2.6,1.5,5.2,0,11.2,-1.2,1.2,0,-0.1,0,-21.9,0,24.6,"Hip.",1,"SF","Térreo","HVAC","NO","Sala","Curitiba"
-0.899999999999999,0.5,4.1,15.6,2,2.3,0.9,20.8,-2.3,0.3,0,-0.3,0,-21.6,0,0,"Hip.",1,"SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.600000000000001,2.4,3.6,11.6,2.1,1.6,2.2,17.6,-1.9,0.3,0,-0.2,0,-20.8,0,0,"Hip.",1,"SF","Térreo","HVAC","SE","Dorm. 2","Curitiba"
-0.200000000000003,4.1,4.2,11.1,0,3.1,1.9,18.5,-1.6,1,0,-0.2,0,-25.9,0,14.3,"Hip.",1,"SF","Térreo","HVAC","SE","Sala","Curitiba"
-0.800000000000004,0.699999999999999,3.9,15.6,0.9,2.2,1.2,20,-2.3,0.3,0,-0.3,0,-20.9,0,0,"Hip.",1,"SF","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.600000000000001,2.4,3.6,11.6,2.3,1.6,2.1,17.6,-1.9,0.3,0,-0.2,0,-20.8,0,0,"Hip.",1,"SF","Térreo","HVAC","SO","Dorm. 2","Curitiba"
-0.200000000000003,4.1,4.2,11.1,2,3.1,0,18.4,-1.6,1,0,-0.2,0,-25.9,0,14.3,"Hip.",1,"SF","Térreo","HVAC","SO","Sala","Curitiba"
-0.899999999999999,0.3,4.7,1.7,0.5,7.8,10.2,20,-2.3,0.2,0,-0.4,-0.2,-20.3,-0.2,-1.4,"Hip.",1,"SF","Térreo","HVAC","O","Dorm. N","Curitiba"
-1.3,0,3.7,15.1,2.3,-1.4,5.2,21.1,-2.2,0.2,0,-0.4,-0.5,-19.8,-0.5,-0.8,"Hip.",1,"SF","Térreo","HVAC","O","Dorm. S","Curitiba"
-0.200000000000003,6.2,4.3,4.5,5.5,2.3,6.3,18.5,-1.3,1.7,0,-0.2,0,-29.8,0,26,"Hip.",1,"SF","Térreo","HVAC","O","Sala","Curitiba"
0,-0.600000000000001,0.300000000000001,-2.3,-6.1,-7,-4.8,-20.2,-0.8,-0.4,0,-0.1,0,22.3,0,-17.5,"Hip.",1,"SF","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,1,-0.600000000000001,1.7,-10.3,-4.5,-1.1,-14.2,-0.4,-0.1,0,-0.1,0,13.8,0,-11.8,"Hip.",1,"SF","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,-0.800000000000004,-0.599999999999998,-1.2,-11.3,-3.8,-5.1,-21.4,-1,-0.399999999999999,0,-0.1,0,23.7,0,-15.3,"Hip.",1,"SF","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,-2,-0.199999999999999,-6.6,-5.1,-7.9,-3.1,-22.6,-1.2,-0.6,0,-0.1,0,27.6,0,-25.2,"Hip.",1,"SF","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,-2.4,-0.0999999999999979,-4.6,-4.4,-5.8,-5.9,-20.8,-1.3,-0.6,0,-0.1,0,26.5,0,-25.6,"Hip.",1,"SF","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
-0.0999999999999943,0.899999999999999,-0.5,-3,0,-9.9,-2.4,-17.6,-0.7,0.2,0,-0.1,0,16,0,-13.5,"Hip.",1,"SF","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,-2.2,-0.199999999999999,-6.6,-3.1,-8,-5.1,-22.8,-1.2,-0.5,0,-0.1,0,28,0,-25.5,"Hip.",1,"SF","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
