"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
42.7,21,8.6,6.8,5.2,3.6,10.5,26.2,-10.9,1.2,0,-2.7,0,-83,0,8.4,"Hip.","01","SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
43.1,10,2.7,-0.5,1.1,3.9,4.6,9,-10.6,1.3,0,-1.8,0,-52.9,0,2.7,"Hip.","01","SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
50.8,27.4,12.7,7.4,9.1,8.3,16.3,41.1,-8.2,4.7,0,-2,0,-128,0,85.4,"Hip.","01","SF","Intermediário","HVAC","L","Sala","Curitiba"
32.8,25.3,11.7,12.8,9.7,5.5,7.1,35.2,-11.2,1.6,0,-1.9,0,-91,0,10.9,"Hip.","01","SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.7,25.7,12,10.1,11.1,3.9,13.8,38.9,-10.8,1.6,0,-1.7,0,-95.9,0,10.6,"Hip.","01","SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.3,37.8,18,16.5,0,9.5,12.1,50.1,-7.3,5.6,0,-1.2,0,-144.8,0,99.2,"Hip.","01","SF","Intermediário","HVAC","NE","Sala","Curitiba"
32.8,25.2,11.7,12.8,7.2,5.5,9.4,35,-11.2,1.7,0,-1.9,0,-91,0,11,"Hip.","01","SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.7,25.7,12,10.1,14.2,3.9,10.7,38.9,-10.9,1.6,0,-1.7,0,-96,0,10.6,"Hip.","01","SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.3,37.8,18,16.5,12.4,9.5,0,50.1,-7.3,5.6,0,-1.2,0,-144.8,0,99.3,"Hip.","01","SF","Intermediário","HVAC","NO","Sala","Curitiba"
33.1,11,4.2,0.4,4.3,5.7,3.2,13.7,-10.5,0.7,0,-1.4,0,-49.9,0,1.6,"Hip.","01","SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
33,11.4,4.6,0.4,4.8,4.6,6.2,16.1,-10.3,0.7,0,-1.3,0,-53.2,0,1.4,"Hip.","01","SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.4,17.3,7.5,3.4,0,8.1,5.8,23.1,-8.3,2.5,0,-0.9,0,-81.1,0,37.9,"Hip.","01","SF","Intermediário","HVAC","SE","Sala","Curitiba"
33.1,11,4.3,0.5,3.2,5.8,4.3,13.8,-10.5,0.7,0,-1.4,0,-50.1,0,1.7,"Hip.","01","SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
33,11.4,4.6,0.4,6.2,4.6,4.8,16.1,-10.3,0.7,0,-1.3,0,-53.2,0,1.4,"Hip.","01","SF","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
39.4,17.4,7.5,3.4,5.9,8.1,0,23.1,-8.3,2.5,0,-0.9,0,-81.2,0,37.9,"Hip.","01","SF","Intermediário","HVAC","SO","Sala","Curitiba"
42.7,21.8,9.2,7.2,11.4,3.9,5.8,28.4,-10.8,1.4,0,-2.9,0,-86.4,0,10.6,"Hip.","01","SF","Intermediário","HVAC","O","Dorm. N","Curitiba"
43,10.7,3.2,-0.2,5.1,4.3,2.3,11.4,-10.6,1.5,0,-2.4,0,-55.9,0,4,"Hip.","01","SF","Intermediário","HVAC","O","Dorm. S","Curitiba"
50.8,36,16.6,9.8,22.4,10.7,14.2,57.1,-6.8,5.9,0,-1.2,0,-160.7,0,122.3,"Hip.","01","SF","Intermediário","HVAC","O","Sala","Curitiba"
42.5,38.6,18,15.3,20.2,14.2,21,70.8,-1.8,3.6,0.1,-0.8,0,-164.5,0,150.5,"Hip.","01","SF","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,24,10.9,8.9,15,11.4,13.4,48.7,-1.6,3.5,0.1,-1.9,0,-125.6,0,105.3,"Hip.","01","SF","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,47.1,23.8,12.6,20.5,13.7,28.1,74.9,1.1,7.8,0.1,-0.4,0,-208.1,0,225.4,"Hip.","01","SF","Intermediário","HVAC","L","Sala","Rio de Janeiro"
32.6,41.1,20.5,22.1,16.9,15.5,12.8,67.4,-1.7,3.2,0.1,-0.6,0,-158.3,0,145.3,"Hip.","01","SF","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.6,40.5,20.2,16.4,18.6,10.5,22.8,68.4,-1.5,3.1,0.1,-0.5,0,-158.5,0,144.9,"Hip.","01","SF","Intermediário","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.2,54.1,27.3,23.4,0,16.3,16.9,73.3,2.1,7.7,0.2,-0.3,0,-207.9,0,221.8,"Hip.","01","SF","Intermediário","HVAC","NE","Sala","Rio de Janeiro"
32.6,41,20.5,22.1,12.8,15.5,16.8,67.2,-1.7,3.2,0.1,-0.6,0,-158,0,145,"Hip.","01","SF","Intermediário","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.6,40.5,20.2,16.4,22.8,10.5,18.6,68.4,-1.5,3.1,0.1,-0.5,0,-158.6,0,144.9,"Hip.","01","SF","Intermediário","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.2,54.1,27.3,23.4,17.1,16.3,0,73.4,2.1,7.7,0.2,-0.3,0,-207.9,0,221.8,"Hip.","01","SF","Intermediário","HVAC","NO","Sala","Rio de Janeiro"
32.7,23,11.8,9,10.4,13.5,7.9,40.9,-1.1,2,0.1,-0.2,0,-107.5,0,84.3,"Hip.","01","SF","Intermediário","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.8,22.6,11.7,6.1,11.2,10,13.5,40.8,-0.9,2,0.1,-0.2,0,-107.2,0,83,"Hip.","01","SF","Intermediário","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,29.1,15,9.1,0,13.8,9.7,42.3,0.7,4.1,0.2,-0.1,0,-131.7,0,132,"Hip.","01","SF","Intermediário","HVAC","SE","Sala","Rio de Janeiro"
32.7,23,11.8,9,7.9,13.5,10.3,40.7,-1,2,0.1,-0.2,0,-107.3,0,84.2,"Hip.","01","SF","Intermediário","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.8,22.6,11.7,6.1,13.5,10,11.3,40.8,-0.9,2,0.1,-0.2,0,-107.2,0,83,"Hip.","01","SF","Intermediário","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,29.1,15,9.1,9.8,13.8,0,42.3,0.7,4.1,0.2,-0.1,0,-131.7,0,132,"Hip.","01","SF","Intermediário","HVAC","SO","Sala","Rio de Janeiro"
42.5,38.5,18.5,15,21.2,14.3,19.8,70.3,-1.5,3.4,0.2,-0.8,0,-163.8,0,150,"Hip.","01","SF","Intermediário","HVAC","O","Dorm. N","Rio de Janeiro"
42.6,24.1,11.4,9,13.5,11.1,14.8,48.4,-1.3,3.2,0.1,-1.9,0,-125,0,105.1,"Hip.","01","SF","Intermediário","HVAC","O","Dorm. S","Rio de Janeiro"
50.7,50.7,25,14.2,31.6,15.1,23.6,84.5,2.9,8.7,0,-0.2,0,-227.3,0,245.8,"Hip.","01","SF","Intermediário","HVAC","O","Sala","Rio de Janeiro"
42.6,27.9,12.4,10.3,11.2,7.7,14.8,44.1,-7.2,2.3,0,-1.9,0,-116.1,0,58.6,"Hip.","01","SF","Intermediário","HVAC","L","Dorm. N","São Paulo"
