"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.100000000000001,1.2,1.6,0.800000000000001,4,0.6,0,5.4,-0.3,0.3,0,-8.5,0.0999999999999996,0,-2.9,2.89999999999999,0,0.0999999999999979,"Hip.",1,"TV","Térreo","AFN","L","Dorm. N","Curitiba"
-0.100000000000001,1,1.2,4.6,1.7,-0.9,1.3,6.5,-0.3,0.3,0,-9,0.2,0,-3.3,3.30000000000001,-0.0999999999999979,0,"Hip.",1,"TV","Térreo","AFN","L","Dorm. S","Curitiba"
-0.399999999999999,-0.4,1.5,1.5,3.5,0.5,0.899999999999999,6.3,-0.6,0.2,0,-6.5,0.0999999999999996,3,-0.6,-2.40000000000001,0.0999999999999979,0.300000000000001,"Hip.",1,"TV","Térreo","AFN","L","Sala","Curitiba"
-0.100000000000001,1.7,1.2,0.399999999999999,1,1.2,-0.4,2.1,-0.3,0.2,0,-5.09999999999999,0.1,0,-0.8,0.699999999999989,0.100000000000001,0.199999999999999,"Hip.",1,"TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
0,1.7,0.799999999999999,0,-0.500000000000002,0.8,0,0.399999999999999,-0.3,0.2,0,-3.2,0.1,0.1,-0.2,0.200000000000003,0.300000000000001,0.299999999999997,"Hip.",1,"TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.200000000000003,0.5,1.3,0.699999999999999,0,1.7,0.7,4.1,-0.4,0.0999999999999996,0,-5.5,0.1,4.4,0,-4.40000000000001,0.199999999999999,0.199999999999999,"Hip.",1,"TV","Térreo","AFN","NE","Sala","Curitiba"
-0.100000000000001,1.7,1.1,0.300000000000001,-0.300000000000001,1.2,0.4,1.6,-0.3,0.2,0,-4.5,0.1,0.1,-0.9,0.799999999999997,0.100000000000001,0.199999999999999,"Hip.",1,"TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
0,1.7,0.799999999999999,0,0.0999999999999979,0.8,-0.5,0.399999999999999,-0.3,0.1,0,-3.2,0.1,0.1,-0.3,0.200000000000003,0.300000000000001,0.299999999999997,"Hip.",1,"TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.200000000000003,0.5,1.3,0.699999999999999,0.899999999999999,1.7,0,4.1,-0.4,0.2,0,-5.5,0.1,4.5,0,-4.5,0.199999999999999,0.199999999999999,"Hip.",1,"TV","Térreo","AFN","NO","Sala","Curitiba"
0,1,1.1,4.4,0.3,0.800000000000001,0,5.6,-0.399999999999999,0.2,0,-7.7,0.2,0,-3.4,3.39999999999999,0,0.200000000000003,"Hip.",1,"TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
