"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-7.8,1.8,-3.1,0,3.2,4.6,133.3,0,0,NA,12.5,NA,-0.2,NA,0,"Hip.","01","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
0,-2.2,-33.3,0,1.5,0,-6.7,-2,0,0,NA,14.3,NA,0.9,NA,100,"Hip.","01","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
0,0,0,0,25,1.8,20.2,10.9,1.4,-34.2,NA,13.3,NA,-1.1,NA,15.4,"Hip.","01","TV","Térreo","HVAC","L","Sala","Curitiba"
0,-16.7,9.6,52.9,4,9.1,7.5,26.7,0,0,NA,6.7,NA,-7,NA,66.7,"Hip.","01","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,-19.4,8.7,52.4,6.5,7.1,7.2,19.1,-1.3,10,NA,7.1,NA,-6.4,NA,100,"Hip.","01","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,-4.2,5.6,40,NA,4.5,3.7,15.7,0,-23.3,-100,0,NA,-3.7,NA,16.7,"Hip.","01","TV","Térreo","HVAC","NE","Sala","Curitiba"
0,-16.7,9.5,50,7.3,4.8,3.8,26.6,0,9.1,NA,6.7,NA,-6.9,NA,66.7,"Hip.","01","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,-19.4,8.7,52.4,7.1,7.1,6.7,19.1,-1.3,10,NA,7.1,NA,-6.4,NA,100,"Hip.","01","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,-4.2,5.6,41.3,3.6,4.5,NA,15.7,0,-21.4,-100,0,NA,-3.7,NA,16.7,"Hip.","01","TV","Térreo","HVAC","NO","Sala","Curitiba"
0.3,4.9,-27.3,0,0,-28.6,-4.3,-175,2.3,0,NA,7.7,NA,4,NA,NA,"Hip.","01","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
0.3,1.4,-13.3,0,-6.1,-18.4,-4.7,-21.6,1.1,0,NA,8.3,NA,3.4,NA,NA,"Hip.","01","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
