"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.200000000000003,2.5,1.6,1.2,5.6,2.3,-0.200000000000003,8.9,-0.5,0.6,0,-13.2,0.3,0.6,-2.1,1.40000000000001,0.400000000000002,0.399999999999999,"Hip.",1,"TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.200000000000003,1.6,1.3,4.5,2.1,-1.3,1.5,6.7,-0.399999999999999,0.6,0,-10.3,0.2,0.2,-4.3,4.09999999999999,0.0999999999999979,0.199999999999999,"Hip.",1,"TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.5,1.5,1.3,1.9,5.1,0.7,1.4,9.2,-0.8,0.3,0,-10.2,0.2,5.5,-2.8,-2.60000000000001,0.799999999999997,0.5,"Hip.",1,"TV","Intermediário","AFN","L","Sala","Curitiba"
-0.200000000000003,2,1.4,0.899999999999999,2,3.6,-0.5,6,-0.5,0.4,0,-9.40000000000001,0.1,0.9,-2.9,1.89999999999999,0.600000000000001,0.399999999999999,"Hip.",1,"TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.100000000000001,1.6,1,0.299999999999999,-0.400000000000002,2.9,0.300000000000001,3.3,-0.4,0.3,0,-6.29999999999998,0.1,0.9,-0.2,-0.699999999999989,0.699999999999999,0.5,"Hip.",1,"TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.399999999999999,1.6,1.1,1,0,4.3,1,7.6,-0.7,0.2,0,-9.10000000000001,0.0999999999999996,6.8,0,-6.8,0.5,0.400000000000002,"Hip.",1,"TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.100000000000001,1.8,1.3,0.800000000000001,-0.4,3.6,1.3,5.3,-0.399999999999999,0.3,0,-8.5,0.2,0.9,-2.9,2,0.5,0.399999999999999,"Hip.",1,"TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.100000000000001,1.6,1,0.299999999999999,0.399999999999999,2.9,-0.399999999999999,3.3,-0.4,0.3,0,-6.39999999999998,0.1,0.9,-0.2,-0.699999999999989,0.699999999999999,0.5,"Hip.",1,"TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.399999999999999,1.5,1.1,1,1.1,4.3,0,7.6,-0.7,0.1,0,-9.2,0.0999999999999996,6.9,0,-6.89999999999999,0.5,0.400000000000002,"Hip.",1,"TV","Intermediário","AFN","NO","Sala","Curitiba"
-0.100000000000001,1.5,1.1,4.1,0.4,0.800000000000001,0,5.3,-0.5,0.3,0,-7.89999999999999,0.1,0.1,-2.2,2,0.199999999999999,0.300000000000001,"Hip.",1,"TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
