"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.600000000000001,2.6,1.7,2,8.6,4.5,-0.0999999999999996,15,-0.9,0.3,0,-0.2,-1.5,-16.1,-1.5,1.8,"Hip.",1,"TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.799999999999997,1.4,1.3,6.1,4.1,-0.600000000000001,1.3,10.9,-0.9,0.3,0,-0.2,-3,-9,-3,0.6,"Hip.",1,"TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.200000000000003,2.1,1.5,2,5.6,0.6,1.8,10.1,-0.8,0.5,0,-0.2,0,-13,0,10.8,"Hip.",1,"TV","Intermediário","HVAC","L","Sala","Curitiba"
-0.200000000000003,3,1.7,2,3,6.9,0.600000000000001,12.4,-0.700000000000001,0.2,0,-0.2,0,-16.1,0,2.4,"Hip.",1,"TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.100000000000001,2.6,1.5,1.1,1.6,5.5,1.5,9.7,-0.5,0.2,0,-0.0999999999999999,0,-13.1,0,2.4,"Hip.",1,"TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,2.2,1.3,1.5,0,4.8,0.6,8.4,-0.4,0.4,0,-0.1,0,-11.8,0,13.2,"Hip.",1,"TV","Intermediário","HVAC","NE","Sala","Curitiba"
-0.200000000000003,2.8,1.6,1.8,0.7,6.9,2.4,11.8,-0.700000000000001,0.2,0,-0.1,0,-15.3,0,2.5,"Hip.",1,"TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.100000000000001,2.6,1.5,1.1,1.6,5.5,1.5,9.7,-0.5,0.2,0,-0.0999999999999999,0,-13.2,0,2.4,"Hip.",1,"TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,2.2,1.3,1.4,0.800000000000001,4.9,0,8.4,-0.4,0.5,0,-0.1,0,-11.7,0,13.2,"Hip.",1,"TV","Intermediário","HVAC","NO","Sala","Curitiba"
-0.5,1.5,1.1,6.5,0.9,1.2,0.2,8.8,-0.9,0.1,0,-0.1,-1.6,-8.3,-1.6,0.2,"Hip.",1,"TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
-0.399999999999999,1.5,1,5.3,1,0.8,1.1,8.2,-0.8,0.2,0,-0.1,-0.3,-9.1,-0.3,0.2,"Hip.",1,"TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
-0.199999999999996,1.6,1.3,4.8,0,1.1,0.6,7.6,-0.800000000000001,0.4,0,0,0,-9.59999999999999,0,6.6,"Hip.",1,"TV","Intermediário","HVAC","SE","Sala","Curitiba"
-0.5,1.4,1.1,6.7,0.4,1.1,0.4,8.5,-1,0.1,0,-0.1,-1.5,-8.1,-1.5,0.3,"Hip.",1,"TV","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
-0.399999999999999,1.5,1,5.3,1.1,0.8,1,8.2,-0.8,0.2,0,-0.1,-0.3,-9.2,-0.3,0.2,"Hip.",1,"TV","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
-0.199999999999996,1.6,1.2,4.8,0.7,1.2,0,7.6,-0.800000000000001,0.3,0,0,0,-9.6,0,6.6,"Hip.",1,"TV","Intermediário","HVAC","SO","Sala","Curitiba"
-0.5,2.3,1.6,1.6,0.4,5,6.4,13.4,-0.800000000000001,0.3,-0.1,-0.2,-1.4,-14.6,-1.4,2,"Hip.",1,"TV","Intermediário","HVAC","O","Dorm. N","Curitiba"
-0.700000000000003,1.2,1.3,6.8,1.9,-1.2,1.9,9.5,-0.8,0.3,0,-0.2,-2.6,-8,-2.6,0.6,"Hip.",1,"TV","Intermediário","HVAC","O","Dorm. S","Curitiba"
-0.100000000000001,1.9,1.3,2.2,2,0.800000000000001,3.8,8.8,-0.699999999999999,0.5,0,-0.1,0,-11.3,0,8.5,"Hip.",1,"TV","Intermediário","HVAC","O","Sala","Curitiba"
0,0.600000000000001,0.800000000000001,0.300000000000001,0.199999999999999,-0.800000000000001,-0.600000000000001,-0.799999999999997,0,0,0.1,0,0,-0.400000000000006,0,4.09999999999999,"Hip.",1,"TV","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
0,-0.199999999999999,0.5,1.9,-3.7,-2.1,1,-2.90000000000001,0.1,0,0,0,0,2.40000000000001,0,-1.5,"Hip.",1,"TV","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
0,-0.5,0,0.700000000000001,-2.5,-0.799999999999999,-0.5,-3.2,0,0,0,0,0,3.90000000000001,0,-0.400000000000006,"Hip.",1,"TV","Intermediário","HVAC","L","Sala","Rio de Janeiro"
