"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,1.1,-29.9,-5.2,-2.2,-3,-5.6,-4.2,7.3,-3.7,NA,4.8,-2.9,-100,Inf,0,-3.4,-6.2,"Hip.","02","SF","Térreo","AFN","L","Dorm. N","Curitiba"
0,-6.4,17.4,5.1,5.7,1.2,3.2,3.2,1.6,-6.9,NA,0.6,0,NA,0,0,-2.7,-5.7,"Hip.","02","SF","Térreo","AFN","L","Dorm. S","Curitiba"
0.6,0,-31.5,-4.8,-6.2,-8.5,-7.3,-6.4,5.5,-6.1,NA,5,-3.2,-21.2,NA,6.9,-4.7,1.1,"Hip.","02","SF","Térreo","AFN","L","Sala","Curitiba"
0.3,2,-29.4,-6.5,-5.5,-3.7,-5.7,-5.5,9.4,-7.7,NA,6.1,-2.9,-100,Inf,0,-3.8,-2.2,"Hip.","02","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
0.3,1.5,-28.3,-6.5,-6,-5.3,-6,-5.8,9.8,-7.7,NA,6.1,-2.8,-100,Inf,0,-4.4,-4.4,"Hip.","02","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.8,5.1,-37.2,-11,-11.6,-10.7,-10.1,-11.2,6.6,-10.5,NA,9.3,-6.1,-22.6,NA,9.7,-3.5,1.1,"Hip.","02","SF","Térreo","AFN","NE","Sala","Curitiba"
0.3,2,-29.4,-6.5,-6.7,-3.7,-5.6,-5.8,9.4,-7.4,NA,6.1,-2.9,-100,Inf,0,-4.1,-2.2,"Hip.","02","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
0.3,1.5,-28.3,-5.6,-5.9,-5.3,-6.9,-6,9.8,-7.7,NA,6.2,-2.8,-100,Inf,0,-4.4,-4.4,"Hip.","02","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.8,5.1,-37.2,-11,-11.1,-10.7,-10.4,-10.8,6.6,-10.5,NA,9.3,-6.1,-22.8,NA,9.9,-3.5,1.1,"Hip.","02","SF","Térreo","AFN","NO","Sala","Curitiba"
0.3,-6.7,16.7,6,2.4,0,2.9,2.2,3.4,5,NA,0.1,0,NA,Inf,-0.2,-2.7,-4.6,"Hip.","02","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
0,-6.9,17.2,5.7,3,1.1,2.6,2.6,1.8,0,NA,-0.1,0,NA,Inf,-0.1,-2.7,-5.7,"Hip.","02","SF","Térreo","AFN","SE","Dorm. 2","Curitiba"
0.3,-10.1,0,4.3,2.4,0,2.4,1.9,2.7,0,NA,1.1,0,-12.6,NA,2.5,-2.6,2.2,"Hip.","02","SF","Térreo","AFN","SE","Sala","Curitiba"
0.3,-6.7,16.5,6,1.4,0,2.4,1.9,3.4,5,NA,0.1,0,NA,Inf,-0.2,-2.7,-5.2,"Hip.","02","SF","Térreo","AFN","SO","Dorm. 1","Curitiba"
0,-6.9,17.2,5.7,3.5,0,2,2.6,1.8,0,NA,-0.1,0,NA,Inf,-0.1,-2.7,-5.7,"Hip.","02","SF","Térreo","AFN","SO","Dorm. 2","Curitiba"
0.3,-10.1,0,4.3,2.4,0,0,1.9,2.7,0,NA,1.3,0,-12.6,NA,2.5,-2.6,2.2,"Hip.","02","SF","Térreo","AFN","SO","Sala","Curitiba"
0.4,1.7,-31.2,-5.1,-5.4,-2.9,-2.1,-4.3,8.9,-6.9,NA,5.3,-2.9,-100,Inf,0.1,-3.6,-2.2,"Hip.","02","SF","Térreo","AFN","O","Dorm. N","Curitiba"
0.2,-6.5,13.5,5,3.2,-1.2,3.8,2.3,3.2,-6.5,NA,1,0,-100,50,-0.1,-2.9,-6.9,"Hip.","02","SF","Térreo","AFN","O","Dorm. S","Curitiba"
