"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.4,18.6,-4.5,4.6,3.2,1.9,7.4,17.1,-10.1,0.6,0,-2.9,1,-59.7,1,10.2,"Hip.","02","SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
44,9.4,-3.2,-1,0.6,3,3.7,6.3,-9.9,0.9,0,-2.3,2.2,-46.1,2.2,7.2,"Hip.","02","SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.1,25.8,8.1,7.2,8.9,7.9,12.9,36.9,-6.8,6.3,0,-2.6,0,-121,0,90.2,"Hip.","02","SF","Cobertura","HVAC","L","Sala","Curitiba"
33.3,21,-3.1,6.7,6.8,3,4.6,21,-10.1,1,0,-2.4,0.9,-59.2,0.9,10.4,"Hip.","02","SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.3,20.9,-3,5.2,7.3,2.2,9.2,23.9,-9.8,0.9,0,-2.2,0.7,-62,0.7,10.3,"Hip.","02","SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.4,34.5,10.3,11.8,10.3,8.4,10.6,41.1,-5.9,6.3,0.1,-1.4,0,-127,0,93.4,"Hip.","02","SF","Cobertura","HVAC","NE","Sala","Curitiba"
33.3,21,-3.1,6.7,4.7,3,6.5,20.9,-10.1,1.1,0,-2.4,0.9,-59.2,0.9,10.5,"Hip.","02","SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.3,20.9,-3.1,5.2,9.6,2.2,6.9,23.9,-9.9,0.9,0,-2.2,0.7,-62.1,0.7,10.3,"Hip.","02","SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.4,34.5,10.3,11.8,10.8,8.4,10.1,41.1,-5.9,6.3,0.1,-1.4,0,-127.1,0,93.5,"Hip.","02","SF","Cobertura","HVAC","NO","Sala","Curitiba"
33.9,10.6,-1.8,0,3.8,4.6,2.6,11,-9.6,0.5,0,-1.9,2.3,-43.9,2.3,7,"Hip.","02","SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
33.8,10.9,-1.8,0,3.9,3.6,5.2,12.7,-9.4,0.5,0,-1.8,2,-45.7,2,6.8,"Hip.","02","SF","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.7,17.8,8,4.1,6.3,7.8,6.4,24.7,-6.9,3.9,0,-1.3,0.1,-87.8,0.1,58.7,"Hip.","02","SF","Cobertura","HVAC","SE","Sala","Curitiba"
33.9,10.6,-1.7,0,2.7,4.6,3.8,11,-9.6,0.5,0,-1.9,2.3,-44,2.3,7,"Hip.","02","SF","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
33.8,10.9,-1.8,0,5.2,3.6,3.9,12.7,-9.4,0.5,0,-1.8,2,-45.7,2,6.8,"Hip.","02","SF","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.7,17.8,8,4.1,6.5,7.8,6.3,24.7,-6.9,3.9,0,-1.3,0.1,-87.9,0.1,58.7,"Hip.","02","SF","Cobertura","HVAC","SO","Sala","Curitiba"
43.4,19.1,-4.2,4.7,8,2.1,3.6,18.5,-10.1,0.7,0,-2.9,1,-61.8,1,11.7,"Hip.","02","SF","Cobertura","HVAC","O","Dorm. N","Curitiba"
44,9.8,-2.8,-0.9,3.9,3.2,1.4,7.6,-9.9,1,0,-2.4,2.1,-47.8,2.1,8.3,"Hip.","02","SF","Cobertura","HVAC","O","Dorm. S","Curitiba"
51,35.6,11.4,9.3,17.4,10,13.4,50.1,-5.5,8,0.1,-1.2,0,-153,0,125,"Hip.","02","SF","Cobertura","HVAC","O","Sala","Curitiba"
42.4,40.7,16.9,15.7,20.4,14.4,21.4,72,-2.3,3.8,0.1,-0.9,0,-165,0,146.4,"Hip.","02","SF","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
42.5,27.5,17.3,10.3,16.6,13,16,55.9,-2.5,3.8,0.1,-3,0,-140.2,0,121.5,"Hip.","02","SF","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,51.5,30.3,14.9,23.5,15.6,28.8,82.8,1.2,13.8,0.1,-0.6,0,-237.4,0,252.6,"Hip.","02","SF","Cobertura","HVAC","L","Sala","Rio de Janeiro"
32.6,43.5,18.3,22.5,17.2,15.7,13.1,68.6,-2.2,3.3,0.1,-0.7,0,-157.5,0,139.6,"Hip.","02","SF","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
