"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,3.9,0,-15.4,0.7,1.2,12.5,5.6,0,0,Inf,9.5,10.9,-3.9,10.9,26.5,"Hip.","03","C10","Cobertura","HVAC","L","Dorm. N","Curitiba"
0,-6.9,0,2.6,3.5,-4.2,-23.7,-1.1,2.6,-12.5,NA,15.8,15.5,-3,13.9,21.7,"Hip.","03","C10","Cobertura","HVAC","L","Dorm. S","Curitiba"
0.2,-2.3,5.3,2.9,19.4,6.3,8.2,12.9,3.4,-34.9,NA,25,100,-1.2,100,9.1,"Hip.","03","C10","Cobertura","HVAC","L","Sala","Curitiba"
-0.3,3,0,88.6,-2.5,-3.3,4.4,94.7,-2.6,9.1,NA,33.3,11.1,-10.2,11.1,45.7,"Hip.","03","C10","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
0,0,12.5,135.5,6.3,-2.9,9.8,45.7,-2.6,0,NA,33.3,25,-10.7,25,45.9,"Hip.","03","C10","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,1.3,5.7,58.4,14.7,100,8.8,26.4,0,-21.7,-100,38.5,NA,-6.4,NA,14.3,"Hip.","03","C10","Cobertura","HVAC","NE","Sala","Curitiba"
-0.3,2.9,0,90.9,6.7,-3.3,-2.1,88.6,-2.6,8.3,NA,33.3,11.1,-10.4,11.1,44.7,"Hip.","03","C10","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
0,0,12.5,135.5,9.7,-2.9,6.5,44.8,-2.6,10,NA,33.3,25,-10.7,25,45.9,"Hip.","03","C10","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,1.3,5.7,58.4,8.8,100,14.7,26.9,0,-21.7,-100,38.5,NA,-6.5,NA,14.5,"Hip.","03","C10","Cobertura","HVAC","NO","Sala","Curitiba"
0.3,-11.4,40,6.5,13,-46.1,-13.3,-100,5.1,-16.7,NA,43.8,39.5,1.2,39.5,26.3,"Hip.","03","C10","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0.6,-12.4,28.6,7,-13.2,-29.6,-5.7,-54.8,3.8,-16.7,NA,43.8,54.2,0,54.2,38.9,"Hip.","03","C10","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0.3,-11.9,6,15.3,-12.5,-20.5,-2,-12.4,6.2,-39.3,NA,41.7,150,4.5,150,0.8,"Hip.","03","C10","Cobertura","HVAC","SE","Sala","Curitiba"
0.6,-11.3,40,6.5,-13.3,-44.7,10,-133.3,5.1,-16.7,NA,47.1,40.5,1.2,40.5,23.8,"Hip.","03","C10","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
0.6,-12.4,28.6,7,-5.7,-29.6,-13.2,-54.8,3.8,-16.7,NA,43.8,54.2,0.3,54.2,38.9,"Hip.","03","C10","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
0.3,-11.8,6,15.3,-2,-20.5,-14.3,-12.3,6.2,-39.3,NA,41.7,150,4.4,150,0.5,"Hip.","03","C10","Cobertura","HVAC","SO","Sala","Curitiba"
0,1.4,9.1,-2.6,11.9,1.2,1,18.3,0,0,0,-4.8,11.6,-3.5,11.6,22.7,"Hip.","03","C10","Cobertura","HVAC","O","Dorm. N","Curitiba"
0.2,-8.2,9.1,2.6,-23.7,3.4,8.5,1.7,2.5,0,NA,-5,13.8,-2.2,13.8,20,"Hip.","03","C10","Cobertura","HVAC","O","Dorm. S","Curitiba"
0,3.1,4.2,0,26.8,5.4,15.6,15.8,2,-34.5,0,9.1,200,-3.2,200,8.1,"Hip.","03","C10","Cobertura","HVAC","O","Sala","Curitiba"
0,4.3,0.5,0,-1,-1.2,4.6,1.1,-25,0,100,0,NA,-1.4,NA,2,"Hip.","03","C10","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
0,2.3,0,3.2,0.9,1.6,-2.7,0.3,0,0,0,-8.7,NA,-0.5,NA,0.8,"Hip.","03","C10","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
0,5.7,1.6,1.4,1.5,2.9,19.3,7.6,5.6,-31.7,0,20,NA,-1.8,NA,1.7,"Hip.","03","C10","Cobertura","HVAC","L","Sala","Rio de Janeiro"
0,7.5,0.5,10.1,1.9,-2.3,2.5,3.7,-300,2.6,0,40,NA,-4,NA,4.7,"Hip.","03","C10","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,7,0.9,8.8,2.6,-2.4,4.1,3.9,-100,2.6,0,40,NA,-4,NA,4.9,"Hip.","03","C10","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,7,1.9,23.9,5.9,1.4,5.2,9.3,0,-27.9,100,66.7,NA,-3.5,NA,3.3,"Hip.","03","C10","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
0,7.7,0.5,9.7,1.9,-2.3,1.4,3.5,-200,2.6,0,40,NA,-3.9,NA,4.7,"Hip.","03","C10","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
