"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.600000000000001,8.3,4,0.9,13.9,7.2,-1.3,20.8,-2.7,1.3,-0.1,-31.1,0.5,2.3,-6,3.7,3.6,2.6,"Hip.",3,"SF","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.299999999999997,5.2,2.8,10.2,6.2,-4.1,1.9,14.3,-1.9,1.3,0,-23,0.4,0.9,-9.7,8.89999999999999,1.8,4,"Hip.",3,"SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-1.8,7.7,4.8,5.5,12.9,2.7,4.9,25.9,-2.7,1.2,0,-34.5,0.6,17.6,-3.6,-13.9,4.5,2.9,"Hip.",3,"SF","Intermediário","AFN","L","Sala","Curitiba"
-0.299999999999997,6.8,2.9,0.199999999999999,2.9,9.4,-2.5,9.8,-2.6,0.6,0,-17.4,0.2,3,-3,0,5.1,1.2,"Hip.",3,"SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.200000000000003,5.1,1.8,-1.2,-2.9,6.9,-1.4,1.4,-2.3,0.5,0,-7,0,2.5,-0.8,-1.8,5.1,0.100000000000001,"Hip.",3,"SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1.2,8,4.2,3.4,3.9,10.2,3.5,21.2,-2.1,1.2,0,-31.7,0.4,19.1,0,-19.1,4.9,1.8,"Hip.",3,"SF","Intermediário","AFN","NE","Sala","Curitiba"
-0.299999999999997,6.6,2.8,-0.0999999999999979,-2.4,9.5,1.5,8.5,-2.6,0.5,0,-15.7,0.2,2.8,-3,0.300000000000011,4.7,1.2,"Hip.",3,"SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.200000000000003,5.1,1.8,-1,-1.1,7,-3.2,1.5,-2.3,0.6,0,-7.19999999999999,0,2.5,-0.8,-1.8,5.1,0.100000000000001,"Hip.",3,"SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1.2,8,4.2,3.4,3.8,10.2,3.8,21.1,-2.1,1.2,0,-31.8,0.4,18.9,0,-18.9,4.9,1.8,"Hip.",3,"SF","Intermediário","AFN","NO","Sala","Curitiba"
-0.200000000000003,4.9,2.5,9.3,0.3,0.9,-0.9,9.7,-1.9,0.6,0,-16,0.3,0.5,-7.3,6.8,2.3,2.9,"Hip.",3,"SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.200000000000003,4.3,2.1,6.9,-0.800000000000001,0.299999999999999,0.4,6.7,-1.6,0.7,0,-12.7,0.2,0.5,-5.6,5.19999999999999,2.5,1,"Hip.",3,"SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-1.09999999999999,5.6,3.7,9.1,2.9,2.8,2.7,17.4,-1.9,0.6,0,-24,0.6,14.7,-4.8,-9.90000000000001,2.1,2,"Hip.",3,"SF","Intermediário","AFN","SE","Sala","Curitiba"
-0.100000000000001,4.6,2.3,9.5,-0.9,0.800000000000001,-0.800000000000001,8.4,-1.9,0.6,0,-14.5,0.3,0.5,-7.1,6.59999999999999,2.1,2.9,"Hip.",3,"SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.200000000000003,4.3,2.1,6.9,0.5,0.299999999999999,-0.9,6.7,-1.6,0.6,0,-12.7,0.2,0.5,-5.6,5.09999999999999,2.5,1,"Hip.",3,"SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-1.09999999999999,5.6,3.7,9.1,2.8,2.8,2.7,17.3,-1.9,0.6,0,-24,0.6,14.7,-4.8,-9.90000000000001,2.1,2,"Hip.",3,"SF","Intermediário","AFN","SO","Sala","Curitiba"
-0.5,7,3.5,-1.5,-0.699999999999999,7.8,9.8,15.4,-2.6,1.1,-0.1,-24.5,0.4,1.9,-5.6,3.69999999999999,2.8,2.5,"Hip.",3,"SF","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.200000000000003,4.2,2.7,10.8,2.7,-6.4,1.8,8.9,-1.7,1.2,0,-16.8,0.3,0.5,-7.7,7.2,1,3.6,"Hip.",3,"SF","Intermediário","AFN","O","Dorm. S","Curitiba"
-2,9,5.2,6.6,6.1,4,11.6,28.2,-2.5,1.2,0,-38.5,0.6,18.5,-3,-15.6,3.3,3,"Hip.",3,"SF","Intermediário","AFN","O","Sala","Curitiba"
-1.4,7.7,3.6,0,10.7,6.7,-1.5,15.9,-2.7,1.1,0,-23.8,0.2,9.69999999999999,0,-9.7,3.9,0.5,"Hip.",3,"SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.899999999999999,4.6,2.3,8.9,1.3,-5.5,2.7,7.3,-1.5,1.5,0,-15.3,0.2,6.6,0,-6.6,1.6,0.5,"Hip.",3,"SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-1.9,8.3,4.6,5.9,10.8,2.8,4.5,24,-2.7,1.1,0,-32.3,0.4,7.7,0,-7.7,4.1,1.3,"Hip.",3,"SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
-0.700000000000003,6.3,2.8,-0.400000000000002,2.1,8.7,-2.2,8.1,-2.6,0.5,0,-13.7,0.0999999999999996,3.90000000000001,0,-3.9,4.1,0.0999999999999979,"Hip.",3,"SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.299999999999997,5,1.8,-1.3,-2.5,6.4,-1.4,1.4,-2.3,0.5,0,-5.69999999999999,0.100000000000001,0.5,0,-0.5,4.1,-0.300000000000001,"Hip.",3,"SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1.2,7.7,4,2.9,3.4,8.5,3,17.8,-1.9,1.2,0,-28.6,0.3,2.09999999999999,0,-2.1,4.3,0.699999999999999,"Hip.",3,"SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-0.600000000000001,6.4,2.7,-0.300000000000001,-2.2,8.4,2,8,-2.7,0.5,0,-13.5,0.0999999999999996,3.7,0,-3.7,4.2,0,"Hip.",3,"SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.299999999999997,5,1.8,-1.3,-1.4,6.4,-2.4,1.4,-2.3,0.5,0,-5.69999999999999,0.100000000000001,0.600000000000009,0,-0.599999999999998,4.1,-0.400000000000002,"Hip.",3,"SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
