"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,13.9,8.1,13.2,17.6,19.4,12.6,15.1,0,25,NA,3.6,NA,-9.2,NA,16.5,"Hip.","03","SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.2,0,59.3,80,45.5,12.8,13,22,-0.9,15.4,NA,14.3,NA,-7.6,NA,16,"Hip.","03","SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
0,5.6,9.6,6.8,9,6.1,27.4,14.5,-2.4,-24.6,NA,23.1,NA,-5.3,NA,13.7,"Hip.","03","SF","Intermediário","HVAC","L","Sala","Curitiba"
-0.3,20.8,15.5,36.2,16.1,25.5,19.4,25,-2.8,26.7,NA,20.8,NA,-17.3,NA,54.3,"Hip.","03","SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.3,19,17.5,36.6,17.9,24.3,16.7,22.4,-1.9,26.7,NA,21.7,NA,-16.6,NA,50,"Hip.","03","SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
0,10.8,6.3,31.1,NA,7.6,7.7,14.9,-4.1,-17.1,-100,20,NA,-7.4,NA,13.6,"Hip.","03","SF","Intermediário","HVAC","NE","Sala","Curitiba"
-0.3,20.8,15.5,36.2,17.4,25.5,16.7,25.1,-2.8,18.7,NA,20.8,NA,-17.2,NA,54.3,"Hip.","03","SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.3,19,17.5,37.8,16.2,24.3,18.4,22.3,-1.9,26.7,NA,21.7,NA,-16.6,NA,51.2,"Hip.","03","SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
0,10.8,6.3,31.1,7.5,7.6,NA,14.9,-4.1,-18.6,-100,20,NA,-7.3,NA,13.6,"Hip.","03","SF","Intermediário","HVAC","NO","Sala","Curitiba"
-0.3,2.7,40.5,80,9.1,6.7,9.1,11.3,-1,14.3,NA,22.2,NA,-7.6,NA,6.7,"Hip.","03","SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
-0.3,4.4,39.1,75,12,12.8,12.7,13.4,-1,0,NA,23.5,NA,-9,NA,7.7,"Hip.","03","SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0,-1.7,23.7,11.8,NA,17.6,6.8,11.1,1.2,-25,NA,23.1,NA,-3.4,NA,5.9,"Hip.","03","SF","Intermediário","HVAC","SE","Sala","Curitiba"
0,1.8,37.2,80,12.1,8.3,9.1,10.5,-1,14.3,NA,22.2,NA,-7.6,NA,6.7,"Hip.","03","SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
-0.3,4.4,39.1,75,12.7,12.8,12.2,13.4,-1,0,NA,23.5,NA,-8.8,NA,7.7,"Hip.","03","SF","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
0,-1.7,23.7,11.8,8.5,17.6,NA,10.6,1.2,-25,NA,23.1,NA,-3.3,NA,5.9,"Hip.","03","SF","Intermediário","HVAC","SO","Sala","Curitiba"
-0.2,11.9,7.7,14.1,12.6,17.9,15.5,13.9,0,21.4,NA,-3.6,NA,-8.4,NA,12.9,"Hip.","03","SF","Intermediário","HVAC","O","Dorm. N","Curitiba"
0,0,50,200,12,11.6,22.7,16.7,-0.9,14.3,NA,-9.1,NA,-6.3,NA,7.7,"Hip.","03","SF","Intermediário","HVAC","O","Dorm. S","Curitiba"
0,9,3.1,4.1,24.9,3.8,4.3,11.6,-1.4,-27.7,-100,14.3,NA,-4.1,NA,8.1,"Hip.","03","SF","Intermediário","HVAC","O","Sala","Curitiba"
0,4.4,0.6,5.2,4.5,4.9,4.8,4.5,11.1,8.3,0,0,NA,-3.7,NA,5.5,"Hip.","03","SF","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
0,-3.7,7.3,3.4,2.7,2.6,1.5,2.5,6.3,5.7,0,-5.9,NA,-1.3,NA,2.2,"Hip.","03","SF","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
0,2.6,-1.3,2.4,2.5,2.2,19.7,8.3,0,-30.1,0,20,NA,-0.9,NA,0.9,"Hip.","03","SF","Intermediário","HVAC","L","Sala","Rio de Janeiro"
-0.3,7.7,1.5,10.5,5.4,6.5,5.5,7.3,0,6.2,0,0,NA,-5.9,NA,8.6,"Hip.","03","SF","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
-0.3,6.8,2,9.6,5.4,5.8,5.8,6.6,0,6.5,0,16.7,NA,-5.5,NA,8.2,"Hip.","03","SF","Intermediário","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,3.8,-3.3,18.6,NA,1.9,1.8,6.7,0,-26,100,50,NA,-1.3,NA,1.1,"Hip.","03","SF","Intermediário","HVAC","NE","Sala","Rio de Janeiro"
-0.3,7.5,1.5,10,6.3,5.9,4.8,7.2,-7.1,6.2,0,0,NA,-5.8,NA,8.6,"Hip.","03","SF","Intermediário","HVAC","NO","Dorm. 1","Rio de Janeiro"
-0.3,6.5,2,9.6,5.8,5.8,5.4,6.6,0,6.5,0,16.7,NA,-5.5,NA,8.2,"Hip.","03","SF","Intermediário","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,3.8,-3.3,18.6,1.8,1.9,NA,6.6,0,-26.2,100,50,NA,-1.3,NA,1.1,"Hip.","03","SF","Intermediário","HVAC","NO","Sala","Rio de Janeiro"
0.3,-6.4,0,-1.1,-1.9,-9.3,-3.6,-4.6,18.2,-4.8,0,81.8,NA,2.8,NA,-6.7,"Hip.","03","SF","Intermediário","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-6.1,0,0,-2.6,-9.8,-1.4,-4.2,20,-4.8,0,80,NA,2.6,NA,-6.7,"Hip.","03","SF","Intermediário","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-7.7,-0.6,-1.1,NA,5.3,-2,-0.2,60,-36.5,-75,80,NA,4.8,NA,-9.4,"Hip.","03","SF","Intermediário","HVAC","SE","Sala","Rio de Janeiro"
