"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-8.6,0,-3.2,-2.3,-3.2,-1.6,-2.4,1.4,0,NA,3.4,-3.1,15.6,21.2,-1.9,1.4,1,"Hip.","03","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.2,-5.3,4.8,0,-1.7,-1.4,-1.2,-1.6,1.4,-3.6,NA,1.4,0,22.7,11.6,-1.9,1.7,0.7,"Hip.","03","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.2,-10.7,4.2,-1.8,0,-1.6,20.8,6.9,2.6,-31,NA,1.1,0,1.2,160,-3.6,3.4,1,"Hip.","03","SF","Cobertura","AFN","L","Sala","Curitiba"
-0.3,-7.4,-4.7,3.7,-1.8,-1.3,-2.3,0,-1.4,-3.8,NA,3.4,-3.1,24.2,18.2,-1.8,2.3,2,"Hip.","03","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0,-8.7,-4.3,3.8,-2.2,-3.7,-2,-0.7,0,-3.7,NA,3.9,-2.9,25,28.2,-2,2.3,1.3,"Hip.","03","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
0,-8.2,9.4,26.5,NA,3.1,1.2,9.7,5.6,-20.5,NA,-0.1,0,1.3,300,-2.8,1.7,0.7,"Hip.","03","SF","Cobertura","AFN","NE","Sala","Curitiba"
0,-7.4,-4.5,3.7,-2.3,-1.3,-1.9,0,-1.4,-3.7,NA,3.4,-3.1,24.2,18.2,-1.8,2.3,2,"Hip.","03","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0,-8.7,-2.2,3.8,-1.9,-3.7,-2.3,-0.7,0,-3.8,NA,3.9,-2.9,25,28.2,-2,2,1.3,"Hip.","03","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
0,-8.2,9.4,26.5,2.3,3.1,NA,9.7,5.6,-22.7,NA,0,0,1.3,300,-2.7,1.7,0.7,"Hip.","03","SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.3,-4.3,3.5,-2.5,-2.7,-9.6,-3.3,-5.4,1.5,0,NA,3,0,35,17.9,-2.3,2,1,"Hip.","03","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,-3.7,3.3,-3.4,-2.2,-8.6,-2,-4,3.1,-5.3,NA,2.5,-3.4,36.8,18.9,-2.3,2,1.4,"Hip.","03","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-11,6.5,0,NA,10.1,-1.9,1.4,4.2,-37.9,NA,3.2,0,-0.3,62.5,-2.1,1.5,0.4,"Hip.","03","SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.3,-4.3,3.4,-2.4,-3.3,-9.6,-2.7,-5.4,1.5,0,NA,3.1,0,35,19.5,-2.4,2,1,"Hip.","03","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,-3.7,3.3,-3.4,-2,-8.6,-3.4,-4,3.1,-5.3,NA,2.5,-3.4,36.8,18.9,-2.3,2,1.4,"Hip.","03","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.3,-11,6.5,0,-3.8,8.6,NA,1.4,4.2,-37.9,NA,3.2,0,-0.3,62.5,-2.1,1.5,0.4,"Hip.","03","SF","Cobertura","AFN","SO","Sala","Curitiba"
0,-9,0,-3,-1.5,-1.6,-2.2,-2.1,1.4,-3.4,NA,3.6,-3,16.2,15.1,-1.5,1.4,1,"Hip.","03","SF","Cobertura","AFN","O","Dorm. N","Curitiba"
0,-6.1,6.7,0,-1.2,-2.5,0,-1.2,1.4,-3.2,NA,1.5,0,19.2,14.8,-2,1.4,0.7,"Hip.","03","SF","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.4,-4.1,9.7,1.5,27.3,2.8,3.2,11.8,4.1,-30.6,NA,-2,3.1,0.8,118.2,-3.4,3.2,1,"Hip.","03","SF","Cobertura","AFN","O","Sala","Curitiba"
0.6,-7.5,-2,-2.8,-1.8,-2.6,-0.7,-1.6,0,-3.2,NA,2.8,0,-2.8,NA,6,1,0.5,"Hip.","03","SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0,-2.7,1.4,0,0,-1.1,-1,0,0,0,NA,0.5,0,-0.7,NA,0.9,1,0.3,"Hip.","03","SF","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
0.3,-4.2,3.9,2.9,2.1,1.3,26.7,11.3,3,-30.8,NA,-0.7,3.1,-1.3,NA,12.2,2.9,1.1,"Hip.","03","SF","Cobertura","AFN","L","Sala","Rio de Janeiro"
