"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-1.7,-19.5,-1,10.8,8.7,-3.7,0.9,4.8,0,NA,2.2,0,-50,-36.4,0.9,-1.6,-1.1,"Hip.","03","TV","Térreo","AFN","L","Dorm. N","Curitiba"
0,-6.2,27.8,21.1,18.2,0,2.2,6.9,1.9,0,NA,-1.3,0,-100,-25.6,1,-1,0,"Hip.","03","TV","Térreo","AFN","L","Dorm. S","Curitiba"
0,-4.8,-24.4,4.2,Inf,-5.1,31.2,18.9,1.7,-36,NA,0.8,0,-1.2,NA,0.2,-0.7,-0.4,"Hip.","03","TV","Térreo","AFN","L","Sala","Curitiba"
0,-0.5,-19,3.5,-3.5,5,-4,0.5,7.5,-4,NA,2.6,-2.9,0,100,0,-1.7,-1.1,"Hip.","03","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
0.3,0,-19.2,3.5,-4,4.5,-3.6,-1.3,7.9,-3.8,NA,3.2,0,0,Inf,0.1,-2,-1.5,"Hip.","03","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.3,0,-32.6,40.3,NA,2.7,-6.8,11.3,5.9,-32.3,NA,3.7,-3.2,-16.1,NA,3.8,-1.6,-0.7,"Hip.","03","TV","Térreo","AFN","NE","Sala","Curitiba"
0,-1.1,-18.9,4.2,-4,5,-3.4,0.5,7.5,-3.8,NA,2.7,-2.9,0,100,0,-1.7,-1.1,"Hip.","03","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
0.3,0,-19.2,3.5,-4.2,4.5,-4,-1.3,7.9,-4,NA,3.2,0,-100,Inf,0.1,-2,-1.5,"Hip.","03","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.3,0,-32.6,40.3,-6.7,2.7,NA,11.3,5.9,-32.3,NA,3.7,-3.2,-16.1,NA,3.8,-1.6,-0.7,"Hip.","03","TV","Térreo","AFN","NO","Sala","Curitiba"
0,-3.6,13,100,2.4,-17,0,-4.9,4.1,0,NA,1.4,0,NA,-16.7,0.1,-0.7,0,"Hip.","03","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
0,-3.6,10.7,125,1.8,-15.1,1.7,-2.1,4.3,0,NA,0.8,0,NA,0,0,-1.1,0,"Hip.","03","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
-0.2,-4.5,1.9,24,NA,9.8,6.7,16.1,3.2,-38.9,NA,-0.3,0,-2.4,NA,0.2,-0.7,0,"Hip.","03","TV","Térreo","AFN","SE","Sala","Curitiba"
0,-3.6,11.5,100,0,-16.3,1.1,-5.5,4.1,0,NA,1.6,0,NA,0,0,-1.1,0,"Hip.","03","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
0,-3.6,10.7,125,2.5,-15.1,1.8,-2.1,4.3,0,NA,0.8,0,NA,0,0,-1.1,0,"Hip.","03","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
-0.2,-4.5,1.9,24,6.7,9.8,NA,14.8,3.2,-38.9,NA,-0.2,0,-2.4,NA,0.2,-0.7,0,"Hip.","03","TV","Térreo","AFN","SO","Sala","Curitiba"
0.2,-1.2,-20.7,-2.6,-3.5,6.2,6.9,0,4.7,-3.7,NA,2.4,0,-42.9,-31.6,0.9,-2.2,-1.1,"Hip.","03","TV","Térreo","AFN","O","Dorm. N","Curitiba"
0,-5.9,20,25,2.1,-1.8,8.2,3.8,1.9,-3.7,NA,-0.7,0,-25,-24.2,0.9,-1.3,0,"Hip.","03","TV","Térreo","AFN","O","Dorm. S","Curitiba"
0.2,-3.5,-32.8,0,43,-4.3,6,16.3,1.9,-39.4,NA,2.1,0,-8.2,NA,3,-1.9,-0.4,"Hip.","03","TV","Térreo","AFN","O","Sala","Curitiba"
0.3,-0.5,-20.8,-1.7,5,6.6,-3.3,0,8.1,0,NA,2.2,0,-2.2,NA,4.6,-1.9,-0.9,"Hip.","03","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
0,-6.4,22.7,Inf,6,-0.9,1,2.6,0,0,NA,-0.7,0,0.7,NA,-1,-1.1,0,"Hip.","03","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
0.2,-2.1,-23.5,2.8,10.9,-3.8,36.5,15.8,4.3,-37.1,NA,0.7,0,0.1,NA,-0.9,-1.1,-0.9,"Hip.","03","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
