"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-11.9,-18.6,6.4,333.3,20,-5.3,6.5,5.1,5,NA,2.1,-3.1,0,6,-0.3,-0.3,-0.6,"Hip.","04","C10","Térreo","AFN","L","Dorm. N","Curitiba"
0.2,-56.8,4.8,24.6,131.2,-16,-29.3,-2.2,10,-15,NA,14.1,-10.3,NA,63,-5,-0.3,-5.4,"Hip.","04","C10","Térreo","AFN","L","Dorm. S","Curitiba"
0.4,-62.1,-33.3,0,58.8,-14.3,23.6,40.9,9.1,-45.5,NA,7.4,-3.7,-2.1,800,-1.4,0,-6.2,"Hip.","04","C10","Térreo","AFN","L","Sala","Curitiba"
0,6.6,-14,17.1,0,9.8,3.9,7.7,0,4.3,NA,-1.8,0,0,12.5,-0.2,-0.3,-3.6,"Hip.","04","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
0,15.9,-12.1,20.4,5.9,7.9,1.2,7.6,0,4.2,NA,-3.8,0,0,0,0,-0.7,3.8,"Hip.","04","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
0,24.1,-25,89.1,15.2,0,0,29.5,-2.2,-25,NA,-3.2,3.4,-7.4,NA,1.3,-0.3,3,"Hip.","04","C10","Térreo","AFN","NE","Sala","Curitiba"
0,10.2,-13.1,18.6,3.9,7.8,-0.9,8.1,0,4.2,NA,-2.6,3,0,12.5,-0.2,0,-2.4,"Hip.","04","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
0,15.9,-12.1,20.4,1.8,7.9,5.9,7.9,0,4.2,NA,-3.8,0,0,0,0,-0.7,4.5,"Hip.","04","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
0,24.1,-25,89.1,0,0,15.2,28.9,-2.2,-25,NA,-3.2,3.4,-7.4,NA,1.3,-0.3,3,"Hip.","04","C10","Térreo","AFN","NO","Sala","Curitiba"
0.5,-58.9,-19.1,45.3,-22.1,-46.9,-24.3,-32.4,15.6,-25,NA,25,-16.7,NA,213.3,-6.6,-1.1,-8,"Hip.","04","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
