"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,15.6,-7.1,27.6,-0.7,-1.2,17.6,20,-1.3,28.6,NA,10.5,-12.5,-8.5,-12.5,20.8,"Hip.","04","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
0.2,-11.1,350,3.9,6.4,0,-35.1,0.6,2.6,0,NA,18.8,11.1,-3.5,11.1,11.1,"Hip.","04","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
0,4.2,5.1,4,21.3,-3.3,11.7,14.8,3.1,-35.9,NA,19,NA,-2.1,NA,18.3,"Hip.","04","C10","Intermediário","HVAC","L","Sala","Curitiba"
-0.3,25,13.4,128.9,14,-4.3,19.2,145.8,-2.5,15.4,NA,17.6,NA,-23.2,NA,116.7,"Hip.","04","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.6,28.8,26,203.1,28.4,-7.2,30.5,78.9,-5,23.1,NA,11.8,NA,-28.7,NA,121.1,"Hip.","04","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
0,18.6,10.7,86.5,NA,-500,12.5,38.4,-6.7,-14.9,-100,8.3,NA,-13.8,NA,32.3,"Hip.","04","C10","Intermediário","HVAC","NE","Sala","Curitiba"
0,24.7,14.7,133.3,21.2,-4.3,9.8,128.6,-2.5,14.3,NA,11.8,NA,-23.2,NA,104.8,"Hip.","04","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.6,28.8,26,203.1,31.1,-7.2,27.4,80.1,-5,33.3,NA,11.8,NA,-28.7,NA,121.1,"Hip.","04","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
0,18.6,10.7,86.5,13.5,-500,NA,38,-6.7,-15.2,-100,8.3,NA,-13.7,NA,32.1,"Hip.","04","C10","Intermediário","HVAC","NO","Sala","Curitiba"
0.6,-13.6,11.1,10.6,-17.6,-56.6,0,-75,6.3,-16.7,NA,33.3,128.6,4.7,128.6,0,"Hip.","04","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0.3,-4.2,29.2,6.7,-3,-34.6,4.4,-90,2.5,0,NA,21.4,100,-0.6,100,0,"Hip.","04","C10","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.3,-5.9,11.1,12.9,NA,-22.9,2.4,-15.4,4.3,-36.4,NA,27.3,NA,3.5,NA,-0.6,"Hip.","04","C10","Intermediário","HVAC","SE","Sala","Curitiba"
0.9,-13.4,10.5,9.4,-3.7,-54.7,-12,-93.8,5.1,-16.7,NA,33.3,128.6,4.8,128.6,0,"Hip.","04","C10","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
0.3,-4.2,29.2,6.7,4.4,-34.6,-3,-90,2.5,0,NA,21.4,100,-0.6,100,0,"Hip.","04","C10","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
0.3,-6.7,11.1,12.9,2.4,-22.9,NA,-15.4,4.3,-36.4,NA,27.3,NA,3.8,NA,-0.6,"Hip.","04","C10","Intermediário","HVAC","SO","Sala","Curitiba"
-0.2,12.5,-2,33.3,17.5,-2.5,-2.2,90.6,-1.3,27.3,-100,-10.5,-7.1,-8.3,-7.1,19.6,"Hip.","04","C10","Intermediário","HVAC","O","Dorm. N","Curitiba"
0.2,-10,200,3.2,-32.4,9,12,4.9,1.3,8.3,NA,-5.9,9.7,-3,9.7,12.5,"Hip.","04","C10","Intermediário","HVAC","O","Dorm. S","Curitiba"
0,9.6,-2.5,2.5,31.7,-1.4,10.3,15.6,0,-36.4,0,0,NA,-3.4,NA,11.4,"Hip.","04","C10","Intermediário","HVAC","O","Sala","Curitiba"
0,3.5,2.8,8.4,1.9,1.2,8.1,5,0,7.5,0,-50,NA,-3.9,NA,6.1,"Hip.","04","C10","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
0,-4.8,10.6,5.8,2.6,2.4,-3.9,1.3,10,0,0,0,NA,-0.8,NA,1.5,"Hip.","04","C10","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
0,4.5,3.5,5,2.2,2.5,34.2,12.2,5.9,-29.9,0,25,NA,-3.6,NA,3.9,"Hip.","04","C10","Intermediário","HVAC","L","Sala","Rio de Janeiro"
0,8.5,6.6,27.4,5.3,0.5,6,10.7,-25,5.4,0,0,NA,-8.1,NA,12,"Hip.","04","C10","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
