"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.1,-3.4,-2.8,-0.7,0.2,0.3,-1.2,-1.3,0.3,-0.1,0,0.2,0,6.9,0,-0.2,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
0.7,-9.8,-0.1,1.1,1.6,-1.4,-1.8,-0.5,1,-0.4,0,0.3,0.2,8.3,0.2,0,"Hip.","04","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
0.1,-7.8,-3,-0.9,0.4,-1.3,-0.7,-2.4,0.8,-1.9,0,0.3,0,14,0,-4,"Hip.","04","TV","Térreo","HVAC","L","Sala","Curitiba"
0,-1.4,-3.1,1.3,-0.5,0.1,-0.5,0.3,0.2,-0.2,0,0,0,4.1,0,-0.1,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,0.6,-2.9,1.6,-0.2,0.2,-0.2,1.4,0,0,0,-0.1,0,1,0,-0.1,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,0.4,-3.1,2.5,0,0.1,-0.3,2.3,0,-1.2,-0.1,-0.1,0,2.1,0,-5.7,"Hip.","04","TV","Térreo","HVAC","NE","Sala","Curitiba"
0,-1.1,-3.1,1.3,-0.5,0.1,-0.5,0.5,0.2,-0.1,0,0,0,3.7,0,-0.1,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,0.7,-2.9,1.6,-0.1,0.2,-0.2,1.4,0,0,0,-0.1,0,1,0,-0.1,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,0.4,-3.1,2.5,-0.3,0.1,0,2.3,0,-1.2,-0.1,-0.1,0,2.2,0,-5.8,"Hip.","04","TV","Térreo","HVAC","NO","Sala","Curitiba"
0.8,-9.1,-1.4,1.3,-1.4,-3.4,-1.3,-4.8,1.4,-0.3,0,0.2,0,13.2,0,0,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
0.6,-8.3,-1.9,0.6,-2,-2.4,-2.4,-6,1.1,-0.3,0,0.1,0,14.8,0,0,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
0.2,-9.8,-2.5,0.9,0,-2.1,-1.5,-4.3,1.2,-1.3,0,0.2,0,16.6,0,-4.6,"Hip.","04","TV","Térreo","HVAC","SE","Sala","Curitiba"
0.8,-9,-1.5,1.2,-1.3,-3.3,-1.4,-4.8,1.4,-0.4,0,0.2,0,13.3,0,0,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
0.6,-8.3,-1.9,0.6,-2.4,-2.4,-2,-6.1,1.1,-0.3,0,0.1,0,14.8,0,0,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
0.2,-9.8,-2.5,0.8,-1.4,-2.1,0,-4.4,1.2,-1.3,0,0.2,0,16.6,0,-4.6,"Hip.","04","TV","Térreo","HVAC","SO","Sala","Curitiba"
0.1,-2.4,-2.7,-0.5,-1,0.2,0.3,-0.9,0.3,-0.1,0,0,0,5.7,0,-0.4,"Hip.","04","TV","Térreo","HVAC","O","Dorm. N","Curitiba"
0.7,-9,-0.2,0.9,-1.8,-1.4,1.4,-0.8,0.9,-0.4,0,0.1,0.1,8.5,0.1,-0.2,"Hip.","04","TV","Térreo","HVAC","O","Dorm. S","Curitiba"
0.1,-7.4,-4.2,-0.9,0.6,-1.4,-0.2,-1.8,0.6,-2.5,0,0.1,0,15.6,0,-8.6,"Hip.","04","TV","Térreo","HVAC","O","Sala","Curitiba"
0,5,-0.9,1.2,0.8,0.7,1.3,4.1,0.1,0.3,0,-0.2,0,-9.2,0,7.1,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,-5.8,1,0.4,0.5,-0.8,-0.6,-0.7,0.2,-0.2,0,0.1,0,5.6,0,-5.4,"Hip.","04","TV","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,0.4,-0.6,0.4,0.9,0,5.2,6.5,0.2,-3,0,0.1,0,-1.8,0,-3.5,"Hip.","04","TV","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,5.9,-0.4,3.1,1.2,0.8,1.1,6.2,0,0.3,0,0,0,-12.3,0,12.2,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,5.2,-0.4,1.9,1.3,0.5,1.5,5.2,0,0.2,0,0,0,-10.7,0,11.2,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,5,-0.8,4.9,0,0.4,0.5,6.6,-0.1,-2.2,0.1,0,0,-6.9,0,8,"Hip.","04","TV","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,5.6,-0.4,2.9,1,0.8,1.3,6,0,0.3,0,0,0,-11.8,0,11.7,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,5.2,-0.4,1.9,1.5,0.5,1.3,5.2,0,0.2,0,0,0,-10.7,0,11.2,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,5,-0.8,4.9,0.5,0.4,0,6.6,-0.1,-2.2,0.1,0,0,-6.9,0,7.9,"Hip.","04","TV","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,-10.4,-0.2,0,-1.6,-4.3,-1.4,-7.2,0.3,-0.4,0,0.2,0,17.6,0,-17.5,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-11.8,-0.4,0.1,-2.4,-3.7,-2.6,-8.7,0.4,-0.4,0,0.3,0,20.7,0,-21.6,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-10.6,-0.3,0.5,0,-0.6,-0.9,-2.4,0.7,-2.3,-0.2,0.2,0,16.1,0,-27,"Hip.","04","TV","Térreo","HVAC","SE","Sala","Rio de Janeiro"
0,-10.7,-0.2,0,-1.4,-4.5,-1.5,-7.5,0.4,-0.4,0,0.2,0,18.2,0,-18.2,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,-11.8,-0.4,0.1,-2.6,-3.7,-2.4,-8.7,0.4,-0.4,0,0.3,0,20.7,0,-21.6,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,-10.7,-0.3,0.5,-1,-0.6,0,-2.4,0.7,-2.3,-0.2,0.2,0,16.1,0,-27.1,"Hip.","04","TV","Térreo","HVAC","SO","Sala","Rio de Janeiro"
0,3.8,-0.8,1,0.9,0.6,0.7,3.2,0.1,0.2,0,-0.2,0,-7.1,0,5.1,"Hip.","04","TV","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
0,-7.1,1,0.2,-0.9,-1,0.4,-1.4,0.2,-0.3,0,0,0,7.6,0,-7.7,"Hip.","04","TV","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
