"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.3,1.7,2.9,2.5,-6,-2.8,5.3,-1,-7.5,0.6,0,-1.4,0,-37.5,0,0.3,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
44.3,-0.6,0.2,-8.4,-5,1.8,1.2,-10.3,-7.7,0.4,0,-1.1,0.2,-25.3,0.2,0.1,"Hip.","04","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
51,4.3,5.8,3.1,1.2,4.3,8.2,16.9,-6.1,1.9,0,-1.2,0,-73.1,0,23.9,"Hip.","04","TV","Térreo","HVAC","L","Sala","Curitiba"
33,2.8,5.2,6.4,4.5,-2.1,3.5,12.3,-7.7,0.9,0,-1.5,0,-44.4,0,0.2,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
32.9,4.2,6.3,5.8,6,-1.2,8.1,18.7,-7.7,1,0,-1.5,0,-53.3,0,0.1,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,12.2,11.1,10.5,7.6,4.5,7.9,30.4,-5.8,3.1,0,-1.1,0,-89.6,0,22.4,"Hip.","04","TV","Térreo","HVAC","NE","Sala","Curitiba"
33,3.1,5.3,6.5,3.6,-2,4.8,12.9,-7.7,1,0,-1.5,0,-45.4,0,0.2,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
32.9,4.3,6.3,5.8,8.3,-1.2,5.8,18.7,-7.7,1,0,-1.5,0,-53.3,0,0.1,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,12.2,11.1,10.5,8,4.5,7.5,30.4,-5.8,3,0,-1.1,0,-89.5,0,22.3,"Hip.","04","TV","Térreo","HVAC","NO","Sala","Curitiba"
34,-1,0.8,-7.5,1.1,1.5,1,-4,-7.4,0.2,0,-1.1,0,-21.5,0,0,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
33.7,-1.2,1.1,-5.6,1.3,1.4,1.9,-0.9,-7.6,0.2,0,-1.1,0,-23.9,0,0,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.6,1.8,2.8,-2.6,2.3,3.4,2.5,5.6,-6.5,0.9,0,-0.8,0,-43.6,0,4.9,"Hip.","04","TV","Térreo","HVAC","SE","Sala","Curitiba"
34,-0.9,0.9,-7.6,1,1.6,1.4,-3.5,-7.4,0.2,0,-1.1,0,-22,0,0,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
33.7,-1.2,1.1,-5.6,1.9,1.4,1.3,-1,-7.6,0.2,0,-1.1,0,-23.9,0,0,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
39.6,1.8,2.8,-2.6,2.6,3.4,2.3,5.6,-6.5,0.9,0,-0.8,0,-43.6,0,4.9,"Hip.","04","TV","Térreo","HVAC","SO","Sala","Curitiba"
43.2,2.8,3.8,3.7,6.3,-2.5,-2.2,5.3,-7.5,0.8,0,-1.6,0,-45.5,0,1.3,"Hip.","04","TV","Térreo","HVAC","O","Dorm. N","Curitiba"
44.1,0,0.7,-8.2,1.7,2.7,-1.1,-4.8,-7.9,0.6,0,-1.4,0.1,-31.1,0.1,0.7,"Hip.","04","TV","Térreo","HVAC","O","Dorm. S","Curitiba"
51,8.3,8.8,4.7,12.6,5.8,7.7,30.8,-5,2.9,0,-1,0,-96.5,0,44.2,"Hip.","04","TV","Térreo","HVAC","O","Sala","Curitiba"
42.5,31.9,16.7,16.6,22.4,17.3,22.7,79,0.4,4,0.1,-0.5,0,-171.1,0,144.2,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,23.4,11.9,9.2,21.1,13.4,15.2,58.8,-0.7,3.3,0.1,-0.7,0,-137.4,0,109.3,"Hip.","04","TV","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,32.3,20.3,12.1,24.7,13.6,27.1,77.5,1.8,6.6,0.1,-0.2,0,-189.2,0,192.9,"Hip.","04","TV","Térreo","HVAC","L","Sala","Rio de Janeiro"
32.7,35.1,18.6,24.1,18.7,18.4,13.9,75.1,0.8,3.6,0.1,-0.3,0,-163.6,0,141.6,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,34.7,18.4,17.8,19.8,12.7,24.4,74.7,0.9,3.4,0.1,-0.3,0,-163,0,141.6,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.3,39,23.3,22.4,15.8,19.9,16,74.1,2.4,6,0.2,-0.3,0,-183.3,0,193.6,"Hip.","04","TV","Térreo","HVAC","NE","Sala","Rio de Janeiro"
32.7,34.9,18.6,24,13.8,18.4,18.7,74.9,0.8,3.6,0.1,-0.3,0,-163.2,0,141.2,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,34.7,18.4,17.8,24.4,12.7,19.8,74.7,0.9,3.4,0.1,-0.3,0,-162.9,0,141.6,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.3,39,23.3,22.4,16.1,19.9,15.7,74.1,2.4,6,0.2,-0.3,0,-183.2,0,193.5,"Hip.","04","TV","Térreo","HVAC","NO","Sala","Rio de Janeiro"
32.8,21.4,11.6,9.7,12,14.9,8.7,45.4,0,2.1,0.1,-0.2,0,-112.5,0,85.4,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.8,20.1,11.1,6.6,12,10.7,14.4,43.6,0.2,2.1,0.1,-0.1,0,-109.1,0,80.3,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,21.5,13.5,10.1,9,13.1,9.1,41.3,1,3.3,0.2,-0.1,0,-119,0,107.7,"Hip.","04","TV","Térreo","HVAC","SE","Sala","Rio de Janeiro"
32.8,21.2,11.5,9.7,8.7,14.8,12,45.2,0.1,2.1,0.1,-0.2,0,-112.1,0,85,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.8,20.1,11.1,6.6,14.4,10.7,12,43.6,0.2,2.1,0.1,-0.1,0,-109.1,0,80.3,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,21.5,13.5,10.1,9.1,13.1,9,41.3,1,3.3,0.2,-0.1,0,-119,0,107.7,"Hip.","04","TV","Térreo","HVAC","SO","Sala","Rio de Janeiro"
42.5,31.9,17.4,16.9,23.3,17.8,23.6,81.6,0.7,4,0.1,-0.5,0,-174.5,0,148.9,"Hip.","04","TV","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
42.6,23.4,12.5,9.7,15.9,13.8,22.3,61.7,-0.5,3.3,0.1,-0.8,0,-141,0,113.4,"Hip.","04","TV","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
50.8,36.1,21.6,13,29.6,14.5,29.8,86.9,3.2,7.3,0.1,-0.2,0,-206.6,0,213.7,"Hip.","04","TV","Térreo","HVAC","O","Sala","Rio de Janeiro"
42.8,9.6,7.8,7.3,5.2,4.3,11.2,28,-4.5,1.7,0.1,-1,0,-82.8,0,26.5,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","São Paulo"
