"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.600000000000001,-0.6,0.7,0.6,5.5,1.8,-0.3,7.6,-0.6,0.1,0,-0.0999999999999999,-0.3,-6.2,-0.3,0,"Hip.",4,"TV","Térreo","HVAC","L","Dorm. N","Curitiba"
-0.600000000000001,-0.3,0.6,4.5,1.7,-0.6,0.6,6.4,-0.600000000000001,0.1,0,-0.1,-1.9,-3.6,-1.9,0,"Hip.",4,"TV","Térreo","HVAC","L","Dorm. S","Curitiba"
-0.200000000000003,0,0.8,1,2.7,0.0999999999999996,0.699999999999999,4.6,-0.5,0.2,0,0,0,-5,0,1.1,"Hip.",4,"TV","Térreo","HVAC","L","Sala","Curitiba"
-0.200000000000003,0.2,0.7,0.600000000000001,1,3.4,0.3,5.3,-0.4,0,0,-0.1,0,-5.6,0,0,"Hip.",4,"TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
-0.100000000000001,0.100000000000001,0.6,0.2,0.5,3.1,0.199999999999999,3.9,-0.4,0,0,-0.1,0,-4.2,0,0,"Hip.",4,"TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,0.6,0.699999999999999,0.800000000000001,0,2.4,0.300000000000001,3.9,-0.3,0.2,0,0,0,-5.19999999999999,0,2.2,"Hip.",4,"TV","Térreo","HVAC","NE","Sala","Curitiba"
-0.200000000000003,0,0.6,0.5,0.2,3.6,0.7,4.9,-0.4,0,0,-0.1,0,-4.9,0,-0.1,"Hip.",4,"TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
-0.100000000000001,0.2,0.6,0.2,0.200000000000001,3.1,0.399999999999999,3.9,-0.4,0.1,0,-0.1,0,-4.2,0,0,"Hip.",4,"TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,0.6,0.699999999999999,0.800000000000001,0.4,2.4,0,3.9,-0.3,0.2,0,0,0,-5.2,0,2.1,"Hip.",4,"TV","Térreo","HVAC","NO","Sala","Curitiba"
-0.399999999999999,-0.4,0.4,4.3,0.1,0.2,-0.1,4.5,-0.7,0,0,-0.1,-0.6,-2.6,-0.6,0,"Hip.",4,"TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.399999999999999,-0.3,0.3,3.5,0.1,0.0999999999999999,0.0999999999999999,4,-0.6,0.1,0,-0.1,0,-2.9,0,0,"Hip.",4,"TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
-0.199999999999996,0.1,0.8,3.3,0,0.6,0.4,4.8,-0.5,0.2,0,0,0,-5.1,0,1.3,"Hip.",4,"TV","Térreo","HVAC","SE","Sala","Curitiba"
-0.299999999999997,-0.6,0.3,4.4,-0.1,0.1,-0.2,4.3,-0.7,0,0,-0.1,-0.5,-2.2,-0.5,0,"Hip.",4,"TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.399999999999999,-0.3,0.3,3.6,0.0999999999999999,0.0999999999999999,0.1,3.9,-0.699999999999999,0.1,0,-0.1,0,-2.9,0,0,"Hip.",4,"TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
-0.199999999999996,0.1,0.8,3.3,0.4,0.6,0,4.8,-0.5,0.2,0,0,0,-5.1,0,1.3,"Hip.",4,"TV","Térreo","HVAC","SO","Sala","Curitiba"
