"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.5,-92.2,-54.8,-15.8,11.8,20,-41,-2,4.2,160,NA,21.4,200,15.4,200,0,"Hip.","05","C10","Térreo","HVAC","L","Dorm. N","Curitiba"
1.4,-113.1,14.3,17.8,35.3,-39.5,-92.3,13.3,10.1,-57.1,NA,30.8,300,21,300,0,"Hip.","05","C10","Térreo","HVAC","L","Dorm. S","Curitiba"
0.4,-51.8,-22.2,60,46.2,-20,5.1,23.7,7.9,-35.5,NA,35.7,NA,6.6,NA,17.3,"Hip.","05","C10","Térreo","HVAC","L","Sala","Curitiba"
0,-66.7,-37.3,92.9,-5.7,3.4,-25.7,43.6,0,77.8,NA,14.3,NA,5.9,NA,0,"Hip.","05","C10","Térreo","HVAC","NE","Dorm. 1","Curitiba"
-0.3,25,-31.2,131.8,-2,2.3,-20.8,12.9,-1.4,100,NA,0,NA,-0.2,NA,0,"Hip.","05","C10","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,16,-18.9,60,14.5,5,-4.1,19.4,-1.9,-27,-100,0,NA,-2.2,NA,-10.3,"Hip.","05","C10","Térreo","HVAC","NE","Sala","Curitiba"
0,-66.7,-39.1,86.2,-22.9,3.4,-19.5,19.1,0,60,NA,14.3,NA,8.3,NA,0,"Hip.","05","C10","Térreo","HVAC","NO","Dorm. 1","Curitiba"
-0.3,25,-31.2,131.8,-19.4,2.3,-4.1,12.9,-1.4,100,NA,0,NA,-0.4,NA,0,"Hip.","05","C10","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,16,-18.9,60,-4.1,0,14.5,19.4,-1.9,-27,-100,0,NA,-2.3,NA,-10.3,"Hip.","05","C10","Térreo","HVAC","NO","Sala","Curitiba"
2.4,-118.5,-84.6,25.5,-64.7,-80.8,-57.1,-33.8,16.2,-50,NA,25,Inf,38.7,Inf,NA,"Hip.","05","C10","Térreo","HVAC","SE","Dorm. 1","Curitiba"
2.1,-120,-75,23.7,-61.5,-70.3,-77.1,-200,14.8,-50,NA,9.1,NA,36.4,NA,NA,"Hip.","05","C10","Térreo","HVAC","SE","Dorm. 2","Curitiba"
0.8,-83.3,-50,33.3,-46.9,-49.1,-48.5,-90.3,15.5,-61.1,NA,11.1,NA,26.6,NA,-53,"Hip.","05","C10","Térreo","HVAC","SE","Sala","Curitiba"
2.4,-118.8,-86.7,25,-57.1,-80.8,-75,-50.8,16.2,-60,NA,25,Inf,40.5,Inf,NA,"Hip.","05","C10","Térreo","HVAC","SO","Dorm. 1","Curitiba"
2.1,-120,-75,23.7,-77.1,-70.3,-61.5,-200,14.8,-50,NA,9.1,NA,36.6,NA,NA,"Hip.","05","C10","Térreo","HVAC","SO","Dorm. 2","Curitiba"
0.8,-83.3,-50,33.3,-50,-49.1,-46.9,-90.3,15.5,-61.1,NA,11.1,NA,26.7,NA,-53.7,"Hip.","05","C10","Térreo","HVAC","SO","Sala","Curitiba"
0.2,-75.5,-49,-6.7,-36.9,14.5,18.5,-20,2.8,125,NA,13.3,100,11.2,100,-6.3,"Hip.","05","C10","Térreo","HVAC","O","Dorm. N","Curitiba"
1.4,-111,-100,14.6,-92,-29.8,94.3,15.8,8.6,-22.2,NA,15.4,300,17.8,300,-11.1,"Hip.","05","C10","Térreo","HVAC","O","Dorm. S","Curitiba"
