"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,3.1,0.7,4.1,1.9,2.2,-2.8,5.4,0,3.6,0,-12.9,0.3,0.6,-1.1,0.4,0.4,0.5,"Hip.","05","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.1,0.1,1.2,1.3,2.6,2.2,-3.1,3,0.2,1.7,0,-5.7,0.1,0.1,0,-0.2,0.2,0.4,"Hip.","05","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.5,2.2,0.7,2.8,0.6,-0.5,3.2,6.2,-0.3,-0.6,0,-8.9,0.2,7.4,-0.9,-6.4,1.7,1,"Hip.","05","C10","Intermediário","AFN","L","Sala","Curitiba"
-0.3,5,1.9,5.6,0.2,1.9,2.9,10.7,0,3.2,-0.1,-20.8,0.4,1.6,-2.7,1.2,1.5,1,"Hip.","05","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.2,4.4,1.9,4.9,4.4,1.5,-2.2,8.6,0.1,3.3,-0.1,-18,0.3,1.3,-0.4,-0.9,1.2,0.9,"Hip.","05","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.4,5.3,1,6.9,6.1,1.4,0,9.3,-0.3,-0.7,0,-13.6,0.2,7.4,-0.1,-7.3,0.7,0.8,"Hip.","05","C10","Intermediário","AFN","NE","Sala","Curitiba"
-0.2,4.8,1.7,5.6,3,1.9,-1,9.6,0,3.1,-0.1,-19.4,0.3,1.5,-2.7,1.2,1.5,1,"Hip.","05","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.2,4.5,1.9,4.9,-2.1,1.6,4.3,8.7,0.1,3.4,-0.1,-18.1,0.3,1.3,-0.5,-0.8,1.2,0.9,"Hip.","05","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.4,5.3,1,6.9,0,1.4,6.1,9.3,-0.3,-0.7,0,-13.6,0.2,7.4,-0.1,-7.3,0.7,0.8,"Hip.","05","C10","Intermediário","AFN","NO","Sala","Curitiba"
0.1,-1.8,-0.1,2.2,-2,-6.8,0.5,-6.1,0.5,1.2,0,6.1,-0.1,0.1,0.8,-0.9,-0.1,-0.1,"Hip.","05","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0.1,-1.7,-0.2,1.7,0.4,-4.6,-3.6,-6.2,0.6,1.3,0,6.5,-0.1,0,1.5,-1.5,0,0,"Hip.","05","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.1,-0.9,-0.2,2.3,1.8,-1.7,-0.6,-1.1,0.7,-0.9,0,3.3,0,-0.8,1.9,-1.2,0.2,0,"Hip.","05","C10","Intermediário","AFN","SE","Sala","Curitiba"
0.1,-2,-0.3,2.2,0.5,-6.8,-3.2,-7.2,0.6,1.2,0,7.6,-0.1,0,1,-1,-0.1,-0.1,"Hip.","05","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0.1,-1.7,-0.2,1.7,-3.6,-4.6,0.4,-6.2,0.6,1.3,0,6.6,-0.1,0,1.6,-1.6,0,0,"Hip.","05","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.1,-0.9,-0.2,2.3,-0.7,-1.7,1.8,-1.1,0.7,-0.9,0,3.4,0,-0.8,1.9,-1.2,0.2,0,"Hip.","05","C10","Intermediário","AFN","SO","Sala","Curitiba"
-0.4,3.3,1,5.1,-2.6,2.1,2.3,6.9,0,4.1,-0.1,-15.2,0.2,1.3,-1,-0.2,0.7,0.6,"Hip.","05","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.2,0.2,1.4,1.2,-3.1,3.1,3,4.2,0.1,2,0,-7.3,0.1,0.5,-0.5,-0.1,0.6,0.5,"Hip.","05","C10","Intermediário","AFN","O","Dorm. S","Curitiba"
