"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.6,16.9,37.9,37.6,68.3,Inf,-12.5,38.2,2.2,166.7,-100,-17.8,13.8,115.4,-17.8,0.2,2.4,3.5,"Hip.","05","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.6,17.2,37.9,21.9,228.6,23.9,-23.9,44.3,1.9,104.8,NA,-14.8,7.7,100,-6.4,0,3.4,2.9,"Hip.","05","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
-1.4,9.4,33.3,245.5,30.4,0,40.3,108.6,-3.4,-21.4,NA,-15.2,11.5,24,-2.1,-9.8,4.6,4.3,"Hip.","05","C10","Cobertura","AFN","L","Sala","Curitiba"
-0.8,15.1,31.9,37.2,8,3100,24.3,32.9,2.2,129.2,-100,-20.3,12.9,133.3,-21.2,-0.8,4.7,3.9,"Hip.","05","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.8,10.1,32.5,40.6,23.5,2400,-7.5,20.9,6.5,129.2,-100,-14.9,8.8,125,-11.1,-1.6,4.4,3.6,"Hip.","05","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-1.3,12.4,41.8,117,Inf,193.8,8.5,77.4,3.6,-15.6,NA,-18.8,10,28.4,-25,-12.9,3.1,2.5,"Hip.","05","C10","Cobertura","AFN","NE","Sala","Curitiba"
-0.8,14.2,31.9,37.2,25.2,3000,-1.8,29.2,4.3,120,-100,-18.8,12.9,118.8,-20,-0.7,4.7,3.6,"Hip.","05","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.8,10.1,31.2,39.6,-6.9,2400,22.4,20.7,6.5,129.2,-100,-14.9,8.8,125,-11.1,-1.6,4.4,3.6,"Hip.","05","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-1.3,12.4,41.8,117,12.1,193.8,Inf,78.6,3.6,-15.6,NA,-18.8,10,28.4,-25,-12.9,3.1,2.5,"Hip.","05","C10","Cobertura","AFN","NO","Sala","Curitiba"
0,5.4,33.3,36.4,-10.7,-26.9,16,-6,10,94.1,NA,-4.9,3.7,100,7.8,-1.9,2.8,1.8,"Hip.","05","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
-0.5,5.6,32,36.7,13.7,-22,-16,-3.9,10,105.9,NA,-4.3,3.4,125,15.8,-2.8,3.5,2.2,"Hip.","05","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
-0.3,4,45.2,31.4,Inf,-6,0,23.3,9.8,-38.1,NA,-5.8,8.3,14.6,20.4,-5.8,2.8,1.9,"Hip.","05","C10","Cobertura","AFN","SE","Sala","Curitiba"
0,4,31.5,36.4,14.6,-26.9,-20.2,-9.2,10,94.1,NA,-3.5,3.7,77.8,12.7,-2.3,2.8,1.8,"Hip.","05","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
-0.5,5.6,32,36.7,-16,-22,13.7,-3.9,10,105.9,NA,-4.4,3.4,125,15.8,-2.8,3.5,2.2,"Hip.","05","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.3,4,45.2,31.4,0,-4.5,Inf,23.3,9.8,-38.1,NA,-5.8,8.3,14.1,20.4,-5.8,2.8,1.9,"Hip.","05","C10","Cobertura","AFN","SO","Sala","Curitiba"
-0.9,14.9,39,37.5,-11.7,775,825,35.6,2.1,162.5,-100,-17.8,13.3,108.3,-14.1,-1.5,4.2,3.8,"Hip.","05","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
-0.8,13.5,37.3,21.1,-23.6,25,105.4,36.6,1.9,92,NA,-14.5,11.1,100,-6.6,-0.9,3.8,3.5,"Hip.","05","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
