"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
42.9,-1.6,3.2,2.7,1.5,0.7,3.3,8.1,-8.7,1.5,0,-1.4,0,-42.2,0,0,"Hip.","05","SF","Térreo","HVAC","L","Dorm. N","Curitiba"
43.5,-3.1,0.3,-2.6,-1.3,0.8,0.7,-2.4,-9,0.5,0,-1.1,0,-28.1,0,0,"Hip.","05","SF","Térreo","HVAC","L","Dorm. S","Curitiba"
50.9,5.9,7.7,4.5,4.8,4.5,9.5,23.4,-7.2,2.6,0,-1.1,0,-82.5,0,29.4,"Hip.","05","SF","Térreo","HVAC","L","Sala","Curitiba"
32.9,0.3,5,5.5,3.5,1.8,3.1,13.9,-8.8,1.8,0,-1.4,0,-42.4,0,0,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
32.8,2.8,6,5,5.8,1.7,5.8,18.2,-8.6,1.8,0,-1.5,0,-50.2,0,0,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.3,13.7,12.2,11,8,6.3,7.8,33.1,-6.5,3.3,0,-1.2,0,-94.2,0,32.8,"Hip.","05","SF","Térreo","HVAC","NE","Sala","Curitiba"
32.9,0.3,5,5.5,3.2,1.8,3.3,13.8,-8.8,1.8,0,-1.4,0,-42.4,0,0,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
32.8,2.8,6,5,6.1,1.7,5.5,18.2,-8.6,1.8,0,-1.5,0,-50.2,0,0,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.3,13.7,12.2,11,8,6.3,7.8,33.1,-6.5,3.3,0,-1.2,0,-94.2,0,32.8,"Hip.","05","SF","Térreo","HVAC","NO","Sala","Curitiba"
33.5,-3.1,0.9,-2.2,0.8,1.2,0.7,0.5,-8.7,0.3,0,-1.1,0,-21.9,0,0,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
