"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-1,9.3,5,3.9,18.7,10.2,1.3,34.1,-2.7,1.6,0,-0.6,-0.7,-42.9,-0.7,6.9,"Hip.",5,"SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
-1.6,4.7,3.4,13.4,9.5,-1.1,2.2,24.1,-2.6,1.2,0,-0.4,-3,-24.7,-3,1.7,"Hip.",5,"SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.300000000000004,6.9,4.4,2,12.1,1.9,4.2,20.3,-1.7,1.9,0,-0.3,0,-32.3,0,29.6,"Hip.",5,"SF","Intermediário","HVAC","L","Sala","Curitiba"
-0.299999999999997,8,4.1,2.7,1.9,13.3,2.5,20.4,-2.4,1,0,-0.4,0,-29,0,8,"Hip.",5,"SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.199999999999996,7.1,3.5,1.3,2.9,9.6,1.7,15.5,-2.1,0.8,0,-0.4,0,-22.6,0,7.4,"Hip.",5,"SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,6.8,3.5,2.9,2.1,8,1.8,14.8,-0.899999999999999,1.5,0,-0.1,0,-26.8,0,38.7,"Hip.",5,"SF","Intermediário","HVAC","NE","Sala","Curitiba"
-0.299999999999997,8,4.1,2.7,2.5,13.3,1.8,20.3,-2.4,1,0,-0.4,0,-29,0,8,"Hip.",5,"SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.199999999999996,7.1,3.5,1.3,1.9,9.6,2.8,15.5,-2.1,0.9,0,-0.4,0,-22.6,0,7.4,"Hip.",5,"SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,6.8,3.5,2.9,2.1,8,1.8,14.8,-0.899999999999999,1.5,0,-0.1,0,-26.8,0,38.7,"Hip.",5,"SF","Intermediário","HVAC","NO","Sala","Curitiba"
-1,5.1,3.5,13.9,1.7,2.8,1.2,19.8,-2.8,0.9,0,-0.3,-0.9,-23.6,-0.9,1.2,"Hip.",5,"SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
-0.800000000000004,4.8,3.2,10.6,2.1,1.7,2.5,16.9,-2.3,0.8,0,-0.3,-0.1,-21.5,-0.1,0.9,"Hip.",5,"SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
-0.399999999999999,5.6,4.2,9.9,2.5,3.2,2.4,18,-1.6,1.2,0,-0.3,0,-27.2,0,20.9,"Hip.",5,"SF","Intermediário","HVAC","SE","Sala","Curitiba"
-1,5.1,3.5,14,1.3,2.8,1.7,19.8,-2.8,0.8,0,-0.3,-0.9,-23.6,-0.9,1.2,"Hip.",5,"SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
-0.800000000000004,4.8,3.2,10.6,2.5,1.7,2.1,16.9,-2.3,0.8,0,-0.3,-0.1,-21.5,-0.1,0.9,"Hip.",5,"SF","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
-0.399999999999999,5.6,4.2,9.9,2.5,3.2,2.4,18,-1.6,1.2,0,-0.3,0,-27.2,0,20.9,"Hip.",5,"SF","Intermediário","HVAC","SO","Sala","Curitiba"
-0.799999999999997,7.5,4.4,2,1.2,10.4,13.3,26.9,-2.7,1.1,0,-0.6,-0.6,-33.1,-0.6,4.2,"Hip.",5,"SF","Intermediário","HVAC","O","Dorm. N","Curitiba"
-1.4,3.6,3.1,14,2.4,-2.6,4.2,18.1,-2.4,0.9,0,-0.3,-2.5,-18.3,-2.5,-0.5,"Hip.",5,"SF","Intermediário","HVAC","O","Dorm. S","Curitiba"
-0.200000000000003,6.7,3.8,2.5,5.2,2.3,8.5,18.6,-1.1,2,0,-0.2,0,-31.7,0,35.6,"Hip.",5,"SF","Intermediário","HVAC","O","Sala","Curitiba"
0,0.800000000000004,-0.5,-1.8,-4,-4.9,-3,-13.7,-1.1,-0.699999999999999,0,-0.2,0,17.2,0,-10.1,"Hip.",5,"SF","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
