"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-1.3,3.1,0.5,0.9,0.8,-1.2,1.1,1,2.2,0,1.4,0.3,-7.4,0.3,6.2,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
0,-0.4,3,0.5,0.9,0.3,-0.4,1.4,0.8,1.2,0,1.2,0.6,-7.6,0.6,4.9,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
0.1,-2.1,3.4,0.9,0.9,0.1,3.2,5,0.9,-1.5,0,1.8,0,-7.2,0,12.4,"Hip.","05","SF","Cobertura","HVAC","L","Sala","Curitiba"
0,-1.3,3.2,2.7,-0.9,1.1,0.4,3.2,1,1.8,0,0.9,0.2,-8.5,0.2,7.3,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
0,-1.9,3.4,1.9,0.5,0.7,-0.8,2.3,1.1,1.7,0,0.7,0.2,-7,0.2,6.5,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,-1.2,4.3,3.6,1.2,1.2,0.7,6.7,1.2,-1.4,-0.1,0.5,0,-9.3,0,12.5,"Hip.","05","SF","Cobertura","HVAC","NE","Sala","Curitiba"
0,-1.3,3.2,2.7,0.4,1.1,-0.8,3.4,1,1.7,0,0.9,0.2,-8.5,0.2,7.2,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
0,-1.9,3.4,1.9,-0.9,0.7,0.5,2.2,1.1,1.7,0,0.7,0.2,-7,0.2,6.5,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,-1.2,4.3,3.6,0.7,1.2,1.1,6.6,1.2,-1.3,-0.1,0.5,0,-9.3,0,12.4,"Hip.","05","SF","Cobertura","HVAC","NO","Sala","Curitiba"
0.1,-0.4,2.9,0.5,-0.4,0.7,0.3,1,0.9,1.1,0,0.8,0.8,-7.2,0.8,5.1,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0.1,-0.5,3.1,0.4,0.4,0.6,-0.4,0.9,1,1,0,0.7,0.9,-7.2,0.9,4.8,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0.1,-2.1,3.6,0.4,0.3,1.2,0.2,2.2,1,-1.2,0,0.5,0.1,-3.4,0.1,6.6,"Hip.","05","SF","Cobertura","HVAC","SE","Sala","Curitiba"
0.1,-0.4,2.8,0.5,0.2,0.7,-0.5,0.9,0.9,1.1,0,0.8,0.8,-7.2,0.8,5.1,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
0.1,-0.5,3.1,0.4,-0.4,0.6,0.4,0.9,1,1,0,0.7,0.9,-7.2,0.9,4.8,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
0.1,-2.2,3.6,0.4,0.2,1.2,0.3,2.1,1,-1.2,0,0.5,0.1,-3.3,0.1,6.5,"Hip.","05","SF","Cobertura","HVAC","SO","Sala","Curitiba"
0,-1.3,3.1,0.5,-1.4,0.8,1,1,1,2.3,0,1.2,0.3,-7.2,0.3,6.4,"Hip.","05","SF","Cobertura","HVAC","O","Dorm. N","Curitiba"
0,-0.4,2.9,0.5,-0.4,0.3,1,1.5,0.8,1.2,0,1.1,0.6,-7.6,0.6,5.2,"Hip.","05","SF","Cobertura","HVAC","O","Dorm. S","Curitiba"
0,0.4,4.3,1.5,5.2,0.8,1.9,9.6,1.2,-1.4,-0.1,0.3,0,-15.2,0,19.2,"Hip.","05","SF","Cobertura","HVAC","O","Sala","Curitiba"
-0.1,2.6,2.7,0.7,1.4,1.1,-3.6,-0.2,0.2,5,0,0.2,0,-11.2,0,11.8,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
0,3.4,2.5,1,1.4,0.7,-2.2,0.8,0.2,3.6,0,2.1,0,-11.5,0,10.6,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
-0.1,3.5,3.4,1.4,1.5,0.5,5.6,9,0.3,-3.6,0.1,0.3,0,-9.4,0,3.9,"Hip.","05","SF","Cobertura","HVAC","L","Sala","Rio de Janeiro"
-0.1,3.5,2.6,1.8,-2.8,1.3,0.6,0.8,0.1,3.8,0,0.1,0,-11.6,0,12.6,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
-0.1,3.3,2.8,1.4,1,0.8,-2.1,1.2,0.2,3.9,0,0.1,0,-11.9,0,11.7,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,4.9,4,4.9,1.7,1.5,1.3,9.3,0.7,-3,0.1,0.4,0,-13.8,0,11.9,"Hip.","05","SF","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
-0.1,3.5,2.6,1.9,0.6,1.3,-2.7,1,0.1,3.8,0,0.1,0,-11.7,0,12.7,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
-0.1,3.3,2.8,1.4,-2.2,0.8,1,1.2,0.2,3.9,0,0.1,0,-11.9,0,11.7,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,4.9,4,4.9,1.3,1.5,1.6,9.3,0.7,-2.9,0.1,0.4,0,-13.8,0,11.9,"Hip.","05","SF","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
0,4,2.5,0.9,-2,0,0.5,-0.5,0.2,2.8,0,1.7,0,-9.8,0,8.5,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,4.6,2.6,0.7,1,0.2,-1.2,0.7,0.2,3,0,1.7,0,-11.7,0,9.9,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,3.1,3.4,0.8,0.7,2.4,0.7,4.6,0.4,-2.6,-0.7,0.5,0,-4.9,0,-3.9,"Hip.","05","SF","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
0,4.1,2.5,0.9,0.5,0,-1.9,-0.4,0.2,2.8,0,1.7,0,-9.9,0,8.6,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,4.5,2.6,0.7,-1.2,0.2,1,0.7,0.2,3,0,1.7,0,-11.7,0,9.9,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,3.1,3.4,0.8,0.8,2.4,0.6,4.6,0.4,-2.6,-0.7,0.5,0,-4.9,0,-4,"Hip.","05","SF","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
-0.1,2.9,2.6,0.7,-3.6,1.1,1.5,-0.1,0.2,5,-0.1,0.2,0,-11.6,0,12.4,"Hip.","05","SF","Cobertura","HVAC","O","Dorm. N","Rio de Janeiro"
0,3.9,2.5,1,-2.2,0.7,1.6,1.1,0.1,3.6,0,2,0,-12,0,11.4,"Hip.","05","SF","Cobertura","HVAC","O","Dorm. S","Rio de Janeiro"
0,5.7,4,1.8,6.5,1,2.4,11.8,0.9,-3.7,0.1,0.1,0,-16.2,0,11.6,"Hip.","05","SF","Cobertura","HVAC","O","Sala","Rio de Janeiro"
0,-0.7,2.6,0.4,1,0.8,-2.2,0,0.6,3,0,0.8,0.1,-6.4,0.1,8.7,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. N","São Paulo"
0.1,0.2,2.4,0.4,0.8,0.2,-1.3,0.3,0.5,1.9,0,2.6,0,-7.7,0,7.4,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. S","São Paulo"
0,-0.6,3.1,1.1,1.1,0.3,4.3,6.8,0.7,-2.2,0.1,0.7,0,-7.5,0,8.3,"Hip.","05","SF","Cobertura","HVAC","L","Sala","São Paulo"
-0.1,-0.3,2.6,2.3,-1.7,1,0.3,1.9,0.6,2.4,0,0.4,0.1,-7.5,0.1,10,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 1","São Paulo"
0,-0.8,2.8,1.7,0.4,0.7,-1.5,1.3,0.7,2.4,0,0.3,0.1,-6.6,0.1,8.9,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 2","São Paulo"
0,0.2,3.9,3.9,1.2,1.1,0.8,7.1,0.9,-2,-0.2,0.3,0,-8.9,0,8.9,"Hip.","05","SF","Cobertura","HVAC","NE","Sala","São Paulo"
-0.1,-0.2,2.7,2.3,0.3,1,-1.6,2.1,0.6,2.3,0,0.4,0.1,-7.7,0.1,10.1,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 1","São Paulo"
0,-0.8,2.7,1.7,-1.5,0.7,0.4,1.3,0.7,2.4,0,0.3,0.1,-6.6,0.1,8.9,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 2","São Paulo"
0,0.2,3.9,3.9,0.7,1.1,1.3,7,0.9,-1.9,-0.2,0.3,0,-8.9,0,8.9,"Hip.","05","SF","Cobertura","HVAC","NO","Sala","São Paulo"
0,0.5,2.3,0.5,-1.1,0.5,0.2,0,0.5,1.6,0,2.2,0,-7.2,0,7.6,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 1","São Paulo"
0,0.7,2.5,0.4,0.4,0.4,-0.9,0.3,0.6,1.6,0,2.1,0.1,-7.6,0.1,7.8,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 2","São Paulo"
0,-0.9,3.1,0.4,0.4,1.6,0.3,2.6,0.7,-1.7,0,1.2,0,-3.4,0,3.3,"Hip.","05","SF","Cobertura","HVAC","SE","Sala","São Paulo"
0,0.5,2.3,0.5,0.2,0.5,-1,0.1,0.5,1.6,0,2.2,0,-7.2,0,7.7,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 1","São Paulo"
0,0.7,2.5,0.4,-0.9,0.4,0.4,0.3,0.6,1.6,0,2.1,0.1,-7.6,0.1,7.8,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 2","São Paulo"
0,-0.9,3.1,0.4,0.3,1.6,0.3,2.6,0.7,-1.7,0,1.2,0,-3.4,0,3.3,"Hip.","05","SF","Cobertura","HVAC","SO","Sala","São Paulo"
0.1,-0.4,2.6,0.4,-2.2,0.9,1.1,0.1,0.6,3.1,0,0.6,0.1,-6.6,0.1,9.1,"Hip.","05","SF","Cobertura","HVAC","O","Dorm. N","São Paulo"
0,0.5,2.4,0.5,-1.2,0.3,1,0.5,0.5,1.9,0,2.5,0,-8.1,0,8.2,"Hip.","05","SF","Cobertura","HVAC","O","Dorm. S","São Paulo"
0,1.2,4,1.4,5.2,0.7,1.8,9.2,1,-2.2,-0.1,-0.1,0,-12.2,0,12.3,"Hip.","05","SF","Cobertura","HVAC","O","Sala","São Paulo"
