"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.6,26.7,11.5,15.1,4.1,4.8,13,37,-4.8,6.8,0,-126.1,3.6,2.3,3.7,94,32.4,15.6,"Hip.","05","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
47.2,14,6.8,-1.3,3.9,13,6.7,22.3,-5.2,4.8,0,-93.1,3,0.8,8.5,90.8,31.3,14.1,"Hip.","05","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
49.7,19.5,8.7,4.3,0.1,4.3,11.8,20.4,-7,2.2,0,-92.1,3,35.4,0.1,64.5,33.9,15.9,"Hip.","05","TV","Intermediário","AFN","L","Sala","Curitiba"
35.7,32.4,15.4,20.3,11.7,6.2,14.7,52.9,-4.9,6.5,0,-140,3.8,3.4,0.5,96.1,33.2,16.4,"Hip.","05","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.8,33.2,16.4,16,21.5,4.5,17.3,59.3,-4.6,6.5,0,-147.9,4,3.1,0.3,96.6,32.7,16.4,"Hip.","05","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.3,30.8,13.4,13,7.4,3.7,7.2,31.3,-6.6,2.8,0,-108.9,3.4,41.1,0,58.9,32.9,17.4,"Hip.","05","TV","Intermediário","AFN","NE","Sala","Curitiba"
35.7,32.4,15.4,20.3,14.8,6.2,11.5,52.9,-4.9,6.5,0,-140,3.8,3.4,0.5,96.1,33.2,16.3,"Hip.","05","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.8,33.2,16.4,16,17.5,4.5,21.3,59.3,-4.6,6.5,0,-147.9,4,3.1,0.2,96.7,32.7,16.6,"Hip.","05","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.3,30.8,13.4,13,7.4,3.7,7.2,31.3,-6.6,2.8,0,-108.9,3.4,41.1,0,58.9,32.9,17.4,"Hip.","05","TV","Intermediário","AFN","NO","Sala","Curitiba"
36.5,14.2,7.9,-0.1,5.9,10.3,8.5,24.6,-4.5,3.5,0,-83.7,2.9,0.3,6.1,93.7,29.8,15.4,"Hip.","05","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.5,15.1,8.5,0,11.8,8.3,8.6,28.7,-4.4,3.5,0,-88.9,3.1,0.2,3.8,96,29.5,16.3,"Hip.","05","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
40,11.5,5.4,-1.5,2.7,5.7,2.7,9.6,-5.9,1,0,-60.5,2.6,16.7,1.7,81.6,31.1,15.2,"Hip.","05","TV","Intermediário","AFN","SE","Sala","Curitiba"
36.5,14.2,7.9,-0.1,8.5,10.3,5.9,24.6,-4.5,3.5,0,-83.7,2.9,0.3,6.1,93.7,29.7,15.4,"Hip.","05","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.5,15.1,8.5,0,8.6,8.3,11.8,28.7,-4.4,3.5,0,-88.9,3.1,0.2,3.8,96,29.5,16.3,"Hip.","05","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
40,11.5,5.4,-1.5,2.7,5.7,2.7,9.6,-5.9,1,0,-60.5,2.6,16.7,1.7,81.6,31.1,15.2,"Hip.","05","TV","Intermediário","AFN","SO","Sala","Curitiba"
46.3,28.6,12.4,17.6,13.8,5,7.4,43.8,-5,7.6,0,-136.7,3.7,4.2,3.5,92.3,33.9,15.8,"Hip.","05","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
46.9,15.8,7.5,-1,7.2,15.5,7.9,29.5,-5.4,5.6,0,-103.5,3.2,2.1,7.3,90.6,32.9,14.7,"Hip.","05","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
48.5,27.7,11.3,5.7,15.9,5.6,4.7,31.9,-7.2,3.1,0,-113.8,3.3,44.2,0.3,55.5,36,16.1,"Hip.","05","TV","Intermediário","AFN","O","Sala","Curitiba"
34.1,29.4,13.1,16.3,8,6,14.6,45,-4.6,7.5,0,-126.8,4.1,75.1,0,24.9,38.5,19.8,"Hip.","05","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
35.8,16,8.3,0.7,9.2,14.7,7.6,32.1,-4.2,5.5,0,-96.8,3.8,58.1,0,41.9,38.7,19.2,"Hip.","05","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
38.3,27.6,12.6,6.7,4.7,6.7,17.1,35.3,-6.2,3.4,0,-110,3.4,89.8,0,10.2,41.8,21.8,"Hip.","05","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
26,34.1,16.3,21.3,12.4,7.3,14.4,55.4,-4.6,6.6,0,-135.8,4.2,82.4,0,17.6,39.2,20.5,"Hip.","05","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
26.1,34.8,17.2,16.8,21.2,5.3,18.6,61.9,-4.3,6.6,0,-143.8,4.5,82.8,0,17.2,39,20.6,"Hip.","05","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
30.1,35.4,15.6,15.1,9.4,6.1,9.3,39.8,-5.5,3.4,0,-118.5,3.6,96.3,0,3.7,39.7,23,"Hip.","05","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
