"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,17.4,5.1,19.1,27,47.4,-15.6,69,3.6,200,NA,33.3,-100,-15.6,-100,43.9,"Hip.","05","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.2,-4.4,100,10.1,25,0,-31,21.2,3.5,50,NA,44.4,-37.5,-8.9,-37.5,28.6,"Hip.","05","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.2,10.4,15.1,60,141.7,4.3,30.4,34,2.8,-19.6,NA,52.2,NA,-11.8,NA,29.9,"Hip.","05","TV","Intermediário","HVAC","L","Sala","Curitiba"
-0.3,28.6,24.1,77.3,13,75.9,13.6,56.6,3.4,140,NA,21.1,NA,-28.9,NA,150,"Hip.","05","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.3,24.6,22.6,83.3,19.8,80,1.6,33.2,4.6,160,NA,11.1,NA,-23.3,NA,120,"Hip.","05","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.3,17.6,10.9,60.2,Inf,47.6,8.6,32.5,4.5,-17,-100,7.7,NA,-14.2,NA,26.5,"Hip.","05","TV","Intermediário","HVAC","NE","Sala","Curitiba"
-0.3,28,22.6,77.3,13.3,75.9,8.5,52.8,3.4,125,NA,21.1,NA,-27.4,NA,136.1,"Hip.","05","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.3,24.6,22.6,83.3,1.6,80,18.9,32.8,4.6,153.3,NA,11.1,NA,-23.3,NA,120,"Hip.","05","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.3,17.6,10.9,60.2,9.4,47.6,Inf,32.5,4.5,-17,-100,7.7,NA,-14.2,NA,26.5,"Hip.","05","TV","Intermediário","HVAC","NO","Sala","Curitiba"
0,-10,22.2,11.9,-6.9,-32.8,-6.9,-40,6.9,71.4,NA,31.2,NA,0,NA,0,"Hip.","05","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0,-5.8,25,13.1,0,-20,-20.4,-16.7,6.8,85.7,NA,20,NA,-1.6,NA,0,"Hip.","05","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.3,-7.4,12.7,30,Inf,-7.4,-6.4,-1.5,7.8,-38.5,NA,25,NA,2.3,NA,-3,"Hip.","05","TV","Intermediário","HVAC","SE","Sala","Curitiba"
0,-10,22.2,11.9,-10,-32.8,-18.2,-46.7,8,71.4,NA,31.2,NA,1.5,NA,-16.7,"Hip.","05","TV","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
0,-5.8,25,13.1,-20.4,-20,0,-16.7,6.8,85.7,NA,20,NA,-1.4,NA,0,"Hip.","05","TV","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
0.3,-7.4,10.7,27.6,-8.3,-7.4,Inf,-2.3,7.8,-38.5,NA,25,NA,2.4,NA,-3,"Hip.","05","TV","Intermediário","HVAC","SO","Sala","Curitiba"
-0.2,16.8,7.4,19.7,-14.2,56.3,72.4,35.2,3.6,185.7,NA,23.8,-100,-15.6,-100,46.1,"Hip.","05","TV","Intermediário","HVAC","O","Dorm. N","Curitiba"
-0.2,-3.7,68.8,11.6,-27.7,3.4,75,237.5,2.3,53.3,NA,31.6,-42.9,-9,-42.9,39.5,"Hip.","05","TV","Intermediário","HVAC","O","Dorm. S","Curitiba"
-0.2,17.2,9.1,55,41.8,12,31.2,35.3,3.3,-16.4,-100,0,NA,-13.7,NA,26.2,"Hip.","05","TV","Intermediário","HVAC","O","Sala","Curitiba"
