"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,10.8,138.9,25,38.8,63.4,-8.5,392.9,6.2,222.2,NA,43.5,-19,-24.9,-19,106.7,"Hip.","05","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
-0.4,10.5,133.3,16.5,39.1,14,-13.6,62.9,4.8,90,NA,52.4,-7.5,-23.4,-7.5,107.5,"Hip.","05","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
0,3.3,48,51,127.3,10,32.8,37.8,9.2,-16.3,NA,60,NA,-14.4,NA,26.8,"Hip.","05","TV","Cobertura","HVAC","L","Sala","Curitiba"
-0.6,10.1,263.6,79.7,15.3,82.9,14.3,68.8,7.1,150,NA,35,-28.6,-30,-28.6,143.6,"Hip.","05","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.3,4.7,310,84,18.7,84,1.9,38.9,9.4,158.3,NA,26.3,50,-23.4,50,127.6,"Hip.","05","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,5.2,46.1,55.8,Inf,71.4,11.2,36.1,15,-15.7,-100,23.1,NA,-15.2,NA,27.6,"Hip.","05","TV","Cobertura","HVAC","NE","Sala","Curitiba"
-0.6,9.5,263.6,76.9,14,82.9,9.7,66,7.1,130.8,NA,35,-28.6,-28.8,-28.6,131,"Hip.","05","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.3,4.7,310,84,2.9,84,17.8,38.4,9.4,158.3,NA,26.3,50,-23.4,50,127.6,"Hip.","05","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,5.2,46.1,55.8,12.1,71.4,Inf,36.1,15,-15.7,-100,23.1,NA,-15.2,NA,27.8,"Hip.","05","TV","Cobertura","HVAC","NO","Sala","Curitiba"
-0.3,1,260,20.5,5.7,-10.3,6.2,23.2,8.2,114.3,NA,44.4,13.6,-16.8,13.6,105.9,"Hip.","05","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0,0,241.7,21.4,11.1,0,-5,13.9,9.4,128.6,NA,35.3,53.8,-17.1,53.8,117.6,"Hip.","05","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0.3,-5.8,53,93.8,Inf,5.2,1.8,14.5,11.4,-31.2,NA,38.5,100,-6.2,100,17.7,"Hip.","05","TV","Cobertura","HVAC","SE","Sala","Curitiba"
0,1,260,20.5,6.2,-10.3,-2.6,15,8.2,114.3,NA,44.4,19,-15.7,19,94.4,"Hip.","05","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
