"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.8,24.2,8.1,12.2,-1.2,3.2,13.7,27.9,-4.5,5.4,0,-109,3.2,2.8,8.5,88.7,33.4,12.4,"Hip.","06","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
47.1,14.5,8,-5.9,1.5,14.4,9,19,-5.2,4.5,0,-90.5,2.9,2,13.9,84.2,33.5,11.9,"Hip.","06","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
49.8,18.8,7.6,3.7,-4,4.5,10.9,15.2,-6.1,2.3,0,-87,2.9,34.6,4.4,61,34,13,"Hip.","06","C10","Cobertura","AFN","L","Sala","Curitiba"
35.8,29.7,9.6,18.7,11,3.2,13.2,46.1,-4.5,5.4,0,-123.2,3.5,3.7,5.5,90.8,33.5,14,"Hip.","06","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
35.8,30.2,10.1,14.7,18.7,2.4,16.7,52.5,-4.3,5.4,0,-130.5,3.7,3.8,5,91.2,33.2,14.5,"Hip.","06","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.4,28.2,9.4,11.5,6.5,1.4,6.7,26,-5.5,2.8,0,-99.3,3.3,41.4,2,56.6,33,13.8,"Hip.","06","C10","Cobertura","AFN","NE","Sala","Curitiba"
35.8,29.6,9.5,18.7,12.8,3.2,11.3,45.9,-4.5,5.4,0,-123.1,3.5,3.7,5.4,90.9,33.5,14,"Hip.","06","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
35.8,30.2,10.1,14.8,16.4,2.4,19,52.6,-4.3,5.4,0,-130.6,3.7,3.8,5,91.2,33.1,14.5,"Hip.","06","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.4,28.2,9.4,11.5,6.5,1.4,6.7,26,-5.5,2.8,0,-99.3,3.3,41.4,2,56.6,33,13.8,"Hip.","06","C10","Cobertura","AFN","NO","Sala","Curitiba"
36.2,15.9,9.6,-4.4,7.8,11.9,9.9,25.2,-4.6,3.6,0,-87.6,2.8,1.9,12,86.1,32.6,12.8,"Hip.","06","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.2,17.3,9.9,-3.3,13.5,9.8,11.7,31.8,-4.6,3.7,0,-95.3,3.1,2.1,10.5,87.3,32.7,13.1,"Hip.","06","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39.6,13.2,8.9,-5.2,3.7,6.4,3.9,8.8,-5.7,1.5,0,-66.3,2.6,26.2,6.4,67.4,33,12.8,"Hip.","06","C10","Cobertura","AFN","SE","Sala","Curitiba"
36.2,15.9,9.6,-4.4,9.5,11.9,8.1,25.1,-4.6,3.6,0,-87.6,2.8,1.9,12.2,85.9,32.6,12.8,"Hip.","06","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
36.2,17.4,9.9,-3.2,11.3,9.8,14,31.9,-4.6,3.7,0,-95.7,3.1,2.1,10.6,87.3,32.7,13.1,"Hip.","06","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
39.6,13.2,8.9,-5.2,3.7,6.4,3.9,8.8,-5.7,1.5,0,-66.3,2.6,26.2,6.4,67.4,33,12.8,"Hip.","06","C10","Cobertura","AFN","SO","Sala","Curitiba"
