"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-6.1,-6.2,-1.9,-1.7,-1.5,-3.7,-8.7,0.7,0.5,0,0.4,0,18.9,0,-0.3,"Hip.","06","SF","Térreo","HVAC","L","Dorm. N","Curitiba"
0.3,-9.1,-1.6,-1.3,-1.5,-1.8,-2.5,-7.1,0.7,-0.1,0,0.2,0,16.6,0,-0.1,"Hip.","06","SF","Térreo","HVAC","L","Dorm. S","Curitiba"
0.1,-8.3,-3.6,-1.1,-1.6,-1.6,-0.9,-5.2,0.8,-2.4,0,0.4,0,19,0,-8.9,"Hip.","06","SF","Térreo","HVAC","L","Sala","Curitiba"
0.1,-3.6,-6.4,-1.3,-2.8,-1.1,-1.3,-6.6,0.6,0.8,0,0.3,0,14.7,0,-0.2,"Hip.","06","SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,-1.5,-5.9,-0.5,-1.3,-0.5,-2.9,-5.2,0.4,0.9,0,0.1,0,11.2,0,-0.1,"Hip.","06","SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,-1.9,-4.2,0.8,8.1,-0.6,-1,-1.6,0.3,-2.1,0,0.1,0,10.6,0,-9.3,"Hip.","06","SF","Térreo","HVAC","NE","Sala","Curitiba"
0.1,-4.4,-6.6,-1.6,-1.5,-1.2,-2.8,-7.1,0.6,0.6,0,0.3,0,16.3,0,-0.2,"Hip.","06","SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,-0.8,-5.7,-0.4,-2.8,-0.4,-1.2,-4.8,0.4,0.9,0,0.1,0,9.7,0,-0.1,"Hip.","06","SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,-1.9,-4.2,0.8,-1.1,-0.6,7.9,-1.7,0.2,-2.1,0,0.1,0,10.7,0,-9.4,"Hip.","06","SF","Térreo","HVAC","NO","Sala","Curitiba"
0.3,-9.4,-2.5,-1.8,-2.3,-2.9,-1.6,-8.6,0.9,0,0,0.3,0,18.9,0,0,"Hip.","06","SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
0.2,-8.4,-2.3,-1.1,-2.1,-2,-3.1,-8.2,0.7,0,0,0.1,0,17.8,0,0,"Hip.","06","SF","Térreo","HVAC","SE","Dorm. 2","Curitiba"
