"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.4,31.6,13.4,12.9,11.6,8.7,12.8,46,-6.5,7.7,0,-139.6,3.8,3.8,0.7,95.5,35.4,16.6,"Hip.","06","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
47,17.2,8.3,4.1,7.3,9.5,7.9,28.8,-6.4,6.3,0,-105.2,3.2,1.4,2.4,96.2,32.7,16.4,"Hip.","06","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
48.6,24.7,11.6,6.3,7.4,6.5,14.5,34.7,-8.6,3.1,0,-112.9,3.4,44.9,0,55.1,37.6,16.9,"Hip.","06","SF","Intermediário","AFN","L","Sala","Curitiba"
35.6,36,16.4,18.7,11.2,10.6,11.9,52.5,-6.6,7.1,0,-142.9,3.8,4.9,0.3,94.8,36.7,16.7,"Hip.","06","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.8,36,16.9,14.3,17.6,7.4,16.3,55.6,-6.2,6.8,0,-146,4,4.3,0.1,95.6,36.5,16.4,"Hip.","06","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
37.5,36.3,16.3,14.9,10,8.1,9.8,42.8,-7.7,3.5,0,-128.6,3.7,52.5,0,47.5,36.8,18.2,"Hip.","06","SF","Intermediário","AFN","NE","Sala","Curitiba"
35.6,35.9,16.4,18.6,12,10.6,11.1,52.4,-6.6,7,0,-142.8,3.8,4.9,0.3,94.8,36.7,16.7,"Hip.","06","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.8,36,16.9,14.3,16.6,7.4,17.4,55.6,-6.2,6.8,0,-146,4,4.3,0.1,95.6,36.5,16.6,"Hip.","06","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
37.5,36.3,16.3,14.9,10,8.1,9.8,42.8,-7.7,3.5,0,-128.6,3.7,52.5,0,47.5,36.8,18.2,"Hip.","06","SF","Intermediário","AFN","NO","Sala","Curitiba"
36.3,17.7,9.5,4.9,6.5,10.6,7.3,29.3,-5.8,4.6,0,-94.1,3,0.9,1.2,97.9,31.9,16,"Hip.","06","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.4,18.1,9.8,3.4,10.3,8.2,9.4,31.4,-5.4,4.3,0,-95.7,3.2,0.6,1.2,98.2,31.7,15.1,"Hip.","06","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
39.2,15.6,8.1,3.1,4.9,7.6,4.8,20.4,-7.2,1.6,0,-77.1,2.9,27.4,0,72.6,32.9,16.4,"Hip.","06","SF","Intermediário","AFN","SE","Sala","Curitiba"
36.3,17.7,9.5,4.9,7.3,10.6,6.5,29.3,-5.8,4.5,0,-94,3,0.9,1.3,97.9,31.9,16,"Hip.","06","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
