"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.899999999999999,5.3,-2.6,2.3,15.3,7.4,-0.5,24.5,-2.4,0.4,0,-0.5,-3.1,-18.6,-3.1,6.8,"Hip.",6,"SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
-0.900000000000006,3.8,-1.7,12.9,9.4,-2.2,0.1,20.3,-1.9,0.5,0,-0.2,-4.4,-13.8,-4.4,5.1,"Hip.",6,"SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
-0.299999999999997,4.5,0.0999999999999996,1.5,9.9,0.899999999999999,2.8,15.1,-0.7,1.4,0,-0.2,-0.1,-20.3,-0.1,21.7,"Hip.",6,"SF","Cobertura","HVAC","L","Sala","Curitiba"
-0.199999999999996,3.7,-2.3,-0.5,0.399999999999999,9.5,0.600000000000001,10,-2.1,0.0999999999999996,0,-0.3,-0.7,-6.39999999999999,-0.7,6.2,"Hip.",6,"SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.199999999999996,3,-2.4,-0.899999999999999,0.7,6.7,-0.6,6.1,-1.9,-0.0999999999999996,0,-0.3,-0.5,-2.09999999999999,-0.5,5.1,"Hip.",6,"SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,4.4,1,2.2,1.6,5.4,1.3,10.5,-0.0999999999999996,1.1,0,0,0,-17.7,0,24.3,"Hip.",6,"SF","Cobertura","HVAC","NE","Sala","Curitiba"
-0.199999999999996,3.7,-2.3,-0.5,0.9,9.6,0.0999999999999996,10.1,-2.1,0.0999999999999996,0,-0.3,-0.7,-6.59999999999999,-0.7,6.2,"Hip.",6,"SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.199999999999996,3,-2.4,-0.899999999999999,-0.0999999999999996,6.7,0.199999999999999,5.9,-1.9,-0.0999999999999996,0,-0.3,-0.5,-1.90000000000001,-0.5,5.1,"Hip.",6,"SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,4.4,1,2.2,1.6,5.4,1.3,10.5,-0.0999999999999996,1.1,0,0,0,-17.7,0,24.3,"Hip.",6,"SF","Cobertura","HVAC","NO","Sala","Curitiba"
-0.5,3.6,-1.4,13.1,0.1,0.399999999999999,-0.3,13.3,-1.9,0.3,0,-0.2,-2.4,-9.8,-2.4,5.5,"Hip.",6,"SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
-0.399999999999999,2.9,-1.4,9.6,-0.2,-0.2,-0.5,8.7,-1.7,0.2,0,-0.2,-1.5,-5.8,-1.5,4.5,"Hip.",6,"SF","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
-0.299999999999997,4.2,1,9.4,1.5,2.4,1.3,14.6,-0.5,0.8,0,0,-0.3,-20,-0.3,18.6,"Hip.",6,"SF","Cobertura","HVAC","SE","Sala","Curitiba"
-0.5,3.6,-1.4,13.1,0,0.399999999999999,-0.1,13.4,-2,0.3,0,-0.3,-2.4,-9.9,-2.4,5.6,"Hip.",6,"SF","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
-0.399999999999999,2.9,-1.3,9.6,-0.300000000000001,-0.2,-0.5,8.6,-1.7,0.2,0,-0.2,-1.5,-5.7,-1.5,4.5,"Hip.",6,"SF","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
