"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-11,-1.8,1.7,3.8,3.1,-22.2,-9.6,0,107.1,NA,3,0,-6.3,8.3,-0.4,0,-0.7,"Hip.","08","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-2.9,12.3,4.8,8.3,2.7,-13,-2.9,0,67.9,NA,-1.9,0,33.3,-3.5,0.1,0.6,0.7,"Hip.","08","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.4,-13.5,0,66.7,-40,-4.3,33.7,27.1,-4.5,-27.6,NA,-2.8,0,8.7,25,-3.7,3.4,-0.6,"Hip.","08","TV","Intermediário","AFN","L","Sala","Curitiba"
-0.3,-6.8,-0.7,11.9,-15.2,-2.3,1.7,0.4,-2,86.7,NA,-1.1,0,26.7,-7.7,-0.3,0.6,-1.8,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
0,-6.9,-2.7,11.8,-2.2,0,-17.9,-4.5,2,80.6,NA,1.7,-2.6,13.3,33.3,-0.3,0.3,1.8,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.5,-7.5,-4,62,6.2,0,-2.9,20,-1.6,-27.8,NA,-1.9,0,7.1,NA,-3.8,0.6,-1.8,"Hip.","08","TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,-7.5,-1.4,10.6,0,-2.3,-17.7,-1.3,-2,80.6,NA,-0.4,0,26.7,-7.7,-0.3,0.6,-3.5,"Hip.","08","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
0,-6.5,-2.7,11.8,-18.8,0,-0.6,-4.1,2,80.6,NA,1.7,-2.6,13.3,33.3,-0.3,0.3,0.6,"Hip.","08","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.5,-7.5,-4,62,-4.2,0,7.9,20,-1.6,-27.8,NA,-1.9,0,6.8,NA,-3.7,0.6,-1.8,"Hip.","08","TV","Intermediário","AFN","NO","Sala","Curitiba"
0,-8.9,3.8,11.1,-17.5,-28.6,5.1,-17.2,3.9,89.5,NA,4,-3.4,100,23.2,-1.6,1,-3.1,"Hip.","08","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.3,-7.2,2.4,28.6,-0.9,-26.1,-16.9,-14.1,4,80,NA,4.1,-3.2,50,35.1,-1.6,1.4,-3.6,"Hip.","08","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0,-10.7,1.8,12,-8.6,-8.1,3.1,-2.9,3,-40,NA,3.2,-3.8,9.4,127.3,-3.7,1.3,-3.8,"Hip.","08","TV","Intermediário","AFN","SE","Sala","Curitiba"
0,-10.7,2.5,11.1,2.6,-29.7,-20.9,-19.5,3.9,84.2,NA,5,-3.4,33.3,32.7,-1.9,0.7,-3.8,"Hip.","08","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.3,-7.2,2.4,28.6,-17.8,-26.1,1.8,-14.1,4,80,NA,4.2,-3.2,100,35.1,-1.5,1.4,-3.6,"Hip.","08","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0,-10.7,1.8,12,0,-8.1,-5.7,-2.9,3,-40,NA,3.2,-3.8,8.7,127.3,-3.5,1.3,-4.4,"Hip.","08","TV","Intermediário","AFN","SO","Sala","Curitiba"
0.2,-11.8,-1.7,0,-24.2,0,-1.8,-10.2,2,96.9,0,3.4,-2.9,-7.1,6.5,-0.2,-0.3,-1.3,"Hip.","08","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-4.5,11.3,5.6,-16.5,0.8,0,-5.2,-1.8,62.5,NA,-0.5,0,13.3,0,-0.2,0.6,-0.7,"Hip.","08","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.8,-10.7,-1.9,70,55.4,5.9,-10.8,33.8,-7.7,-19.4,NA,-6.1,3.3,7.8,0,-4.8,2.6,0,"Hip.","08","TV","Intermediário","AFN","O","Sala","Curitiba"
0.6,-11.5,-1.6,0,4.5,4.1,-22.3,-8,4.3,100,NA,3,0,-3.1,NA,7.6,-1.1,0.5,"Hip.","08","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.3,-3.7,11,Inf,2.6,0,-14.4,-3.5,0,58.8,NA,-1.2,0,0.3,NA,-0.5,-0.3,0.5,"Hip.","08","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-1.3,-11.1,1.8,58.3,-12.8,-1.6,50.5,27.6,-8.9,-27.5,NA,-6.8,3.2,0.1,NA,-0.9,2.8,0,"Hip.","08","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
0,-6.1,-0.7,14.8,-16.5,1.6,0.8,0.6,-2.3,87.5,NA,-1.3,0,0.3,NA,-0.8,0.5,0,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
0,-5.2,-1.9,15,0,2.3,-16.7,-2.5,0,84.4,NA,0.3,0,-1,NA,3.7,-0.3,-0.5,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.3,-4.4,-2,60.5,10,0,-1.1,19.8,-1.9,-27.3,NA,-3.8,0,0.3,NA,-5.9,0.3,-0.4,"Hip.","08","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-0.4,-6.4,0,14.8,0,1.6,-15.9,0.6,-2.3,87.5,NA,-1.4,0,0.4,NA,-1.3,0.3,-0.5,"Hip.","08","TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
0,-4.6,-1.9,15.8,-16.3,0,0,-2.1,0,84.4,NA,0.2,0,-1.2,NA,4.1,0,0,"Hip.","08","TV","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.3,-4.4,-2,60.5,0,0,10.1,19.8,-1.9,-27.3,NA,-3.8,0,0.3,NA,-5.9,0.3,-0.4,"Hip.","08","TV","Intermediário","AFN","NO","Sala","Rio de Janeiro"
0.7,-8,5.5,21.4,-20.8,-28.3,3.6,-16.9,7.9,90.5,NA,4.2,0,-4.3,NA,6,0.3,-0.5,"Hip.","08","TV","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
0.4,-4.4,7.3,30,1.6,-26.2,-14.5,-11.7,5.6,86.4,NA,2.7,-2.6,-3.9,NA,5.6,0.3,-1,"Hip.","08","TV","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
0.3,-5.8,8.5,66.7,-4.3,-6.7,7.5,0.6,7.5,-40,NA,2,0,-3.9,NA,15.1,0.8,-2.3,"Hip.","08","TV","Intermediário","AFN","SE","Sala","Rio de Janeiro"
0.7,-8.1,5.5,21.4,3.6,-28.9,-20,-17,7.9,90.5,NA,4.2,0,-4.4,NA,6.3,0.3,-1,"Hip.","08","TV","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
0.4,-3.9,7.3,30,-13.1,-25.4,2.4,-11.2,5.6,86.4,NA,2.6,-2.6,-3.9,NA,5.6,0.5,-1.5,"Hip.","08","TV","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
0.3,-5.8,8.5,66.7,7.3,-6.7,-4.4,0.6,7.5,-40,NA,2,0,-3.9,NA,15.1,0.8,-2.3,"Hip.","08","TV","Intermediário","AFN","SO","Sala","Rio de Janeiro"
0.6,-10.8,0,-0.7,-22.7,0,1.4,-8.8,2.3,100,NA,2.9,-2.5,-3.1,NA,7.8,-0.5,0.5,"Hip.","08","TV","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
-0.3,-2.4,13,16.7,-14.5,0,1.2,-4.2,-2.4,60,NA,-1.2,0,0.3,NA,-0.5,0.3,0.5,"Hip.","08","TV","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
-1,-10,0.8,47.5,43.8,-1.5,-8.1,22.2,-9.4,-26.7,NA,-6.4,0,0.2,NA,-2.1,1.5,0,"Hip.","08","TV","Intermediário","AFN","O","Sala","Rio de Janeiro"
0.2,-13,-3.4,0,4.1,5.3,-22.9,-9.2,4.2,103.3,NA,3.6,0,-6,-14.3,2,-1.4,0.6,"Hip.","08","TV","Intermediário","AFN","L","Dorm. N","São Paulo"
0,-6.5,7.4,14.3,3.6,0,-15.8,-4.4,0,62.5,NA,-0.2,0,-0.5,-7.7,0.1,-0.6,0.7,"Hip.","08","TV","Intermediário","AFN","L","Dorm. S","São Paulo"
-0.9,-15.2,-3.2,62.1,-37.5,-1.9,45.5,26.9,-6.3,-27.3,NA,-5.3,0,2.4,0,-3.3,2.6,0,"Hip.","08","TV","Intermediário","AFN","L","Sala","São Paulo"
0,-7.8,-2.1,12.8,-16.5,2,0,0,0,81.2,NA,-0.2,0,1.1,0,-0.4,0.3,-0.6,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 1","São Paulo"
