"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.1,19.1,9.4,11,-2.7,1.2,12.4,21.8,-4.4,5,0,-99.1,3.1,1,7.4,91.6,31.7,13.4,"Hip.","09","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
47.4,12.1,5.3,-6.7,0.1,12.7,7.5,13.6,-5,3.9,0,-80.2,2.7,0.5,12.1,87.5,31.1,12.8,"Hip.","09","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
50.8,13.2,6.5,3.1,-5.6,3.9,4.5,5.9,-6,1.9,0,-72.1,2.7,24.4,3.8,71.8,31.9,14.2,"Hip.","09","C10","Intermediário","AFN","L","Sala","Curitiba"
36.2,22.3,11.6,5.7,10.1,2.1,12.3,30.1,-4.2,4.9,0,-103.2,3.2,0.6,4.6,94.8,30.9,15.2,"Hip.","09","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
36.2,23.7,12.5,4.4,17.5,1.5,15.4,38.7,-4,5,0,-113.8,3.5,0.7,3.4,95.9,30.7,16,"Hip.","09","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
39.1,20.8,10.4,1.6,6,-0.4,6.2,13.4,-5.4,2.4,0,-81.5,3,25.5,0.6,73.9,31.2,15.3,"Hip.","09","C10","Intermediário","AFN","NE","Sala","Curitiba"
36.2,22.2,11.6,5.6,11.8,2.1,10.4,29.9,-4.2,4.9,0,-103.3,3.2,0.6,4.5,94.9,31,15.2,"Hip.","09","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
36.2,23.7,12.5,4.4,15.1,1.5,17.9,38.9,-4.1,5,0,-113.8,3.5,0.7,3.3,96,30.6,16,"Hip.","09","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
39.1,20.8,10.4,1.6,6,-0.4,6.2,13.4,-5.4,2.4,0,-81.5,3,25.5,0.6,73.9,31.2,15.3,"Hip.","09","C10","Intermediário","AFN","NO","Sala","Curitiba"
36.5,12.9,7.3,-5,6.4,10.2,8.5,20.1,-4.4,3.1,0,-77.4,2.7,0.1,8.4,91.5,29.3,14.2,"Hip.","09","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.5,14,8,-3.6,11.4,8.1,9.7,25.5,-4.4,3.2,0,-84.2,2.9,0.1,7.4,92.4,29.2,14.8,"Hip.","09","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
40.2,9.7,4.8,-6.2,2.6,3.9,2.8,3.2,-5.7,1.1,0,-53.4,2.3,13,4.8,82.2,30.5,14.3,"Hip.","09","C10","Intermediário","AFN","SE","Sala","Curitiba"
36.5,12.9,7.3,-5,8.1,10.2,6.7,20,-4.4,3.1,0,-77.4,2.7,0.1,8.3,91.6,29.3,14.2,"Hip.","09","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.5,14,8,-3.6,9.3,8.1,11.9,25.6,-4.4,3.2,0,-84.4,2.9,0.1,7.5,92.4,29.2,14.8,"Hip.","09","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
40.2,9.7,4.8,-6.2,2.6,3.9,2.8,3.2,-5.7,1.1,0,-53.4,2.3,13,4.8,82.2,30.5,14.3,"Hip.","09","C10","Intermediário","AFN","SO","Sala","Curitiba"
46.9,20.8,10.1,13.3,12,0.8,2.1,28.2,-4.6,5.5,0.1,-108.7,3.2,2,6.9,91.1,33.1,13.5,"Hip.","09","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
47.2,13.7,5.8,-6.8,7,15,5.8,20.9,-5.2,4.4,0,-89.7,2.9,1.4,10,88.7,33,13,"Hip.","09","C10","Intermediário","AFN","O","Dorm. S","Curitiba"
49.7,18.3,9.1,4.3,4.2,5,-0.2,13.3,-5.8,2.6,0,-87.8,2.9,33.1,2.9,64,34.2,14.3,"Hip.","09","C10","Intermediário","AFN","O","Sala","Curitiba"
35.4,21.3,10.8,12.5,3.5,3.4,13.6,33,-3.9,5.6,0,-102.8,3.8,64.5,0,35.5,37.5,19.3,"Hip.","09","C10","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
36.3,14,6.8,-3.9,8,14.8,8.1,27,-4.2,4.6,0,-88.2,3.6,54.8,0,45.2,38.3,19,"Hip.","09","C10","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
39.7,18,9.9,4.6,-0.6,5.6,7.3,16.9,-5.1,2.6,0,-83.9,3,83.9,0,16.1,38.9,21,"Hip.","09","C10","Intermediário","AFN","L","Sala","Rio de Janeiro"
27.3,24.7,13,7.9,11.5,4.8,12.7,36.9,-3.5,5.5,0,-105.6,3.8,69.9,0,30.1,36.7,20,"Hip.","09","C10","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
27.2,26,13.9,6,18.8,3.4,17.1,45.3,-3.4,5.5,0,-115.8,4.1,72.1,0,27.9,36.4,20.2,"Hip.","09","C10","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
31.1,25.2,12.9,3.8,7.9,2.7,7.9,22.3,-4.3,3,0,-91.5,3.3,92.1,0,7.9,36.8,21.8,"Hip.","09","C10","Intermediário","AFN","NE","Sala","Rio de Janeiro"
