"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.6,-22.9,14.3,-4.2,-3.4,-4.8,-25.8,-11.4,5.6,107.7,NA,7.8,-3.1,-37.5,7.7,0.9,-1.4,-0.7,"Hip.","09","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
0.2,-11.7,2.4,0,0,-1.4,-19.8,-7.4,1.4,64.3,NA,2.8,0,-27.3,-10.5,1.6,-2,2.2,"Hip.","09","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
0.6,-24.2,-4.2,-1.8,-9.1,-11.5,0,-4.2,3.9,-33.3,NA,5.4,-3.2,-7.4,-50,5.7,-1.4,0.7,"Hip.","09","SF","Cobertura","AFN","L","Sala","Curitiba"
0.3,-22.7,2.3,-13.4,-27.5,-8,-6.9,-15.1,5.7,88.5,NA,9.4,-6.3,-39.4,2.3,1.2,-2.5,-0.6,"Hip.","09","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0.6,-23.4,2.1,-14.4,-9.7,-9.3,-24.5,-15.6,7.4,66.7,NA,10.8,-5.9,-40.6,7.7,1.2,-2.3,-1.3,"Hip.","09","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
0.8,-20.3,3.1,3.1,-3.6,-4.6,-7.1,-2.4,9.9,-31.8,NA,6.2,-2.9,-7,-33.3,6.5,-2.3,1.4,"Hip.","09","SF","Cobertura","AFN","NE","Sala","Curitiba"
0.6,-23.3,0,-14.2,-8,-9.3,-28,-15.6,5.7,77.8,NA,9.5,-6.3,-36.4,2.3,1.2,-2.3,-1.3,"Hip.","09","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0.6,-22.8,4.3,-14.4,-23.9,-9.3,-9.2,-15.2,7.4,76.9,NA,10.9,-5.9,-40.6,7.7,1.1,-2.5,-1.3,"Hip.","09","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
0.8,-20.3,3.1,3.1,-7,-4.6,-3.7,-2.7,9.9,-31.8,NA,6.3,-2.9,-7,-33.3,6.7,-2.3,1.4,"Hip.","09","SF","Cobertura","AFN","NO","Sala","Curitiba"
0.3,-14.6,-1.8,-7.5,-24.7,-14.4,-1.7,-13.7,1.5,94.4,NA,4.8,0,-30,-1.3,0.7,-2.3,0.7,"Hip.","09","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0.3,-14.7,0,-6.9,-5.6,-14.8,-20.8,-13,4.6,73.7,NA,6,-3.4,-31.6,0,0.7,-2.3,0.7,"Hip.","09","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-17.7,3.2,-3.1,-5.7,1.4,-5.8,-3.4,5.6,-37.9,NA,4.6,0,-7.5,-16.7,4.3,-1.2,0.7,"Hip.","09","SF","Cobertura","AFN","SE","Sala","Curitiba"
0,-15.1,-3.4,-9.8,-4.9,-15.4,-25.7,-14.3,1.5,94.4,NA,5,0,-30,0,0.6,-2.3,0.7,"Hip.","09","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0.3,-14.2,-1.7,-10.3,-20.8,-14.8,-5.6,-13.4,3.1,73.7,NA,6.1,-3.4,-31.6,2.7,0.4,-2,0.7,"Hip.","09","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.3,-17.7,3.2,-3.1,-5.7,0,-7.5,-3.4,5.6,-37.9,NA,4.7,0,-7.5,-16.7,4.3,-1.2,0.7,"Hip.","09","SF","Cobertura","AFN","SO","Sala","Curitiba"
0.6,-24,6.7,-6.1,-26.9,-6.3,-5.6,-13.4,4.2,93.1,NA,8.3,-6.1,-35.1,1.9,1.2,-2.5,-1.3,"Hip.","09","SF","Cobertura","AFN","O","Dorm. N","Curitiba"
0.2,-13.4,-2.2,-3.2,-21.4,-3.8,-1.5,-9.6,0,54.8,NA,3.6,0,-26.9,-7.4,1.5,-2.2,2.2,"Hip.","09","SF","Cobertura","AFN","O","Dorm. S","Curitiba"
0.2,-20.5,0,4.5,6.1,-4.2,-5.4,1.1,4.1,-24.5,NA,2.3,0,-3.5,-63.6,4.8,-0.5,1.4,"Hip.","09","SF","Cobertura","AFN","O","Sala","Curitiba"
1.7,-22.9,11.8,-4.6,-1.8,-3.8,-25.2,-10.4,9.1,93.5,NA,8.1,-2.6,-5.4,NA,11.6,-1.7,1,"Hip.","09","SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0.6,-9.1,2.7,0,1.1,-3.3,-19.4,-6.5,3.3,61.8,NA,2.3,0,-1,NA,1.4,-2.2,1.1,"Hip.","09","SF","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
0.8,-23.4,-9.2,0,-8.4,-10.5,3.7,-2.7,1.5,-32.7,NA,4,0,-0.3,NA,3.1,-1.4,2,"Hip.","09","SF","Cobertura","AFN","L","Sala","Rio de Janeiro"
1.5,-20.9,3,-10.1,-26.4,-5.5,-6.2,-12.9,7.8,82.8,NA,8.3,-2.6,-5.8,NA,13.7,-2,0.5,"Hip.","09","SF","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
1.5,-21.1,4.2,-10.4,-7.5,-6.2,-21.8,-12.9,9.7,78.6,NA,9.2,-2.5,-6.6,NA,15.4,-2,0.5,"Hip.","09","SF","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
1.3,-16.4,3.1,7.8,-1,-2.5,-5.1,0,10.2,-32.1,NA,5.3,0,-0.6,NA,10,-1.8,1.9,"Hip.","09","SF","Cobertura","AFN","NE","Sala","Rio de Janeiro"
1.5,-21.4,4.5,-10.1,-7.2,-6.6,-26.7,-12.9,9.4,82.8,NA,8.3,-2.6,-5.8,NA,13.7,-1.7,0.5,"Hip.","09","SF","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
1.5,-20.5,4.2,-10.4,-21.8,-6.2,-7.5,-12.7,9.7,78.6,NA,9.1,-2.5,-6.6,NA,15.4,-2,1,"Hip.","09","SF","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
1.3,-16.4,2.1,7.8,-5,-2.5,-2.1,0,10.2,-32.1,NA,5.3,0,-0.6,NA,10,-1.8,1.9,"Hip.","09","SF","Cobertura","AFN","NO","Sala","Rio de Janeiro"
0.7,-8.2,3.4,0,-20.2,-7.6,1.5,-7.7,5.5,100,NA,2.4,0,-1.8,NA,2.3,-2.2,1.1,"Hip.","09","SF","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
0.7,-7.5,5.5,2.6,1,-6.5,-14.9,-6.4,9.4,85.7,NA,3.2,0,-2.1,NA,2.8,-2.2,1.1,"Hip.","09","SF","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
0.6,-10.9,3,0,-3.1,5.9,-1.6,0.4,6.9,-38.9,NA,3.9,0,-0.4,NA,1.8,-1.5,2.5,"Hip.","09","SF","Cobertura","AFN","SE","Sala","Rio de Janeiro"
0.7,-9.2,4.5,0,1.5,-7.6,-20.5,-7.7,5.5,100,NA,2.6,0,-1.9,NA,2.6,-2.2,1.1,"Hip.","09","SF","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
0.7,-7,5.5,2.6,-14,-6.5,1,-6.4,7.5,85.7,NA,3.1,0,-1.9,NA,2.5,-2,1.1,"Hip.","09","SF","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
0.6,-10.9,3,0,-3.1,5.9,-3.1,0.4,6.9,-38.9,NA,3.9,0,-0.4,NA,1.8,-1.5,2.5,"Hip.","09","SF","Cobertura","AFN","SO","Sala","Rio de Janeiro"
