"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-13.9,0,0.9,6.2,4.3,-22.9,-10.3,2,104,0,4.1,-3.2,-22.7,1.3,0.4,-0.6,3.1,"Hip.","09","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
0,-5,0,4.2,0,0,-18.7,-8.8,0,72,NA,0.7,0,-13.3,-5,0.9,-0.9,2.4,"Hip.","09","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
0.4,-20.2,-3.7,42.9,-66.7,-6.5,-17.1,-3.9,0,-32.3,NA,3.5,0,-4.4,-5.7,2.6,-0.9,2.3,"Hip.","09","TV","Cobertura","AFN","L","Sala","Curitiba"
0.3,-17.3,-1.4,-29.7,-19.3,0,-2.8,-17.1,5.8,84.6,-100,7.7,-3.1,-34.8,5.5,0.5,-1.8,0.7,"Hip.","09","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0.3,-18.1,-1.4,-31.6,-6.2,4.2,-22.2,-17.8,7.8,74.1,-100,9.3,-5.7,-37.5,8.9,0.5,-2.1,-0.7,"Hip.","09","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
0.5,-18.4,3.1,-15.9,4.9,9.5,-3,-4.6,6.5,-31.4,NA,5.7,-3.2,-9.1,-15.4,5.9,-1.5,0,"Hip.","09","TV","Cobertura","AFN","NE","Sala","Curitiba"
0.3,-18,-2.9,-30.4,-4.6,0,-21.2,-18.4,5.8,77.8,-100,8.1,-3.1,-37.5,7.4,0.5,-1.8,0.7,"Hip.","09","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0.3,-18.1,0,-31.6,-22.5,4.2,-5.6,-17.6,7.8,74.1,-100,9.3,-5.7,-37.5,11.1,0.5,-2.1,-0.7,"Hip.","09","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
0.5,-18.4,3.1,-15.9,-4.5,9.5,6.7,-4.6,6.5,-31.4,NA,5.7,-3.2,-8.9,-15.4,5.7,-1.5,0,"Hip.","09","TV","Cobertura","AFN","NO","Sala","Curitiba"
0,-12.9,-1.4,0,-18.3,-27.1,0,-18.5,3.6,88.9,NA,5.8,0,-35.7,3.3,0.2,-1.9,0.7,"Hip.","09","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0.3,-12.1,0,11.1,-4.3,-26.8,-19.7,-16.8,5.6,78.9,NA,6.5,-3.3,-35.7,3.7,0.2,-1.9,-0.7,"Hip.","09","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-16.4,3.3,9.5,-5.1,-20.3,0,-10.9,4.5,-36.4,NA,5.2,0,-7.1,4.7,2.4,-1.2,-0.7,"Hip.","09","TV","Cobertura","AFN","SE","Sala","Curitiba"
0.3,-13.4,-1.4,-8.3,-1.3,-27.6,-21.8,-20.1,3.6,88.9,NA,6.3,-3.6,-40,6.7,0,-1.9,0.7,"Hip.","09","TV","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0.3,-12.6,0,11.1,-20.5,-25.9,-2.6,-17,5.6,78.9,NA,6.5,-3.3,-35.7,3.7,0.2,-1.9,-0.7,"Hip.","09","TV","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.3,-16.4,3.3,9.5,0,-20.3,-5.1,-10.9,4.5,-36.4,NA,5.4,0,-7.1,4.7,2.4,-1.2,-0.7,"Hip.","09","TV","Cobertura","AFN","SO","Sala","Curitiba"
0.2,-15,-1.7,-0.8,-25.3,4.2,2.4,-10.9,0,96.4,0,4.5,-3.1,-20,4.2,0.6,-1.2,3,"Hip.","09","TV","Cobertura","AFN","O","Dorm. N","Curitiba"
0.2,-7.1,-1.7,0,-20.2,-0.8,0,-9,-1.7,62.1,NA,1.7,-3.4,-15.4,-4.6,0.9,-0.9,1.6,"Hip.","09","TV","Cobertura","AFN","O","Dorm. S","Curitiba"
0.2,-17.9,-1.7,51.5,-13,6,-5.7,3.3,0,-24.3,NA,1.4,0,-2.3,-3.3,1.7,-0.6,1.5,"Hip.","09","TV","Cobertura","AFN","O","Sala","Curitiba"
0.9,-14.3,2.6,-1.6,5.4,7.1,-23.3,-8.3,6.4,100,NA,4.4,-2.6,-3,NA,5.9,-0.8,0.5,"Hip.","09","TV","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0.3,-4.4,1.2,33.3,1.5,-1.6,-19.1,-7,0,61.3,NA,1.1,0,-0.5,NA,0.7,-1.3,1.6,"Hip.","09","TV","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
