"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-9.5,1.1,2.8,6.9,20,-20,-9.9,0,117.4,NA,1.9,0,11.1,7.2,-0.7,0.3,-2.2,"Hip.","10","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.2,-2.4,17.8,0,0,3.3,-11.8,-4.2,0,69.6,NA,-2.2,0,25,-1.6,0.1,0.3,1.6,"Hip.","10","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.2,-7.1,6,520,-20.4,0,16.7,42.6,-6.8,19.2,NA,-4.8,3.7,12.1,-24.1,-2.8,2.5,3.5,"Hip.","10","C10","Intermediário","AFN","L","Sala","Curitiba"
0,-10.5,-100,-31.2,-7.4,7.7,0,-13,2.2,151.9,-100,99.9,2737018.2,-100,-21.6,1.8,-0.3,-5.7,"Hip.","10","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
0.3,-12.1,-100,-33.9,-2.8,37.5,-18.6,-15.5,2.3,150,-100,99.9,2655513.5,-100,16.7,0.6,0,-11.4,"Hip.","10","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
0,-8.9,-3.5,15.7,16,0,-1.6,9.9,0,0,NA,-0.3,0,5.1,100,-2.1,0,-0.6,"Hip.","10","C10","Intermediário","AFN","NE","Sala","Curitiba"
0.3,-11.6,-100,-31.9,-3.3,7.7,-13.4,-15.9,2.2,142.9,-100,99.9,2656091.2,-100,-21.6,1.7,-0.3,-5.7,"Hip.","10","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
0.3,-11.8,-100,-33.9,-20.6,25,0,-15.1,2.3,159.3,-100,99.9,2654756.8,-100,25,0.5,-0.3,-3.6,"Hip.","10","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
0,-8.9,-3.5,15.7,-4.9,0,20,9.9,0,0,NA,-0.3,0,5.1,100,-2.1,0,-0.6,"Hip.","10","C10","Intermediário","AFN","NO","Sala","Curitiba"
0,-7.6,-100,3.5,-12.3,-34.4,5,-23.2,0,182.4,NA,100,2373250,-100,-17.7,1.6,-0.3,0,"Hip.","10","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-6.5,-100,7.1,-0.9,-36.8,-15,-19.4,2.2,194.1,NA,100,2404043.3,-100,-15.8,1.1,0.7,-2.6,"Hip.","10","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.2,-3.6,10.9,1.4,-13.8,-3.1,12.5,-2.1,0,5.6,NA,-1.1,0,13.8,20.7,-2.9,0.7,-1.3,"Hip.","10","C10","Intermediário","AFN","SE","Sala","Curitiba"
0,-8.9,-100,3.5,0,-34.4,-20.2,-26.7,2.1,176.5,NA,100,2374775,-100,-15.6,1.5,-0.3,-1.4,"Hip.","10","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,-6.5,-100,7.1,-17.7,-36,3.5,-19,2.2,194.1,NA,100,2405023.3,-100,-17.5,1.2,0.7,-2.6,"Hip.","10","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-0.2,-3.6,10.9,1.4,0,-3.1,-10,-2.1,0,5.6,NA,-0.9,0,13.8,20.7,-2.9,0.7,-1.3,"Hip.","10","C10","Intermediário","AFN","SO","Sala","Curitiba"
0,-10.7,0,1.5,-23.6,14.3,10.5,-9.9,0,103.7,0,2.6,-3,-4.8,6.2,-0.3,-0.3,-2.2,"Hip.","10","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
