"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.2,15.2,12.4,9.2,8.9,6.4,9.3,33.8,-5.3,5.4,0,-108.9,3.4,0.3,1.3,98.4,32.3,16.3,"Hip.","10","SF","Térreo","AFN","L","Dorm. N","Curitiba"
47.4,16.1,7.8,3.5,6.7,7.7,6.9,24.8,-5.9,4.7,0,-96.5,3.1,0.2,1.8,98,30.7,16.5,"Hip.","10","SF","Térreo","AFN","L","Dorm. S","Curitiba"
50.3,8.3,9.1,4.3,4.5,4.3,7.7,20.8,-7.1,3.2,0,-83.4,3,25.9,0,74.1,33.2,16.8,"Hip.","10","SF","Térreo","AFN","L","Sala","Curitiba"
36.3,18.5,0,10.9,8.2,7.8,8.4,35.3,-5,7,0,0,88963.8,0,2,98,31.8,14.2,"Hip.","10","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.4,18.6,0,7.9,12.6,5.4,11.8,37.7,-4.7,6.7,0,0,90919.9,0,2.2,97.8,31.7,13.9,"Hip.","10","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
38.9,11.6,13.3,7.9,6.9,5.4,6.6,26.8,-6,3.5,0,-88.6,3.2,31,0,69,32,17.3,"Hip.","10","SF","Térreo","AFN","NE","Sala","Curitiba"
36.3,18.2,0,10.9,8.5,7.7,8,35.1,-5,6.9,0,0,88597.7,0,1.9,98.1,31.8,14.7,"Hip.","10","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.4,18.9,0,7.9,12.2,5.5,12.3,37.9,-4.7,6.7,0,0,91236.9,0,2.4,97.6,31.7,13.9,"Hip.","10","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
38.9,11.6,13.3,7.9,6.9,5.4,6.6,26.8,-6,3.5,0,-88.6,3.2,31,0,69,32,17.3,"Hip.","10","SF","Térreo","AFN","NO","Sala","Curitiba"
36.5,17.8,0,4.5,6,8.7,6.4,25.6,-5.5,5.5,0,0,75589.4,0,1.8,98.2,30.1,15.2,"Hip.","10","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
