"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.200000000000003,4.2,-2.6,-1.2,12.2,5.7,-2,14.8,-2.2,0.9,-0.1,-13.2,0.3,0.9,-4.6,3.60000000000001,2.4,2.5,"Hip.",10,"SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.199999999999996,3.4,-1.5,10.2,7.3,-4.5,-1,12,-1.7,0.899999999999999,0,-12.2,0.2,0.8,-7.4,6.5,2.40000000000001,2.4,"Hip.",10,"SF","Cobertura","AFN","L","Dorm. S","Curitiba"
-1.2,4.9,-0.7,2.3,12.5,1.7,2.1,18.5,-1.4,1,0,-21,0.4,9.8,-3.7,-6.1,2,0.699999999999999,"Hip.",10,"SF","Cobertura","AFN","L","Sala","Curitiba"
-0.100000000000001,2.7,0,0.6,-1.2,6.6,-2.8,3.4,-1.9,0.5,0,0.1,1191.8,0.1,-2.3,2,2.7,1.2,"Hip.",10,"SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0,2,0,0.3,-3.3,4.7,-2.3,-0.600000000000001,-1.8,0.0999999999999996,0,0.1,-3085.10000000001,0.1,-2,1.90000000000001,3,0.4,"Hip.",10,"SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.699999999999996,5.3,-0.100000000000001,3.3,2.5,7.5,2.1,15.4,-1,0.8,0,-20.6,0.4,12.7,-1.4,-11.3,2,0.600000000000001,"Hip.",10,"SF","Cobertura","AFN","NE","Sala","Curitiba"
-0.100000000000001,2.7,0,0.699999999999999,-2.3,6.7,-1.6,3.4,-1.9,0.4,0,0.1,1257.60000000001,0.1,-2.3,2,2.8,1.1,"Hip.",10,"SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0,2.1,0,0.4,-1.8,4.7,-3.9,-0.700000000000003,-1.8,0.0999999999999996,0,0.1,-3119.60000000001,0.2,-2.1,1.89999999999999,2.9,0.200000000000001,"Hip.",10,"SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.699999999999996,5.3,-0.100000000000001,3.3,2.5,7.5,2.1,15.4,-1,0.8,0,-20.6,0.4,12.7,-1.4,-11.3,2,0.600000000000001,"Hip.",10,"SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.100000000000001,3,0,10.4,-0.800000000000001,-2.7,-2.2,4.6,-1.7,0.600000000000001,0,0,4192.39999999999,0.2,-2.9,2.7,2.9,1.4,"Hip.",10,"SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,2.4,0,7.3,-2.6,-2,-1.5,1.3,-1.4,0.3,0,0,635.400000000009,0.2,-2.3,2.10000000000001,3,1,"Hip.",10,"SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
-0.799999999999997,4.2,0,9.9,2.1,0.2,1.8,14.1,-0.9,0.6,0,-17.7,0.4,8.9,-3.6,-5.3,2,0.4,"Hip.",10,"SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.100000000000001,3,0,10.3,-1.9,-2.7,-1.1,4.7,-1.7,0.600000000000001,0,0,4229.90000000001,0.1,-2.9,2.69999999999999,3,1.3,"Hip.",10,"SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,2.3,0,7.4,-1.2,-2,-3.1,1.1,-1.5,0.3,0,0,510.700000000012,0.2,-2.1,2,3,1,"Hip.",10,"SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.799999999999997,4.2,0,9.9,2.1,0.2,1.8,14.1,-0.9,0.6,0,-17.7,0.4,8.9,-3.6,-5.3,2,0.4,"Hip.",10,"SF","Cobertura","AFN","SO","Sala","Curitiba"
-0.100000000000001,3,-2.7,-2.8,-1.4,6.1,7.8,9.7,-2.2,0.699999999999999,-0.1,-7.8,0.1,0.4,-3.9,3.3,2.1,2.4,"Hip.",10,"SF","Cobertura","AFN","O","Dorm. N","Curitiba"
-0.100000000000001,2.4,-1.5,10.5,-0.4,-6,2.7,6.8,-1.7,0.7,0,-7.09999999999999,0.2,0.3,-5.7,5.5,1.6,2.3,"Hip.",10,"SF","Cobertura","AFN","O","Dorm. S","Curitiba"
-1.4,5.9,0.2,2.8,4.6,2.2,10.3,20,-1.2,1.3,-0.1,-25.7,0.4,12.2,-2.8,-9.4,2.9,0.700000000000001,"Hip.",10,"SF","Cobertura","AFN","O","Sala","Curitiba"
-0.5,4.1,-2.1,-1.4,8.8,4.7,-1.9,10.1,-2,0.9,0,-8.7,0.1,4.1,0,-4.1,1.2,0.400000000000002,"Hip.",10,"SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
-0.399999999999999,3.7,-0.800000000000001,9.3,2.7,-5,-0.4,6.5,-1.4,1.1,0,-8.5,0.1,3.90000000000001,0,-3.90000000000001,1.90000000000001,0.400000000000002,"Hip.",10,"SF","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-1.2,4.7,-1,2.2,10.3,1.5,2.5,16.5,-1.3,1,0,-19.8,0.2,5.5,0,-5.5,2.2,0.300000000000001,"Hip.",10,"SF","Cobertura","AFN","L","Sala","Rio de Janeiro"
0,2.9,0,0.199999999999999,-1.6,5.3,-2.5,1.5,-1.8,0.399999999999999,0,0,-123.899999999994,-0.200000000000003,0,0.200000000000003,2.6,0,"Hip.",10,"SF","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
0.199999999999999,2,0,0.200000000000001,-3.5,3.7,-2.3,-2,-1.7,0.0999999999999996,0,0,-3935.2,-1.7,0,1.7,2.7,-0.100000000000001,"Hip.",10,"SF","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.800000000000001,5,-0.200000000000001,3.4,2.1,6,1.9,13.4,-0.9,0.8,0,-18.3,0.2,2.40000000000001,0,-2.4,1.8,0.100000000000001,"Hip.",10,"SF","Cobertura","AFN","NE","Sala","Rio de Janeiro"
-0.100000000000001,2.8,0,0.199999999999999,-2.4,5.3,-1.6,1.5,-1.8,0.399999999999999,0,0,-192,-0.200000000000003,0,0.200000000000003,2.6,-0.300000000000001,"Hip.",10,"SF","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
0.0999999999999979,2.2,0,0.0999999999999996,-2.4,3.7,-3.6,-2.1,-1.8,0,0,0,-3911.40000000001,-1.5,0,1.5,2.7,-0.299999999999997,"Hip.",10,"SF","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.800000000000001,5,-0.200000000000001,3.4,2.1,6,1.9,13.4,-0.9,0.8,0,-18.3,0.2,2.40000000000001,0,-2.4,1.8,0.100000000000001,"Hip.",10,"SF","Cobertura","AFN","NO","Sala","Rio de Janeiro"
-0.100000000000001,3.6,0,8.5,-0.8,-3.4,-1.7,2.7,-1.5,0.7,0,0,2549.8,0.400000000000006,0,-0.400000000000006,2.5,0,"Hip.",10,"SF","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
0,2.8,0,6,-2.5,-2.5,-1.3,-0.399999999999999,-1.2,0.399999999999999,0,0,-823.5,-1,0,1,2.59999999999999,0.0999999999999979,"Hip.",10,"SF","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.799999999999997,4.4,0.300000000000001,8.8,1.8,-0.100000000000001,1.7,12.3,-0.8,0.7,0,-16.1,0.3,5.59999999999999,0,-5.6,1.6,0.199999999999999,"Hip.",10,"SF","Cobertura","AFN","SE","Sala","Rio de Janeiro"
-0.100000000000001,3.5,0,8.5,-1.6,-3.3,-0.8,2.7,-1.4,0.7,0,0,2451.2,0.400000000000006,0,-0.400000000000006,2.5,-0.199999999999999,"Hip.",10,"SF","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
0,2.8,0,6,-1.4,-2.5,-2.6,-0.399999999999999,-1.3,0.399999999999999,0,0,-770.800000000003,-1,0,1,2.5,-0.100000000000001,"Hip.",10,"SF","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.799999999999997,4.4,0.300000000000001,8.8,1.8,-0.100000000000001,1.7,12.3,-0.8,0.7,0,-16.1,0.3,5.59999999999999,0,-5.6,1.6,0.199999999999999,"Hip.",10,"SF","Cobertura","AFN","SO","Sala","Rio de Janeiro"
-0.399999999999999,3.4,-2.2,-2.1,-2.4,4.2,8.1,7.8,-2.2,0.7,0,-5.89999999999999,0,2.89999999999999,0,-2.9,1.2,0.5,"Hip.",10,"SF","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
-0.300000000000004,3.1,-0.800000000000001,8.7,-0.9,-5.7,2.1,4.2,-1.5,0.9,0,-5.7,0,2.59999999999999,0,-2.59999999999999,1.7,0.399999999999999,"Hip.",10,"SF","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
-1.5,5.6,0.199999999999999,2.9,3.7,2.1,9.5,18.1,-1.2,1.2,0,-25.5,0.3,4.89999999999999,0,-4.9,2.6,0.300000000000001,"Hip.",10,"SF","Cobertura","AFN","O","Sala","Rio de Janeiro"
-0.300000000000004,4,-2.4,-1.6,9.4,4.9,-1.7,10.9,-1.9,0.899999999999999,0,-10,0.2,2.6,-2,-0.5,2.1,2.6,"Hip.",10,"SF","Cobertura","AFN","L","Dorm. N","São Paulo"
-0.300000000000004,3.4,-1,9.1,4.1,-4.9,-0.6,7.9,-1.4,1,0,-9.59999999999999,0.2,2.3,-2.6,0.200000000000003,1.59999999999999,2.2,"Hip.",10,"SF","Cobertura","AFN","L","Dorm. S","São Paulo"
-1.3,4.5,-1.1,2,10.5,1.4,2.9,16.9,-1.3,0.8,0,-19.2,0.3,8.7,-0.2,-8.40000000000001,2,0.800000000000001,"Hip.",10,"SF","Cobertura","AFN","L","Sala","São Paulo"
0,2.8,0,1,-1.5,5.3,-2.6,2.2,-1.8,0.4,0,0,366.199999999997,0.799999999999999,-0.5,-0.300000000000011,2.3,1.2,"Hip.",10,"SF","Cobertura","AFN","NE","Dorm. 1","São Paulo"
0,2,0,0.5,-3.4,3.6,-2.1,-1.3,-1.6,0.0999999999999996,0,0,-3435.7,0.199999999999999,-0.1,-0.200000000000003,2.5,0.799999999999999,"Hip.",10,"SF","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.799999999999997,5,-0.300000000000001,3.5,2.1,6.4,2,14,-0.9,0.7,0,-18.2,0.3,7.5,-0.2,-7.4,1.5,0.600000000000001,"Hip.",10,"SF","Cobertura","AFN","NE","Sala","São Paulo"
-0.100000000000001,2.7,0,1,-2.5,5.3,-1.5,2.3,-1.7,0.399999999999999,0,0,425.300000000003,0.9,-0.4,-0.399999999999991,2.3,1.3,"Hip.",10,"SF","Cobertura","AFN","NO","Dorm. 1","São Paulo"
0.100000000000001,2.1,0,0.5,-2.1,3.7,-3.6,-1.5,-1.6,0.100000000000001,0,0,-3572,0.0999999999999996,0.1,-0.299999999999997,2.40000000000001,0.799999999999999,"Hip.",10,"SF","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.799999999999997,5,-0.300000000000001,3.5,2.1,6.4,2,14,-0.9,0.7,0,-18.2,0.3,7.5,-0.2,-7.4,1.5,0.600000000000001,"Hip.",10,"SF","Cobertura","AFN","NO","Sala","São Paulo"
-0.100000000000001,3.2,0,8.5,-0.9,-2.5,-1.9,3.2,-1.4,0.600000000000001,0,0,2939.70000000001,0.9,-1.1,0,2.1,1.1,"Hip.",10,"SF","Cobertura","AFN","SE","Dorm. 1","São Paulo"
0,2.5,0,6,-2.7,-1.9,-1.4,0,-1.2,0.300000000000001,0,0,-453.199999999997,0.199999999999999,-0.7,0.299999999999997,2.09999999999999,0.800000000000001,"Hip.",10,"SF","Cobertura","AFN","SE","Dorm. 2","São Paulo"
-0.799999999999997,4.1,0.100000000000001,8.6,1.7,0.3,1.7,12.3,-0.9,0.5,0,-15.1,0.4,8.5,-0.3,-8.1,1.4,0.600000000000001,"Hip.",10,"SF","Cobertura","AFN","SE","Sala","São Paulo"
-0.100000000000001,3.1,0,8.4,-1.9,-2.4,-1,3.2,-1.4,0.600000000000001,0,0,2871.2,1.1,-0.9,-0.199999999999989,2.1,1.1,"Hip.",10,"SF","Cobertura","AFN","SO","Dorm. 1","São Paulo"
0,2.4,0,6,-1.4,-2,-2.7,-0.100000000000001,-1.2,0.300000000000001,0,0,-489,0.4,-0.7,0.400000000000006,2.2,0.800000000000001,"Hip.",10,"SF","Cobertura","AFN","SO","Dorm. 2","São Paulo"
-0.799999999999997,4.1,0.100000000000001,8.6,1.7,0.3,1.7,12.3,-0.9,0.5,0,-15.1,0.4,8.5,-0.3,-8.1,1.4,0.600000000000001,"Hip.",10,"SF","Cobertura","AFN","SO","Sala","São Paulo"
-0.200000000000003,3.3,-2.4,-2,-1.9,4.6,8.3,8.9,-2,0.699999999999999,-0.1,-7.40000000000001,0.1,1.2,-1.9,0.799999999999997,1.9,2.5,"Hip.",10,"SF","Cobertura","AFN","O","Dorm. N","São Paulo"
-0.100000000000001,2.9,-0.899999999999999,8.7,-0.7,-5.4,3,5.5,-1.5,0.8,0,-6.90000000000001,0.1,1,-2.3,1.3,1.5,2.2,"Hip.",10,"SF","Cobertura","AFN","O","Dorm. S","São Paulo"
-1.6,5.4,0.0999999999999996,2.6,3.9,1.9,9.9,18.4,-1.2,1,0,-24.1,0.4,10.3,-0.2,-10.1,2.59999999999999,0.800000000000001,"Hip.",10,"SF","Cobertura","AFN","O","Sala","São Paulo"
