"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.1,-2.4,-0.1,0.3,0,0.2,-2.9,-2.4,0,2.6,0,2.5,0,0.2,2.1,-2.3,0.3,-0.9,"Hip.","10","TV","Térreo","AFN","L","Dorm. N","Curitiba"
-0.1,-5.7,1.3,0.3,0.4,0.1,-1.7,-0.8,0.2,1.7,0,3.4,-0.1,0.1,2.7,-2.9,0.7,-1,"Hip.","10","TV","Térreo","AFN","L","Dorm. S","Curitiba"
-0.2,0.1,-0.2,1.2,-0.1,-0.1,0.4,1.3,-0.3,0.3,0,-1.7,0,5.9,0.1,-6,1.1,-0.8,"Hip.","10","TV","Térreo","AFN","L","Sala","Curitiba"
-0.1,-0.7,-14.2,-2.9,-2.1,0,0.4,-4.6,0,4.3,0,109.7,89926.8,-0.1,1.5,-1.4,0.4,-2.4,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
-0.1,-0.3,-15.1,-2.9,-0.2,0,-3,-6.1,0.1,4.2,0,117,94456.5,-0.1,2,-1.8,0.3,-2.4,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.2,3,-1.4,0.5,0.5,-0.1,0.1,1,-0.2,0,0,-2.6,0,4.6,0,-4.6,0.4,-0.7,"Hip.","10","TV","Térreo","AFN","NE","Sala","Curitiba"
-0.1,-0.7,-14.3,-2.9,0.2,0,-2.4,-5.2,0,4.2,0,110.3,89847.8,-0.1,1.5,-1.4,0.4,-2.3,"Hip.","10","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
-0.1,-0.2,-15.1,-2.9,-3.1,0,0,-6,0.1,4.3,0,117,94517.4,-0.1,2.1,-1.9,0.3,-2.5,"Hip.","10","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.2,3,-1.4,0.5,0.1,-0.1,0.5,1,-0.2,0,0,-2.6,0,4.6,0,-4.6,0.4,-0.7,"Hip.","10","TV","Térreo","AFN","NO","Sala","Curitiba"
-0.1,-6,-7.7,0.1,-1.9,-3.9,0,-5.5,0.2,3.2,0,93.2,71822,0,1.6,-1.6,0.7,-1.6,"Hip.","10","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
-0.1,-5.7,-8.4,0.2,-0.5,-3.4,-2.4,-6.1,0.2,3.3,0,98.7,75826.2,0,1.3,-1.3,0.8,-2.6,"Hip.","10","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
-0.1,-1.6,0.6,0.4,-0.1,-0.3,0.1,0.3,0.1,0,0,0.4,-0.1,5.1,0.7,-5.8,0.9,-1.1,"Hip.","10","TV","Térreo","AFN","SE","Sala","Curitiba"
-0.1,-6.1,-7.8,0,-0.1,-3.9,-2.4,-6.3,0.2,3.2,0,93.8,71809,0,1.6,-1.6,0.7,-1.9,"Hip.","10","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
-0.1,-5.7,-8.4,0.2,-2.5,-3.4,-0.4,-6.1,0.2,3.3,0,98.7,75892,0,1,-1,0.8,-2,"Hip.","10","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
-0.1,-1.6,0.6,0.4,0.1,-0.3,-0.1,0.2,0.1,0,0,0.5,-0.1,5.1,0.7,-5.8,0.9,-1.1,"Hip.","10","TV","Térreo","AFN","SO","Sala","Curitiba"
-0.1,-2.3,-0.2,0.1,-3.3,0,0,-3.1,0,2.7,0,2.8,-0.1,0.3,2.1,-2.5,0.2,-0.9,"Hip.","10","TV","Térreo","AFN","O","Dorm. N","Curitiba"
-0.1,-5.5,1.3,0.2,-1.9,0,0.3,-1.4,0.1,1.8,0,3.8,-0.1,0.3,2.7,-2.9,0.8,-0.9,"Hip.","10","TV","Térreo","AFN","O","Dorm. S","Curitiba"
-0.4,1.1,-0.6,1.5,0.7,0.3,-0.2,2.2,-0.5,0.6,0,-4.1,0,5.4,0.1,-5.5,1.2,-0.9,"Hip.","10","TV","Térreo","AFN","O","Sala","Curitiba"
-0.1,-1.4,-0.1,0.3,0.2,0.3,-3,-2.4,0.1,3,0,0.5,0,-2.2,0,2.2,-0.1,-0.1,"Hip.","10","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
0.1,-5.3,1.7,0.4,0.6,0.1,-1.8,-0.8,0.1,2.1,0,1.9,0,-2.3,0,2.3,0.6,-0.3,"Hip.","10","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-0.4,1.3,0,1.6,-0.3,0.1,1.1,2.5,-0.5,0.5,0,-5.6,0.1,-1.7,0,1.7,1.3,-0.2,"Hip.","10","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
-0.1,0.3,-15.5,-2.6,-2.4,0.1,0.3,-4.4,0,4.8,0,108.5,90294.5,-18.1,0,18.1,0,-1.9,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
0,0.7,-16.2,-2.6,0.2,0.1,-2.9,-5.2,0,4.8,0,115.2,95251.3,-19.7,0,19.7,-0.1,-1.9,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.3,3.9,-1,0.8,0.8,-0.1,0.3,1.8,-0.3,0.2,0,-4.9,0,0.6,0,-0.6,0.2,0,"Hip.","10","TV","Térreo","AFN","NE","Sala","Rio de Janeiro"
