"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.200000000000003,2,1.3,1,5.4,2.1,-0.0999999999999996,8.4,-0.5,0.8,0,-12,0.2,0.5,-2.2,1.60000000000001,0.300000000000001,1.5,"Hip.",10,"TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.100000000000001,1.5,1.1,4.7,2.5,-1.3,0.5,6.4,-0.4,0.8,0,-9.8,0.2,0.3,-3.8,3.40000000000001,0.0999999999999979,1.3,"Hip.",10,"TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.399999999999999,1.1,0.7,1,5.7,0.600000000000001,0,7.4,-0.7,0.2,0,-7.90000000000001,0.1,4,-1.7,-2.3,0.599999999999994,0.799999999999999,"Hip.",10,"TV","Intermediário","AFN","L","Sala","Curitiba"
-0.200000000000003,1.4,0,1.9,0.300000000000001,2.9,-0.299999999999999,4.7,-0.5,0.600000000000001,0,0.1,6134.70000000001,0.1,-1.7,1.60000000000001,0.399999999999999,0.6,"Hip.",10,"TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.100000000000001,1.3,0,1.5,-0.299999999999997,2.1,0.0999999999999996,3.5,-0.4,0.5,0,0.1,4895.90000000001,0.1,0.2,-0.0999999999999943,0.400000000000002,-0.5,"Hip.",10,"TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.299999999999997,1.2,0.6,1.4,0.9,3.5,0.7,6.6,-0.6,0.2,0,-7.59999999999999,0.1,5.9,-0.2,-5.7,0.399999999999999,0.6,"Hip.",10,"TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.200000000000003,1.4,0,2,-0.100000000000001,2.9,0.0999999999999996,4.7,-0.5,0.600000000000001,0,0.1,6203.39999999999,0.1,-1.6,1.7,0.400000000000002,0.199999999999999,"Hip.",10,"TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.100000000000001,1.3,0,1.5,0.4,2.2,-0.5,3.5,-0.4,0.5,0,0.1,4893.8,0,0.1,0,0.5,-1.5,"Hip.",10,"TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.299999999999997,1.2,0.6,1.4,0.9,3.5,0.7,6.6,-0.6,0.2,0,-7.59999999999999,0.1,5.9,-0.2,-5.7,0.399999999999999,0.6,"Hip.",10,"TV","Intermediário","AFN","NO","Sala","Curitiba"
-0.100000000000001,1.4,0,4.6,0.3,-0.6,-0.200000000000001,4.2,-0.4,0.600000000000001,0,0,5607,0,-2.5,2.5,0.400000000000002,1,"Hip.",10,"TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.100000000000001,1.1,0,3.4,0,-0.300000000000001,0.300000000000001,3.2,-0.4,0.5,0,0,4444.59999999999,0,-2,2,0.300000000000001,-0.299999999999999,"Hip.",10,"TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.200000000000003,1,0.600000000000001,4.6,0.8,-0.5,0.6,5.3,-0.6,0.1,0,-5.9,0.1,3.9,-1.8,-2.10000000000001,0.5,0.6,"Hip.",10,"TV","Intermediário","AFN","SE","Sala","Curitiba"
-0.100000000000001,1.3,0,4.6,0,-0.6,0.0999999999999996,4.2,-0.4,0.6,0,0,5571.2,0,-2.5,2.5,0.300000000000001,1,"Hip.",10,"TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
