"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.6,24.8,10.9,11.5,1.3,5.2,18.5,36.6,-3.2,2.6,0.1,-97.7,4.4,0.4,7.6,92,31.2,13.8,"Hip.","00","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
47.7,12.4,2.7,-7.4,-0.7,9.5,7.4,8.8,-5.1,1.8,0,-85.8,4.1,0.4,11.7,88,30.8,13.4,"Hip.","00","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
50.7,23.1,10.4,4.3,0.9,7,13.4,25.6,-3.7,4.6,0,-75,2.6,20,2.7,77.3,30.8,14.4,"Hip.","00","C10","Intermediário","AFN","L","Sala","Curitiba"
36.1,25.5,12.4,13,9.9,2.7,11.2,36.8,-3.9,2.6,0.1,-125.2,3.7,0.7,3.6,95.7,30.8,16,"Hip.","00","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.9,26.9,13.4,9.8,16.1,1.8,18.1,45.8,-3.8,2.6,0.1,-129.3,3.6,0.9,2,97.1,30.7,16.7,"Hip.","00","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.9,28.1,13.9,7.9,7.3,2.2,8.6,26,-4,4.2,0,-93.7,3.1,24.6,0,75.4,31.1,16.3,"Hip.","00","C10","Intermediário","AFN","NE","Sala","Curitiba"
36.1,25.8,12.6,13.1,11.2,2.8,11,38,-3.9,2.7,0.1,-126.2,3.7,0.8,3.6,95.7,30.9,16,"Hip.","00","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.9,26.8,13.4,9.8,18.1,1.8,16,45.7,-3.8,2.6,0.1,-129.4,3.6,0.9,2,97.1,30.7,16.7,"Hip.","00","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.9,28.1,13.9,7.8,8.6,2.2,7.3,25.9,-4,4.2,0,-93.7,3.1,24.6,0,75.4,31.1,16.3,"Hip.","00","C10","Intermediário","AFN","NO","Sala","Curitiba"
36.5,13.6,6.2,-5.8,6.7,14.2,6.6,21.8,-4.6,1.4,0,-90.6,3,0.1,7.3,92.6,29.5,15.1,"Hip.","00","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.3,14.3,6.9,-4.1,9.4,10.7,10.2,26.1,-4.5,1.5,0,-92.3,2.9,0.1,6,93.8,29.2,15.5,"Hip.","00","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
40.3,14.1,6.8,-4.4,4.7,8.5,4.4,13.2,-4.8,2.5,0,-56.8,2.3,10,2.9,87.1,29.9,15.3,"Hip.","00","C10","Intermediário","AFN","SE","Sala","Curitiba"
36.4,13.9,6.4,-5.7,6.7,14.3,7.8,23.1,-4.6,1.5,0,-91.8,3,0.2,7.2,92.6,29.5,15,"Hip.","00","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.3,14.2,6.9,-4.2,10.1,10.7,9.4,26.1,-4.5,1.5,0,-92.5,2.9,0.1,6,93.9,29.3,15.5,"Hip.","00","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
40.3,14.1,6.8,-4.4,4.4,8.4,4.8,13.1,-4.8,2.5,0,-57,2.3,10,2.9,87.1,29.9,15.2,"Hip.","00","C10","Intermediário","AFN","SO","Sala","Curitiba"
47.3,26.7,11.8,13.4,18.7,5.1,7.4,44.6,-3.3,3,0.1,-110.1,4.6,1.6,7,91.4,32.2,13.9,"Hip.","00","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
