"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.4,18.2,11.7,10.6,6.4,7.4,14.8,39.2,-3.1,2.5,0,-104.9,3.8,0.1,1.9,98,30,16.8,"Hip.","00","TV","Térreo","AFN","L","Dorm. N","Curitiba"
47.5,17.8,3.8,-2.5,2.7,8,7.7,15.9,-5.3,1.9,0,-98.5,3.6,0.1,3.3,96.6,29.1,16.5,"Hip.","00","TV","Térreo","AFN","L","Dorm. S","Curitiba"
50.8,16.9,10.4,4.8,3.9,6.1,10.7,25.5,-4,4.1,0,-79.7,2.8,14.2,0,85.8,29.3,17.2,"Hip.","00","TV","Térreo","AFN","L","Sala","Curitiba"
36.4,17.4,14.4,13.9,11.3,7.4,9.8,42.5,-3.2,2.5,0,-120.1,3.7,0.1,0,99.9,29.7,16.7,"Hip.","00","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.2,16.5,14.8,10.5,14.2,5,16.2,45.9,-3.2,2.4,0,-121.2,3.6,0.1,0,99.9,29.6,16.7,"Hip.","00","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.2,14,15.4,8.6,7.4,5.6,7.8,29.4,-3.4,3.9,0,-88.3,3.1,16.1,0,83.9,29.9,17.9,"Hip.","00","TV","Térreo","AFN","NE","Sala","Curitiba"
36.4,17.3,14.5,14,9.9,7.4,11.6,42.9,-3.2,2.6,0,-120.5,3.7,0.1,0,99.9,29.7,16.7,"Hip.","00","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.2,16.5,14.8,10.5,16.4,5,14,45.9,-3.2,2.4,0,-121.3,3.6,0.1,0,99.9,29.6,16.7,"Hip.","00","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.2,14,15.4,8.6,7.9,5.6,7.3,29.4,-3.4,3.9,0,-88.3,3.1,16.1,0,83.9,30,17.9,"Hip.","00","TV","Térreo","AFN","NO","Sala","Curitiba"
36.5,20.4,7.2,-0.5,8,12.3,6.7,26.6,-4.6,1.6,0,-102,3.4,0,0.1,99.9,28.1,17.3,"Hip.","00","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.4,19.7,7.5,-0.5,9.5,9.3,10.7,29,-4.5,1.6,0,-102.4,3.2,0,0,100,27.9,17.5,"Hip.","00","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.2,16.7,7.3,-0.5,5,7.3,4.8,16.5,-4.9,2.6,0,-62.8,2.5,4.8,0,95.2,28.4,17.4,"Hip.","00","TV","Térreo","AFN","SE","Sala","Curitiba"
36.5,20.4,7.3,-0.4,6.8,12.4,8.4,27.2,-4.6,1.6,0,-102.5,3.4,0,0.1,99.9,28.1,17.3,"Hip.","00","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
36.4,19.7,7.5,-0.5,10.7,9.3,9.5,29,-4.5,1.6,0,-102.5,3.2,0,0,100,27.9,17.3,"Hip.","00","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
40.2,16.6,7.3,-0.5,4.8,7.3,4.9,16.5,-4.9,2.6,0,-62.9,2.5,4.8,0,95.2,28.4,17.4,"Hip.","00","TV","Térreo","AFN","SO","Sala","Curitiba"
47.2,17.9,12.5,11.7,15.3,7.5,10.6,45.2,-3.1,2.7,0.1,-112.5,3.9,0.4,1.8,97.8,30.8,16.7,"Hip.","00","TV","Térreo","AFN","O","Dorm. N","Curitiba"
47.3,17.4,4.6,-2,8.1,9.1,7,22.2,-5.3,2.2,0,-106.8,3.7,0.4,3.1,96.5,30.6,16.5,"Hip.","00","TV","Térreo","AFN","O","Dorm. S","Curitiba"
50,17,14.1,6,12.8,7.2,8.9,34.8,-3.3,5,0,-91.2,2.9,23.7,0,76.3,31.4,17,"Hip.","00","TV","Térreo","AFN","O","Sala","Curitiba"
36.2,22.5,13.9,13.3,13.1,11,18.5,55.9,-1.8,3.1,0,-104.5,5.2,61.4,0,38.6,35.3,20.2,"Hip.","00","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
36,20.1,4.8,0,8.4,9.4,9,26.9,-4.2,2.2,0,-89.2,4.6,56.9,0,43.1,35.9,20.4,"Hip.","00","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
39.8,22.1,13.9,6.7,9.5,8,14.5,38.6,-2.1,5.7,0,-86.6,3.1,88.3,0,11.7,35.6,21.4,"Hip.","00","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
27.2,19,15.9,15.3,12.5,9.7,10.7,48.1,-2.2,2.8,0,-119.1,4.3,69.9,0,30.1,35.5,20.9,"Hip.","00","TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
26.9,17.7,16.1,11.2,15.3,6.5,17.6,50.6,-2.2,2.6,0,-116,4,72.8,0,27.2,35.4,21.2,"Hip.","00","TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
