"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,1.2,1.1,-0.9,25,2.4,5.5,3.5,0,0,0,-0.1,0,12.5,0,-0.1,0.3,-0.8,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
0,-2.2,-1.6,1.4,10,-1,-12.6,-10.3,2,0,NA,1.3,-2.2,0,3.2,-0.6,0,-1.7,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
0,-0.4,-1,0,20,1.4,6.1,3.3,0,-38.8,NA,1.4,0,1.9,4.2,-1.2,0.3,-2.4,"Hip.","01","C10","Cobertura","AFN","L","Sala","Curitiba"
-0.3,4.3,-1.3,19.1,-2.2,-28.6,5.8,7,-2.4,4.2,-100,-4.7,0,21.4,-6,0.1,0.9,0.7,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.3,6.2,1.2,32.7,6,-37.5,5.3,10.8,-2.4,4.2,-100,-5.4,3,27.8,-7,0,1.3,1.4,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.5,7.7,3.3,65,15.7,-15.4,6.2,26.6,-2.4,-25,-100,-5.5,3.3,7,-26.1,-2.4,0.9,0.7,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Curitiba"
-0.3,4.2,-1.2,20.5,5.7,-33.3,-2,7.7,-2.4,4,-100,-4.9,2.9,20,-7.5,0.1,1.3,0,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.3,5.9,0,32.7,4.7,-37.5,6.1,10.6,-2.4,4.2,-100,-5.5,3,27.8,-7,-0.1,1.3,1.4,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.5,7.7,3.3,63.7,6.2,-15.4,15.7,27.2,-2.4,-25,-100,-5.5,3.3,7,-29.2,-2.3,0.9,0.7,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Curitiba"
0,-8.5,-1.3,7.9,1.5,-35.6,-5.6,-22.9,4.2,-6.7,NA,7.6,-6.9,-12.5,13.7,-1.6,0.3,-3.1,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0.3,-7.3,0,8.7,-6,-29.1,-6.3,-14.9,4.2,-6.3,NA,6.8,-3.6,-10,13.6,-1.6,0,-2.2,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.5,-5.3,1.2,8.7,-13.5,-14.6,-4,-11.1,4.1,-42.9,NA,5.2,-4.2,-3.8,10.7,0.1,0.3,-3,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Curitiba"
0,-8.4,-1.3,7.9,-5.6,-34.7,2.6,-21,4.2,-12.5,NA,7.3,-3.4,-11.1,13,-1.6,0.3,-3,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0.3,-7.3,1.3,8.7,-5.5,-29.1,-5,-15.3,4.2,-6.3,NA,6.8,-3.6,0,13.6,-1.5,0,-2.2,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.5,-5.9,2.5,8.7,-4,-13.6,-13.5,-11.1,4.1,-42.9,NA,5.3,-4.2,-3.3,10.7,0.1,0.3,-2.3,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Curitiba"
0,1.5,1.1,2.3,5.4,2.5,1.7,3.4,0,0,-50,-1.5,0,10.5,-1.9,0,0.3,-0.8,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
0,-1.3,-1.5,0,-12.6,0,0,-6.2,0,4.3,NA,0,0,6.7,1.5,-0.4,0.3,-0.8,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
0,2.9,1.7,0,25,2.4,3.2,12.4,3.1,-37.3,-100,-1.1,0,0.9,4.9,-1,0.6,-2.4,"Hip.","01","C10","Cobertura","AFN","O","Sala","Curitiba"
0,1.8,2.1,0.6,1.8,1.9,5.4,3.1,6.3,0,NA,-0.4,0,0,NA,0,0,0.5,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0.3,-1.7,0,3.7,2.2,-0.7,-10.3,-3.6,0,-3.6,NA,1,0,-0.6,NA,0.6,0.3,0,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
0.3,1.2,1.2,0,2.2,1.9,10.1,5,0,-38.7,NA,-1,0,-0.5,NA,2.3,0.5,-1,"Hip.","01","C10","Cobertura","AFN","L","Sala","Rio de Janeiro"
-1.1,4.2,-1,19.3,-3.8,-10.9,5.1,5.9,-6.5,3.6,NA,-4,0,3.9,NA,-8,-0.5,0,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.8,6.4,-0.9,31.5,5.4,-11.1,5.2,9.7,-9.7,7.7,NA,-4.5,0,4.4,NA,-10.7,-0.5,0,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.7,8.4,3.3,61.7,14.5,-4.4,6.2,23.3,-3.2,-23.4,NA,-7.2,3,1.6,NA,-17,-0.5,0,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Rio de Janeiro"
-0.7,4.2,-1.9,18.7,4.3,-9.1,-4.9,5.7,-6.5,3.6,NA,-4,0,3.9,NA,-8,-0.5,0,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.8,6.4,0,31.5,5.2,-11.1,4.8,9.7,-9.7,7.7,NA,-4.6,0,4.4,NA,-10.7,-0.5,0,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.7,8.4,2.5,61.7,6.2,-4.4,14.5,23.3,-3.2,-23.4,NA,-7.1,3,1.6,NA,-17,-0.5,0,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Rio de Janeiro"
1.1,-9.7,-0.9,21.7,2.4,-34.3,-6.1,-18.4,5.7,-11.1,NA,7.7,-2.6,-4.6,NA,6,0.3,-1.6,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
1.1,-8.7,0,16.7,-6.1,-30.5,-7,-14.5,8.3,-5.6,NA,7.4,-5.6,-4.1,NA,5.7,0.3,-1,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
0.3,-7.8,0,25,-14.1,-15.9,-6.6,-11.3,8.1,-44.1,NA,8,-6.7,-3.9,NA,13.3,0.3,-2.1,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Rio de Janeiro"
1.1,-9.7,-0.9,21.7,-6.1,-34.9,1.2,-18.8,5.7,-11.1,NA,7.8,-2.6,-4.4,NA,5.7,0.3,-2.1,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
1.1,-8.7,0,16.7,-6.3,-30.2,-6.1,-14.5,5.7,-5.6,NA,7.4,-5.6,-4.1,NA,5.7,0.3,-1,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
0.6,-7.8,-0.9,25,-4.9,-15.9,-14.1,-11.3,8.1,-44.1,NA,8.1,-6.7,-3.9,NA,13.3,0.3,-2.1,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Rio de Janeiro"
0,1.8,2,0,6,3.4,4,3.5,8.3,0,NA,-0.5,0,0.4,NA,-0.4,-0.3,-0.5,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
0,-1.6,0.9,13.3,-8.9,-0.7,2.9,-2.4,2.9,0,NA,1,0,-0.8,NA,0.8,0,-0.5,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
0.3,0.8,1.2,0,10,1.8,2.7,5.2,8.3,-37.5,NA,-1.2,3.3,-0.7,NA,4.1,0,-1.6,"Hip.","01","C10","Cobertura","AFN","O","Sala","Rio de Janeiro"
-0.2,1.8,2,1.5,3.4,1.5,5.8,3.7,0,3.4,0,-1.2,0,2.3,0,-0.4,0.3,-2.3,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","São Paulo"
0,-1.8,-1.3,0,0,0,-10.1,-4.7,0,0,NA,1.1,0,0.8,7.5,-0.5,0.6,-2.3,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","São Paulo"
0,1.7,0.8,0,3.8,2.3,14.5,7.4,0,-38.3,NA,-1.3,3.7,0,0,-0.2,0.9,-3,"Hip.","01","C10","Cobertura","AFN","L","Sala","São Paulo"
-0.3,4.9,-1.3,25.4,-3.1,-17.6,6.5,8.4,-5.6,4,NA,-5.1,2.6,6.6,6.2,-2.1,0.9,-1.4,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","São Paulo"
-0.6,6.1,-1.2,37.1,5.9,-19,5.8,11.5,-5.6,4.2,NA,-5.5,2.7,6.1,0,-2.2,0.9,-1.3,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.6,8.5,3.5,73.1,16.9,-8.3,7.2,28,-5.4,-24.4,NA,-6.5,3.2,4.3,0,-6.8,0.9,-0.7,"Hip.","01","C10","Cobertura","AFN","NE","Sala","São Paulo"
-0.3,4.5,-1.3,24.6,6.5,-17.6,-4.1,8.2,-5.6,8,-100,-5.1,2.6,6.6,6.2,-2,0.9,-1.4,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","São Paulo"
-0.6,6.1,-1.2,37.1,5.2,-19,5.9,11.5,-5.6,4.2,NA,-5.5,2.7,6.5,0,-2.2,0.9,-1.3,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.6,8.5,3.5,73.1,7.2,-8.3,16.9,28,-5.4,-22.5,NA,-6.4,3.2,4.3,0,-6.5,0.9,-0.7,"Hip.","01","C10","Cobertura","AFN","NO","Sala","São Paulo"
0.6,-8.6,-1.3,8.1,1.3,-33.1,-5.3,-19.3,2.5,-6.3,NA,7,-5.7,-6.9,20.8,0.9,0.3,-3.5,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","São Paulo"
0.6,-7.5,-1.3,7.1,-5.8,-28.3,-6,-13.8,2.5,-6.3,NA,6.7,-3,-6.1,10,1.4,0.6,-2.8,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","São Paulo"
0.3,-6.2,0,10,-10.9,-12,-5.6,-9.9,4.8,-41.4,NA,5.8,-3.8,-2,0,1.6,0.3,-2.8,"Hip.","01","C10","Cobertura","AFN","SE","Sala","São Paulo"
0.6,-9.3,-1.3,8.1,-5.3,-33.8,0,-19.7,2.5,-6.3,NA,7.2,-5.7,-6.9,16.7,1,0.3,-3.5,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","São Paulo"
