"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.7,0.8,0,1.5,1.4,3.8,2.2,0,0,0,-0.6,0,28.6,5.9,-0.4,0.3,-0.7,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-1.4,-5.3,0,0,-1.1,-9.6,-5.5,0,0,NA,0.5,0,20,3.9,-0.3,0.6,-1.4,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.2,1.2,-0.8,0,2.2,1.3,15,6.9,0,-38.5,NA,0.6,0,6.8,150,-2.5,1.3,-1.9,"Hip.","01","TV","Intermediário","AFN","L","Sala","Curitiba"
-0.6,3.3,3.6,20.7,0.9,0,5.3,8.8,-4.8,7.1,-100,-5.5,2.6,66.7,-44.4,-0.5,1.6,-0.6,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.6,3.5,4.1,25,5.4,0,4.8,9.6,-2.4,7.1,-100,-5.5,2.7,75,0,-1.3,1.3,0.6,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.5,5.6,5.9,54.5,12.6,4.2,6.4,22.9,-2.3,-21.7,NA,-5.2,3.1,12.5,NA,-5.7,1.3,0,"Hip.","01","TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,3.2,3.6,20.5,5.3,-1.8,1.7,8.9,-4.8,6.9,-100,-5.5,2.6,75,-33.3,-0.6,1.6,0,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.6,3.5,4.1,25,4.7,0,5.5,9.4,-2.4,7.1,-100,-5.5,2.7,75,0,-1.3,1.6,0.6,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.5,5.6,5.9,56.1,6.3,4.2,14,22.6,-2.3,-23.9,NA,-5.3,3.1,12.8,NA,-5.8,1.3,0,"Hip.","01","TV","Intermediário","AFN","NO","Sala","Curitiba"
0,-6.7,-9.9,-10,-4,-29.2,-7.5,-17.2,4.1,-6.3,NA,6.5,-3.2,50,24,-1.4,1,-4.4,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-4.6,-6.6,0,-6.2,-24.2,-6.5,-12.6,2.1,-6.3,NA,6,-3.3,0,41.7,-1.7,0.7,-3.6,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.3,-3.8,-5.2,0,-11.3,-7.3,-5.9,-7.2,3.9,-42.9,NA,5.7,0,-4.4,175,-0.1,0.7,-4.3,"Hip.","01","TV","Intermediário","AFN","SE","Sala","Curitiba"
0,-6,-9.7,0,-7.4,-28.2,-2.5,-16.4,4.1,-6.3,NA,6.4,-6.3,50,27.1,-1.4,1,-4.3,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,-4.6,-6.6,0,-6.5,-24.2,-6.2,-12.6,2.1,-6.3,NA,5.8,-3.3,0,41.7,-1.7,0.7,-3.6,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.3,-3.8,-6.4,0,-5.9,-7.3,-11.3,-7.7,3.9,-42.9,NA,5.5,0,-3.7,175,-0.2,1,-4.3,"Hip.","01","TV","Intermediário","AFN","SO","Sala","Curitiba"
0,0.7,0.8,1.4,3.7,1.4,1,2,0,3,0,-1.4,0,15,2.1,-0.4,0.3,-0.7,"Hip.","01","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-1.3,-4.4,-4.8,-9.2,0,-1.8,-4.4,0,0,NA,-0.6,0,7.1,2.8,-0.3,0.6,-1.4,"Hip.","01","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.2,3.1,1.9,2.8,29.3,2.2,2.1,13.1,0,-35.5,NA,-1.2,0,1.8,60,-1.2,1.2,-1.9,"Hip.","01","TV","Intermediário","AFN","O","Sala","Curitiba"
0,1.1,0.6,1.2,1.4,1.7,4.4,2.3,0,2.6,NA,-0.7,0,0.3,NA,-0.5,0.3,0,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
0,-1.1,-1.6,0,0,0,-8.2,-2.8,0,0,NA,0.5,0,-0.6,NA,0.6,0.3,1.1,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.3,2,1.2,1.1,1.7,1.9,17.6,7.9,6.7,-37.3,NA,-1.8,0,-0.6,NA,3.6,0.8,-1.5,"Hip.","01","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
-1.1,3,3.3,23.1,0.8,-1.3,4.9,8.9,-6.2,6.5,NA,-5.2,2.3,3.8,NA,-10.9,1.4,-0.5,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-1.1,3.3,4.5,28.7,5.6,-1.8,5.4,10,-6.1,6.7,NA,-5.3,2.5,3.5,NA,-12.2,1.6,0,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1,5.4,5.8,57.4,14.4,2.9,6.5,22.3,-6.2,-21.2,NA,-7.6,2.9,0.5,NA,-10.2,1.6,0,"Hip.","01","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
