"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.4,27.4,12.4,12.6,6.6,7,19.3,45.5,-3.4,2.9,0.1,-108.3,4.6,0.9,5.4,93.8,31.3,15,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
47.6,13.9,3.6,-2.6,1.9,8.8,7.5,15.6,-5.4,2.1,0,-94.9,4.3,0.6,8,91.4,31.1,14.4,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
50.2,25.5,11.7,5.8,4.7,7.7,16.1,34.3,-4,3.2,0,-82.9,2.8,25.1,0.5,74.4,31.5,15.3,"Hip.","01","TV","Intermediário","AFN","L","Sala","Curitiba"
35.8,28.5,14.2,18.1,11.8,5.4,11.9,47.2,-4.4,3,0,-142.3,3.9,2,0.5,97.4,31.8,16.9,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.6,29.6,15.1,14.5,17.6,3.8,19.8,55.8,-4.3,3,0,-145.2,3.8,2.8,0.1,97.1,31.7,17.3,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.3,32.1,16.2,15.3,9.8,5,10,40.2,-4.4,3.6,0,-109.4,3.3,35.1,0,64.9,31.9,17.2,"Hip.","01","TV","Intermediário","AFN","NE","Sala","Curitiba"
35.8,28.7,14.3,18.2,12,5.4,12.3,47.9,-4.4,3.1,0,-142.9,3.9,2.1,0.6,97.3,31.8,17,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.6,29.6,15.1,14.5,20,3.8,17.4,55.7,-4.3,3,0,-145.3,3.8,2.8,0.1,97.1,31.8,17.3,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.3,32.1,16.2,15.3,10.1,5,9.8,40.1,-4.4,3.5,0,-109.5,3.3,35.2,0,64.8,31.9,17.2,"Hip.","01","TV","Intermediário","AFN","NO","Sala","Curitiba"
36.4,13.9,6.4,-1.1,7.2,9.2,6.2,21.6,-4.7,1.5,0,-91,3,0.3,6.2,93.5,30.1,15.3,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.3,14.6,7.1,-0.8,9,7.5,10,25.7,-4.7,1.5,0,-92.2,2.9,0.3,5.1,94.6,29.9,15.9,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
40.1,15.1,7.3,-0.5,4.7,7.6,4.8,16.7,-4.9,1.6,0,-59.7,2.4,13,1.1,85.9,30.5,15.5,"Hip.","01","TV","Intermediário","AFN","SE","Sala","Curitiba"
36.4,14.1,6.5,-1,6.3,9.4,7.8,22.5,-4.7,1.5,0,-91.8,3,0.3,6.1,93.6,30.1,15.4,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.3,14.6,7.1,-0.8,10,7.5,9,25.7,-4.7,1.5,0,-92.4,2.9,0.3,5.1,94.6,29.9,15.9,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
40.1,15.1,7.3,-0.5,4.8,7.6,4.7,16.7,-4.9,1.6,0,-59.9,2.4,13.1,1.1,85.8,30.6,15.5,"Hip.","01","TV","Intermediário","AFN","SO","Sala","Curitiba"
47.1,28.7,13.1,14.2,19.8,7.1,10.3,51.4,-3.5,3.4,0.1,-120.7,4.8,2.3,4.9,92.8,32.1,15.1,"Hip.","01","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
47.3,15.1,4.3,-2.2,7.9,10.4,5.5,21.6,-5.5,2.5,0,-107.8,4.5,1.5,7.3,91.2,32.4,14.6,"Hip.","01","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
49.4,33,15.8,7.4,21.2,9.1,9.7,47.5,-3.3,4,0,-96.4,2.9,33.4,0.8,65.9,33.9,15.3,"Hip.","01","TV","Intermediário","AFN","O","Sala","Curitiba"
37.2,35.5,16.1,16.9,15,12.3,25.9,70.1,-1.6,4,0,-105.4,8.1,58.5,0,41.5,36.9,19.1,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
37.2,17.7,6,0.9,8.8,11.4,10.1,31.2,-3.9,2.7,0,-80.3,6.6,51.7,0,48.3,37.6,19.2,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
39.1,36.1,17.2,8.8,11.8,10.8,23.4,54.8,-1.4,4.7,0,-93.7,3.1,85.7,0,14.3,37.9,19.7,"Hip.","01","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
26.3,30.7,15.6,19.7,12.5,7.8,12.8,52.8,-3.4,3.3,0,-139.1,4.4,77.1,0,22.9,37.3,20,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
25.8,31.6,16.4,15.7,18.8,5.4,21.6,61.5,-3.5,3.2,0,-137.9,4.1,80.6,0,19.4,37.4,20.3,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
29.7,35.4,18.1,17,11.1,7.2,11.4,46.6,-3.4,4.1,0,-124.2,3.5,95.6,0,4.4,37.8,20.8,"Hip.","01","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
26.3,30.6,15.5,19.5,12.8,7.8,12.1,52.2,-3.4,3.3,0,-138.9,4.4,77.1,0,22.9,37.3,20,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
25.8,31.6,16.4,15.7,21.7,5.4,18.7,61.5,-3.5,3.2,0,-137.8,4.1,80.6,0,19.4,37.4,20.3,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
29.7,35.4,18.1,17,11.5,7.2,11,46.6,-3.3,4.1,0,-123.9,3.5,95.6,0,4.4,37.8,20.7,"Hip.","01","TV","Intermediário","AFN","NO","Sala","Rio de Janeiro"
28.1,15.6,8,1.7,8.6,10.7,7,28.1,-3.1,1.7,0,-93.6,3.9,55.4,0,44.6,36.6,19.4,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
27.8,15.7,8.2,1,9.9,8.2,11,30.2,-3.2,1.7,0,-91.4,3.6,56.4,0,43.6,36.5,19.5,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
32.5,16.5,8.7,1.5,5.4,8.5,5.5,20.9,-3.3,1.8,0,-62.9,2.8,73.7,0,26.3,37,19.8,"Hip.","01","TV","Intermediário","AFN","SE","Sala","Rio de Janeiro"
28.1,15.4,7.9,1.7,7,10.6,8.3,27.6,-3.1,1.7,0,-93.4,3.8,55.3,0,44.7,36.6,19.4,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
27.8,15.7,8.2,1,11.1,8.2,9.9,30.2,-3.2,1.7,0,-91.3,3.6,56.4,0,43.6,36.5,19.5,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
32.5,16.6,8.7,1.5,5.5,8.5,5.4,20.9,-3.3,1.8,0,-62.7,2.8,73.7,0,26.3,36.9,19.8,"Hip.","01","TV","Intermediário","AFN","SO","Sala","Rio de Janeiro"
36.9,36,16.8,17.3,26.7,13.2,16.2,73.4,-1.2,4.1,0,-109.5,8.1,59.8,0,40.2,36.4,19,"Hip.","01","TV","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
36.9,18,7,1.9,11,11.9,9.9,34.6,-3.6,2.9,0,-84.1,6.6,53.3,0,46.7,37.5,19.1,"Hip.","01","TV","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
38.7,38.4,18.3,9.2,24.8,11.1,13.5,58.7,-1.2,4.9,0,-98.8,3.1,87.5,0,12.5,38.2,19.5,"Hip.","01","TV","Intermediário","AFN","O","Sala","Rio de Janeiro"
43.7,30.5,13.9,14.5,10.4,8.8,22,55.8,-2.7,3.4,0.1,-100,6.1,16.6,0.9,82.4,34.5,15.4,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","São Paulo"
44.1,17.2,5.4,0,6.5,11.1,9.9,27.5,-4.4,2.7,0,-103.1,6.9,15.7,1.6,82.8,34.1,15.3,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","São Paulo"
45.7,31.5,14.8,7.5,8.6,9.4,20.4,46,-2.8,4.1,0,-86.9,2.9,53.2,0.3,46.5,34.4,15.7,"Hip.","01","TV","Intermediário","AFN","L","Sala","São Paulo"
32.3,28.9,14.6,18.7,12.1,6.1,12.3,49.2,-4,3.1,0,-142.8,4.3,28,0.3,71.7,35.9,16.8,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","São Paulo"
31.9,29.8,15.3,14.9,18,4.2,20.4,57.5,-4.1,3,0,-142.6,4.1,32,0.2,67.8,36,17.4,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","São Paulo"
34.8,32.6,16.6,15.7,10.1,5.6,10.4,41.9,-4.1,3.7,0,-110.9,3.4,67.8,0,32.2,36.4,17.1,"Hip.","01","TV","Intermediário","AFN","NE","Sala","São Paulo"
32.3,28.8,14.5,18.6,12.3,6.1,11.9,48.8,-4,3.2,0,-142.7,4.3,28,0.3,71.8,35.9,16.8,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 1","São Paulo"
32,29.9,15.3,14.9,20.5,4.2,17.9,57.5,-4.1,3,0,-142.5,4.1,32,0.2,67.8,36,17.4,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 2","São Paulo"
34.8,32.6,16.6,15.7,10.5,5.6,10.1,41.9,-4.1,3.7,0,-110.8,3.4,67.8,0,32.2,36.4,17.1,"Hip.","01","TV","Intermediário","AFN","NO","Sala","São Paulo"
33.4,15.3,7.4,0.7,8.1,10.4,6.9,26.1,-3.9,1.7,0,-95.7,3.6,17.8,0.5,81.7,32.8,16.5,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 1","São Paulo"
33.2,15.7,7.8,0.4,9.8,8.1,10.9,29.3,-3.9,1.7,0,-95.3,3.4,19.9,0.3,79.9,32.7,17,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 2","São Paulo"
37.1,16.4,8.1,0.8,5.3,8.4,5.3,19.7,-4.1,1.8,0,-63.5,2.6,41.4,0,58.6,32.9,16.7,"Hip.","01","TV","Intermediário","AFN","SE","Sala","São Paulo"
33.4,15.2,7.3,0.7,6.9,10.3,7.9,25.8,-3.9,1.7,0,-95.7,3.6,17.7,0.5,81.8,32.7,16.4,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 1","São Paulo"
33.2,15.7,7.8,0.4,10.9,8.2,9.8,29.3,-3.9,1.7,0,-95.2,3.4,19.8,0.3,79.9,32.7,17,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 2","São Paulo"
37.1,16.4,8.1,0.8,5.3,8.4,5.2,19.7,-4.1,1.8,0,-63.4,2.5,41.3,0,58.6,32.9,16.7,"Hip.","01","TV","Intermediário","AFN","SO","Sala","São Paulo"
43.5,31.1,14.3,15,22.7,9.5,11.8,58.9,-2.4,3.5,0.1,-104.1,6.2,18.3,0.8,80.9,34.4,15.4,"Hip.","01","TV","Intermediário","AFN","O","Dorm. N","São Paulo"
43.9,17.7,6.1,0.9,10.7,11.7,7.9,31.1,-4.2,2.8,0,-108.7,7,17.5,1.4,81,33.7,15.2,"Hip.","01","TV","Intermediário","AFN","O","Dorm. S","São Paulo"
45.4,33.5,16.1,7.9,21.9,9.9,10.4,50.1,-2.4,4.3,0,-91.1,2.9,56.2,0.3,43.5,35.1,15.6,"Hip.","01","TV","Intermediário","AFN","O","Sala","São Paulo"
