"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.7,0,0.8,1.7,0,3.3,1.6,0,0,0,-0.3,0,7.7,-1.2,0,0,0,"Hip.","01","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
0,-1.3,-1.5,-5.6,0,-1,-5,-3.4,0,0,NA,0.6,-2.1,0,1.7,-0.3,0,-0.8,"Hip.","01","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.2,0.4,-0.9,0,0,0,12.1,5,0,-38.2,NA,0.8,-3.6,2,2.9,-1.1,0.6,-0.7,"Hip.","01","TV","Cobertura","AFN","L","Sala","Curitiba"
-0.3,3.9,0,13.8,0.9,0,3.8,6.2,-4.5,3.8,-100,-3.8,0,19,-7,0,0.9,0.7,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.3,4.1,1.2,19.8,4.6,0,4,7.5,-2.3,3.8,-100,-3.9,0,23.1,-8.2,-0.2,0.9,1.3,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.3,6.1,3.3,46.3,11.1,2.5,5.7,19.5,-2.2,-25,NA,-4.5,3.2,6.6,-71.4,-3,1.2,1.4,"Hip.","01","TV","Cobertura","AFN","NE","Sala","Curitiba"
-0.3,3.5,0,15.2,3.8,-2.3,0.9,6.4,-4.5,3.7,-100,-3.9,2.9,18.2,-7,0,1.2,0.7,"Hip.","01","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.3,4.1,0,19.8,3.4,0,4.6,7.5,-2.3,8,-100,-3.9,0,23.1,-8.2,-0.2,0.9,1.3,"Hip.","01","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.3,6.1,3.3,46.3,5.7,2.5,11.3,19.5,-2.2,-25.6,NA,-4.6,3.2,6.6,-71.4,-3,1.2,1.4,"Hip.","01","TV","Cobertura","AFN","NO","Sala","Curitiba"
0,-6.4,-1.4,-9.1,-2.6,-23.1,-4.2,-13.2,2,-5.9,NA,5.2,-3.3,0,9.4,-1,0,-1.5,"Hip.","01","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0.3,-4.9,0,11.1,-3.9,-19.6,-4.3,-9,2,-5.9,NA,4.6,-3.4,0,10.6,-0.9,0.3,-0.7,"Hip.","01","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-4.1,0,20,-7,-1.2,-3.6,-2.6,1.9,-40,NA,3.7,-4,-2.4,6.8,0.1,0.3,-1.4,"Hip.","01","TV","Cobertura","AFN","SE","Sala","Curitiba"
0,-5.7,-1.4,0,-4.2,-23,-1.2,-12.9,2,-5.9,NA,5,-3.3,-7.1,9.5,-0.9,0,-1.5,"Hip.","01","TV","Cobertura","AFN","SO","Dorm. 1","Curitiba"
