"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.5,27.5,9.6,12.5,5.9,6.2,18.6,43.2,-3.6,2.9,0.1,-100.7,4.9,1.4,8.5,90.1,32.4,13.1,"Hip.","01","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
47.6,15.1,6.4,-1.9,2.4,9.6,9.6,19.7,-5.4,2.3,0,-92.3,4.6,1.1,12.1,86.7,32.6,12.7,"Hip.","01","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
49.9,26.8,10.6,6.4,4.6,7.8,16.7,35.4,-4,3.4,0,-85,2.7,30.8,3.6,65.6,32.8,13.3,"Hip.","01","TV","Cobertura","AFN","L","Sala","Curitiba"
35.8,29.1,8,16.5,11,4.3,10.8,42.6,-4.6,2.7,0,-127.3,3.5,2.5,5.3,92.2,32.4,14.6,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
35.6,30.5,8.4,13.3,16,3,18.1,50.3,-4.5,2.7,0,-129.4,3.4,3.2,4.5,92.3,32.4,15.2,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.2,33.1,9.5,13.9,9,4.1,9.2,36.2,-4.6,3.3,0,-104.5,3.2,39,0.2,60.8,32.4,14.8,"Hip.","01","TV","Cobertura","AFN","NE","Sala","Curitiba"
35.8,29.2,8,16.7,10.9,4.3,11.3,43.2,-4.6,2.8,0,-127.9,3.6,2.6,5.3,92.1,32.5,14.6,"Hip.","01","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
35.6,30.5,8.3,13.3,18.2,3,15.8,50.2,-4.5,2.7,0,-129.4,3.4,3.2,4.5,92.3,32.4,15.2,"Hip.","01","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.2,33.1,9.5,13.9,9.3,4.1,8.9,36.2,-4.6,3.2,0,-104.6,3.2,39,0.2,60.8,32.4,14.8,"Hip.","01","TV","Cobertura","AFN","NO","Sala","Curitiba"
36.2,14.6,7.3,-1.2,7.6,10.3,6.8,23.6,-5,1.6,0,-91.6,2.9,1.3,10.5,88.2,32.1,13.5,"Hip.","01","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.1,15.4,7.5,-0.8,9.8,8.2,11,28.2,-5,1.6,0,-92.3,2.8,1.6,9.4,89,32.1,14,"Hip.","01","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39.6,16.2,8.2,-0.4,5.3,8.5,5.4,18.9,-5.1,1.8,0,-67.5,2.4,24,4.7,71.2,32.4,13.6,"Hip.","01","TV","Cobertura","AFN","SE","Sala","Curitiba"
36.2,14.8,7.3,-1.1,6.9,10.4,8.1,24.2,-5,1.6,0,-92.3,2.9,1.3,10.4,88.3,32.1,13.5,"Hip.","01","TV","Cobertura","AFN","SO","Dorm. 1","Curitiba"
36.1,15.4,7.5,-0.9,11,8.2,9.8,28.2,-5,1.6,0,-92.4,2.8,1.6,9.4,89.1,32.1,14,"Hip.","01","TV","Cobertura","AFN","SO","Dorm. 2","Curitiba"
39.6,16.3,8.2,-0.4,5.4,8.5,5.3,18.9,-5.1,1.8,0,-67.6,2.4,24,4.7,71.3,32.4,13.6,"Hip.","01","TV","Cobertura","AFN","SO","Sala","Curitiba"
47.3,28.9,9.7,13.7,19.1,6.3,9.4,48.5,-3.6,3.2,0.1,-110.1,5.1,2.7,7.9,89.4,33.4,13.2,"Hip.","01","TV","Cobertura","AFN","O","Dorm. N","Curitiba"
47.4,16.5,6.6,-1.5,9.9,10.9,5.8,25.1,-5.5,2.6,0,-102.1,4.8,2,10.9,87.1,33.9,12.8,"Hip.","01","TV","Cobertura","AFN","O","Dorm. S","Curitiba"
49.2,33.8,12.1,7.7,21,9.1,9.3,47,-3.4,4,0,-97,2.8,36.1,3.2,60.8,34.8,13.3,"Hip.","01","TV","Cobertura","AFN","O","Sala","Curitiba"
37.9,36,15.4,17.3,14.8,12.1,25.9,70.2,-1.6,4,0,-100.5,9.6,53.7,0,46.3,38,18.6,"Hip.","01","TV","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
37.8,19.6,11.3,2,9.8,12.9,13.4,38.1,-3.8,3,0,-79.9,7.8,49.3,0,50.7,38.7,18.8,"Hip.","01","TV","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
38.8,37.5,17.2,9.7,12,11.3,24.6,57.6,-1.4,5,0,-96.4,3.1,84.9,0,15.1,38.7,19,"Hip.","01","TV","Cobertura","AFN","L","Sala","Rio de Janeiro"
26.5,32.1,10.6,18.6,11.9,7,12,49.6,-3.6,3.1,0,-128.1,4.2,71.4,0,28.6,37,19.4,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
26.1,33.5,10.9,14.8,17.6,4.8,20.4,57.7,-3.6,2.9,0,-127.1,3.9,74.7,0,25.3,37,19.6,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
29.6,37.3,12.6,15.9,10.5,6.5,10.8,43.7,-3.5,3.9,0,-121.7,3.5,94,0,6,37.4,19.9,"Hip.","01","TV","Cobertura","AFN","NE","Sala","Rio de Janeiro"
26.5,31.9,10.6,18.5,12,7,11.6,49.2,-3.6,3.1,0,-128,4.2,71.4,0,28.6,36.9,19.4,"Hip.","01","TV","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
26.1,33.5,10.9,14.8,20.5,4.9,17.5,57.7,-3.6,2.9,0,-127.1,3.9,74.7,0,25.3,37,19.6,"Hip.","01","TV","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
29.7,37.3,12.6,15.9,10.9,6.5,10.4,43.7,-3.5,3.8,0,-121.5,3.5,93.9,0,6.1,37.3,19.9,"Hip.","01","TV","Cobertura","AFN","NO","Sala","Rio de Janeiro"
27.9,15.8,10.7,1.5,9,12,7.8,30.3,-3.6,1.8,0,-94.6,3.8,55.6,0,44.4,38.1,18.9,"Hip.","01","TV","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
27.6,16.3,10.8,0.9,11,9.4,12.5,33.8,-3.6,1.8,0,-92.9,3.5,57,0,43,38.1,19.1,"Hip.","01","TV","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
31.7,17.4,11.7,1.5,6.3,9.8,6.4,24.1,-3.7,2.1,0,-74.9,2.9,78.1,0,21.9,38.4,19.1,"Hip.","01","TV","Cobertura","AFN","SE","Sala","Rio de Janeiro"
27.9,15.6,10.7,1.5,7.8,11.9,8.7,29.9,-3.6,1.8,0,-94.5,3.8,55.5,0,44.5,38.1,19,"Hip.","01","TV","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
27.6,16.3,10.8,0.9,12.6,9.4,11,33.8,-3.6,1.8,0,-92.9,3.5,57,0,43,38.1,19.1,"Hip.","01","TV","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
31.7,17.4,11.7,1.5,6.4,9.8,6.3,24.1,-3.7,2.1,0,-74.7,2.9,78.1,0,21.9,38.4,19.1,"Hip.","01","TV","Cobertura","AFN","SO","Sala","Rio de Janeiro"
37.7,36.4,15.8,17.7,26.7,12.9,15.7,73,-1.2,4.2,0,-103.4,9.6,54.6,0,45.4,38.1,18.5,"Hip.","01","TV","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
37.6,19.8,11.9,2.9,14.2,13.4,10.7,41.2,-3.5,3.2,0,-82.7,7.8,50.2,0,49.8,39,18.7,"Hip.","01","TV","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
38.4,39.5,17.9,10.1,26.1,11.7,13.7,61.6,-1.2,5.3,0,-102,3.1,86.5,0,13.5,39.4,18.9,"Hip.","01","TV","Cobertura","AFN","O","Sala","Rio de Janeiro"
44.2,30.8,10.5,14.2,9.9,8.3,21.1,53.5,-2.8,3.3,0.1,-92.9,6.9,14.9,2.3,82.8,35,13.6,"Hip.","01","TV","Cobertura","AFN","L","Dorm. N","São Paulo"
44.4,18.4,7.9,0.7,6.9,11.6,11.9,31.1,-4.3,2.7,0,-98.4,7.6,15,2.9,82.1,34.6,13.5,"Hip.","01","TV","Cobertura","AFN","L","Dorm. S","São Paulo"
45.5,32.6,12.4,7.8,8.4,9.4,20.4,46.1,-2.7,4.1,0,-87.2,2.9,53.8,0.5,45.7,34.8,13.7,"Hip.","01","TV","Cobertura","AFN","L","Sala","São Paulo"
32.5,30.2,7.7,17,11.2,5.2,11.1,44.6,-4.1,2.8,0,-127.5,4,26.5,1.3,72.3,35,14.7,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 1","São Paulo"
32.2,31.5,7.9,13.5,16.2,3.6,18.5,51.9,-4.1,2.7,0,-127.6,3.8,29.9,0.9,69.3,34.9,15.1,"Hip.","01","TV","Cobertura","AFN","NE","Dorm. 2","São Paulo"
34.9,34.3,9.1,14.2,9.2,4.8,9.5,37.7,-4.1,3.4,0,-105.7,3.3,65.8,0.3,33.9,35.2,14.7,"Hip.","01","TV","Cobertura","AFN","NE","Sala","São Paulo"
