"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.5,17.2,9.4,9.9,3.3,7.6,14.1,34.8,-3,2.2,0,-98,3.7,0,4.6,95.3,29.9,15.9,"Hip.","02","C10","Térreo","AFN","L","Dorm. N","Curitiba"
47.6,16.9,4.8,-6.4,1.8,8.7,7.6,11.7,-5,1.8,0,-92.2,3.5,0,6.1,93.9,29,15.6,"Hip.","02","C10","Térreo","AFN","L","Dorm. S","Curitiba"
51.1,16,8.6,4,1.8,5.7,9.8,21.3,-3.8,3.7,0,-74.1,2.7,11.8,0,88.1,29,16.6,"Hip.","02","C10","Térreo","AFN","L","Sala","Curitiba"
36.4,16.8,10.9,12.5,10.5,7.5,9.5,40,-2.9,2.2,0,-113.4,3.6,0,0.3,99.6,29.1,17.3,"Hip.","02","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.3,16,11.1,9.3,13.5,5.1,15.3,43.2,-2.9,2.2,0,-115,3.5,0,0.1,99.9,28.8,16.9,"Hip.","02","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.6,13.5,10.7,7,6.3,5.2,6.9,25.5,-3.1,3.5,0,-78.7,2.9,9.5,0,90.5,29.2,17.5,"Hip.","02","C10","Térreo","AFN","NE","Sala","Curitiba"
36.4,16.8,11,12.6,9.5,7.6,11.3,41,-2.9,2.3,0,-114.1,3.6,0,0.3,99.6,29.1,17.3,"Hip.","02","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.3,16,11.1,9.3,15.3,5.1,13.3,43.1,-2.9,2.2,0,-115.1,3.5,0,0.1,99.9,28.8,16.9,"Hip.","02","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.6,13.4,10.7,7,6.9,5.2,6.3,25.4,-3.1,3.5,0,-78.7,2.9,9.4,0,90.6,29.2,17.5,"Hip.","02","C10","Térreo","AFN","NO","Sala","Curitiba"
36.6,19.2,7.6,-4.1,8,13,7,23.8,-4.3,1.6,0,-98.2,3.3,0,1.4,98.6,27.6,16.8,"Hip.","02","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.5,18.5,8,-3,9.8,9.7,10.9,27.4,-4.2,1.6,0,-99.5,3.2,0,0.4,99.6,27.3,17.2,"Hip.","02","C10","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.4,15.7,7.3,-3.4,4.7,7.3,4.6,13.1,-4.5,2.5,0,-59.3,2.4,3.6,0,96.4,27.8,17,"Hip.","02","C10","Térreo","AFN","SE","Sala","Curitiba"
36.6,19.2,7.7,-4.1,7,13,8.8,24.7,-4.3,1.6,0,-98.9,3.3,0,1.4,98.6,27.6,16.8,"Hip.","02","C10","Térreo","AFN","SO","Dorm. 1","Curitiba"
36.5,18.5,8,-3,10.9,9.7,9.8,27.4,-4.2,1.6,0,-99.6,3.2,0,0.3,99.7,27.3,17.2,"Hip.","02","C10","Térreo","AFN","SO","Dorm. 2","Curitiba"
40.4,15.6,7.2,-3.4,4.6,7.3,4.7,13.1,-4.5,2.5,0,-59.3,2.4,3.6,0,96.4,27.8,17,"Hip.","02","C10","Térreo","AFN","SO","Sala","Curitiba"
47.3,16.8,10.1,11.2,14.3,7.4,10.2,43.1,-3,2.5,0.1,-106.1,3.8,0.3,4.3,95.4,30.9,16,"Hip.","02","C10","Térreo","AFN","O","Dorm. N","Curitiba"
47.4,16.4,5.4,-6.2,7.7,10.1,8.9,20.4,-5,2,0,-101,3.6,0.3,5.5,94.2,30.8,15.7,"Hip.","02","C10","Térreo","AFN","O","Dorm. S","Curitiba"
50.3,16,10.6,4.8,11,6.6,8.4,30.9,-3.1,4.5,0,-85.7,2.9,20.3,0,79.6,30.9,16.4,"Hip.","02","C10","Térreo","AFN","O","Sala","Curitiba"
36.3,21.3,12.1,12.9,12.8,12,18,55.7,-1.8,2.9,0,-103.3,5.2,60.1,0,39.9,35.4,20.1,"Hip.","02","C10","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
36.1,19.1,6.3,-3.2,10.6,10.5,9,27,-4,2.1,0,-88.2,4.5,55.9,0,44.1,36,20.3,"Hip.","02","C10","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
40.1,20.9,12.1,5.9,9.7,7.8,13.5,36.8,-2,5.3,0,-82.5,3.1,86.9,0,13.1,35.3,21.5,"Hip.","02","C10","Térreo","AFN","L","Sala","Rio de Janeiro"
27.4,18.9,12.3,14.3,12.1,11,10.5,47.8,-1.9,2.6,0,-116,4.2,67.9,0,32.1,34.7,21.1,"Hip.","02","C10","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
27.1,17.6,12.3,10.3,14.6,7.4,16.8,49.2,-1.9,2.4,0,-112.9,3.9,71,0,29,34.5,21.5,"Hip.","02","C10","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
31.5,15.5,12.2,8.2,7.4,8.2,8.1,31.8,-2.1,4.1,0,-87.1,3.2,92.5,0,7.5,34.6,22.2,"Hip.","02","C10","Térreo","AFN","NE","Sala","Rio de Janeiro"
27.4,18.9,12.3,14.3,10.5,11,12.1,47.9,-1.9,2.6,0,-116.2,4.2,68.1,0,31.9,34.7,21.1,"Hip.","02","C10","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
