"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,4,0,1.7,15.4,0,2.2,2.2,0,0,0,-1.6,2.3,0,-3.9,0.3,0,0.7,"Hip.","02","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-5.6,44.4,2.7,28.6,4.2,6.8,14.8,0,5.6,NA,-1.9,2.4,0,-6,0.7,-0.3,1.5,"Hip.","02","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
0,2.6,5.8,2.3,22.2,1.4,4.5,3.9,-2.7,2.2,NA,-1.6,3.8,1.5,-14.8,0.1,0,1.4,"Hip.","02","C10","Intermediário","AFN","L","Sala","Curitiba"
0,7.8,-1.6,4.6,1,0,2.7,2.7,0,0,0,-2.8,0,14.3,-11.1,0.3,0,1.2,"Hip.","02","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
0,7.8,1.5,5.1,3.1,0,2.8,3.1,-2.6,3.8,0,-3.1,0,11.1,-35,0.6,0,0.6,"Hip.","02","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.3,9.6,-0.7,3.8,2.7,0,2.3,2.7,-2.5,2.4,NA,-2.3,0,0.8,Inf,-0.4,0,1.8,"Hip.","02","C10","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,7.8,-1.6,4.6,2.7,-3.6,0.9,2.6,0,0,0,-2.9,0,0,-8.3,0.2,0,1.2,"Hip.","02","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
0,7.8,0.7,5.1,2.8,-5.6,2.5,3.1,-2.6,0,0,-3,0,11.1,-35,0.6,0,1.2,"Hip.","02","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.3,9.3,-0.7,5.1,2.3,0,2.7,2.7,-2.5,2.4,NA,-2.5,0,0.8,Inf,-0.4,0,1.8,"Hip.","02","C10","Intermediário","AFN","NO","Sala","Curitiba"
-0.3,-0.7,14.5,5.2,3,4.9,6.1,6.4,0,7.1,NA,-3.1,3.3,0,-6.8,0.4,-0.3,1.3,"Hip.","02","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,0.7,13,4.9,5.3,5.6,4.9,7.3,0,6.7,NA,-3.4,3.4,0,-11.7,0.9,-0.3,1.9,"Hip.","02","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.2,1.4,11.8,4.5,6.4,4.7,6.8,9.1,0,8,NA,-3.3,0,1,-31,0.9,-0.3,1.3,"Hip.","02","C10","Intermediário","AFN","SE","Sala","Curitiba"
0,-0.7,14.1,3.5,4.5,4.9,2.6,6.1,0,0,NA,-2.9,3.3,-50,-6.9,0.6,-0.3,1.3,"Hip.","02","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,1.4,13,7.1,5.9,5.6,5.3,6.9,0,6.7,NA,-3.4,3.4,0,-11.7,0.6,-0.7,1.9,"Hip.","02","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
