"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,4.1,1.1,0.9,25,2.4,2.2,2,0,0,0,0.3,0,37.5,6.1,-1.3,0.9,-3.3,"Hip.","02","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.2,-0.7,0,1.4,10,1,0,3.4,2,0,NA,-0.4,0,14.3,5.8,-1.2,0.9,-3.3,"Hip.","02","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
0,1.2,1,2,40,1.4,0.7,1.5,0,2,NA,-1.3,0,4.5,8.3,-2.5,0.9,-3.9,"Hip.","02","C10","Cobertura","AFN","L","Sala","Curitiba"
-0.3,2.7,1.3,0,1.1,7.1,1,0.9,0,0,0,-0.2,0,35.7,13.4,-1.5,0.9,-5.1,"Hip.","02","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0,0,0,0,0.7,12.5,0.6,0.7,0,0,0,0.4,0,38.9,14,-1.6,1.3,-6.9,"Hip.","02","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.3,1,1.1,0,1.4,7.7,1.2,1.2,2.4,0,0,-1.9,0,6.6,34.8,-4.4,0.9,-6.4,"Hip.","02","C10","Cobertura","AFN","NE","Sala","Curitiba"
-0.3,2.3,1.2,-0.8,0,0,1,0.6,0,0,0,-0.2,0,33.3,11.9,-1.5,1.3,-5.8,"Hip.","02","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.3,0,0,0,0.6,12.5,0.7,0.5,0,0,0,0.4,0,38.9,14,-1.6,1.3,-6.9,"Hip.","02","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.3,1,1.1,0,1.2,7.7,1.4,1.2,0,0,0,-1.8,0,7,29.2,-4.2,1.3,-6.4,"Hip.","02","C10","Cobertura","AFN","NO","Sala","Curitiba"
-0.3,3.5,1.3,4.8,1.5,2.1,2.8,3.6,2.1,6.7,NA,-1.8,0,62.5,12,-2.1,1.6,-5.3,"Hip.","02","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,2.7,1.3,6.5,2,1.8,1.8,3.3,2.1,0,NA,-1.8,0,70,13.6,-2.4,1.6,-7.4,"Hip.","02","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0,2,1.2,4.3,1.9,1.1,2,3.5,0,0,NA,-1.6,-4.2,7.5,17.9,-3.6,1.3,-6.8,"Hip.","02","C10","Cobertura","AFN","SE","Sala","Curitiba"
-0.3,3.5,1.3,4.8,1.4,1.4,1.3,3.4,2.1,0,NA,-1.8,0,55.6,11.3,-2.1,1.6,-6.1,"Hip.","02","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
-0.3,2.7,2.6,6.5,1.8,1.8,2,2.9,2.1,0,NA,-1.7,0,70,13.6,-2.4,1.6,-7.4,"Hip.","02","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0,1.3,2.5,4.3,2,1.1,1.9,3.5,0,0,NA,-1.3,-4.2,7.5,16.1,-3.6,1.3,-6.8,"Hip.","02","C10","Cobertura","AFN","SO","Sala","Curitiba"
-0.2,2.3,1.1,1.5,1.6,2.5,1.7,1.9,0,0,0,0.5,0,21.1,6.8,-1.3,0.9,-4,"Hip.","02","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
0,-3.3,0,1.4,1.1,0.8,2.1,1.6,0,4.3,NA,0.2,0,13.3,6.7,-1.3,0.9,-3.3,"Hip.","02","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.2,4.2,0.9,0,1.2,2.4,1.6,1.6,3.1,1.7,0,-2.4,0,3.3,12.2,-2.6,1.7,-4.7,"Hip.","02","C10","Cobertura","AFN","O","Sala","Curitiba"
0,3,0,1.2,-1.8,0,1.5,0.6,0,0,NA,0,0,0.2,NA,-0.2,0.5,0,"Hip.","02","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0,-1.1,-0.9,0,-2.2,0.7,1.5,0.3,-2.8,0,NA,-0.8,0,0.6,NA,-0.6,0.8,-0.5,"Hip.","02","C10","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-0.3,3.7,0.6,1.2,-1.1,1.9,2.3,1.4,-7.7,1.3,NA,-2.3,0,-0.2,NA,1.2,1,-0.5,"Hip.","02","C10","Cobertura","AFN","L","Sala","Rio de Janeiro"
-0.4,4.9,0,2,1,-1.8,1.7,1.4,-3.2,0,NA,-0.8,0,-0.6,NA,1.2,1.1,-0.5,"Hip.","02","C10","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
0,2.3,0,2.7,1.2,-2.8,1.6,1.6,-3.2,3.8,NA,-0.7,0,-1.1,NA,2.8,1.4,-0.5,"Hip.","02","C10","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.7,4,0.8,3.2,2.4,0,2.1,2.2,0,2.1,NA,-3.1,0,-0.3,NA,3.4,1.1,-1.5,"Hip.","02","C10","Cobertura","AFN","NE","Sala","Rio de Janeiro"
0,4.9,0,2.7,1.7,-1.8,1,1.4,-3.2,0,NA,-0.8,0,-0.7,NA,1.5,1.1,-0.5,"Hip.","02","C10","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
0,2.3,0,2.7,2.1,0,1.2,1.6,-3.2,3.8,NA,-0.7,0,-1.1,NA,2.8,1.4,-0.5,"Hip.","02","C10","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.7,4,0,3.2,1,0,2.4,2.2,0,2.1,NA,-3.2,0,-0.3,NA,3.4,1.1,-1.5,"Hip.","02","C10","Cobertura","AFN","NO","Sala","Rio de Janeiro"
-0.4,5.8,0,0,1.2,2.9,2.4,2.2,-2.9,0,NA,-2,0,0.4,NA,-0.5,1.1,-0.5,"Hip.","02","C10","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
-0.4,6.2,0,0,2.6,3.1,2.3,2.8,0,0,NA,-2.1,0,0.3,NA,-0.5,1.1,-1,"Hip.","02","C10","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.3,6.6,0.9,5,3.1,2.8,3.3,3.3,0,2.9,NA,-2.7,0,-0.4,NA,1.3,1.1,-1.5,"Hip.","02","C10","Cobertura","AFN","SE","Sala","Rio de Janeiro"
-0.4,6.5,0,4.3,2.4,2.9,0,2.5,0,0,NA,-2,0,0.4,NA,-0.5,1.1,-0.5,"Hip.","02","C10","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
-0.4,6.2,0,0,2.3,2.3,2.6,2.8,-2.9,0,NA,-2.1,0,0.3,NA,-0.5,1.1,-1,"Hip.","02","C10","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.3,6.6,0,5,3.3,2.8,3.1,3.3,0,2.9,NA,-2.6,0,-0.4,NA,1.3,1.1,-1.5,"Hip.","02","C10","Cobertura","AFN","SO","Sala","Rio de Janeiro"
-0.3,2.9,0,1.1,1.9,0,-0.8,0.9,-8.3,0,NA,-0.1,0,0.2,NA,-0.2,0.5,-1.1,"Hip.","02","C10","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
-0.3,-0.5,0,0,2.1,1.4,-1,1.1,-2.9,3.4,NA,-0.7,0,0.4,NA,-0.4,0.8,-1.1,"Hip.","02","C10","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
-0.5,5.6,0.6,1.1,2.2,1.8,0,1.7,0,2.5,NA,-3.3,0,0,NA,0,1.5,-0.5,"Hip.","02","C10","Cobertura","AFN","O","Sala","Rio de Janeiro"
-0.2,1.1,0,0.7,1.7,1.5,0.5,0.6,0,0,0,0.9,0,3.8,10,-1,0.6,-3.8,"Hip.","02","C10","Cobertura","AFN","L","Dorm. N","São Paulo"
-0.2,-4.2,0,2.5,0,0,0,0.4,0,0,NA,1.2,0,4.6,17.5,-1.4,0.3,-3.8,"Hip.","02","C10","Cobertura","AFN","L","Dorm. S","São Paulo"
0,-0.3,0,0,1.9,1.1,-0.6,0,0,0,NA,-0.6,0,0.2,16.7,-0.6,0.6,-3.7,"Hip.","02","C10","Cobertura","AFN","L","Sala","São Paulo"
0,0.4,0,-1.5,0,0,0,0,0,0,NA,1.1,0,4.8,25,-2,0.9,-4.9,"Hip.","02","C10","Cobertura","AFN","NE","Dorm. 1","São Paulo"
0,-2.9,0,-2.1,0,4.8,0,-0.2,0,0,NA,1.3,0,3.8,30.8,-1.8,0.9,-6,"Hip.","02","C10","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.3,-1,1.2,-1.3,1.4,8.3,1.2,0.4,0,0,NA,-1.2,0,0.7,100,-1.5,0.9,-5.5,"Hip.","02","C10","Cobertura","AFN","NE","Sala","São Paulo"
0,0,1.3,-1.5,0,2.9,0,-0.3,0,0,-100,1,0,4.8,25,-2,0.9,-4.9,"Hip.","02","C10","Cobertura","AFN","NO","Dorm. 1","São Paulo"
0,-2.9,0,-2.1,0,4.8,-0.7,-0.2,0,0,NA,1.4,0,4.2,30.8,-1.8,0.9,-6,"Hip.","02","C10","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.3,-1,1.2,-1.3,1.2,8.3,0,0.4,0,2.5,NA,-1.2,0,0.5,100,-1.5,0.9,-5.5,"Hip.","02","C10","Cobertura","AFN","NO","Sala","São Paulo"
0,-0.7,0,5.4,0,-0.7,0,0.8,0,0,NA,-0.2,0,6.9,29.2,-2.7,0.6,-5.7,"Hip.","02","C10","Cobertura","AFN","SE","Dorm. 1","São Paulo"
0,-1.3,0,3.6,1,-0.9,0,0.3,0,0,NA,0.1,0,5.6,20,-2.1,0.6,-5.5,"Hip.","02","C10","Cobertura","AFN","SE","Dorm. 2","São Paulo"
-0.3,-1.9,0,6.7,0,-1.1,0,0.6,0,0,NA,-0.3,0,0.7,33.3,-0.9,0.6,-5.6,"Hip.","02","C10","Cobertura","AFN","SE","Sala","São Paulo"
0,-0.7,0,5.4,0,-0.7,0,0.4,0,0,NA,-0.1,0,7.4,29.2,-2.8,0.6,-5.7,"Hip.","02","C10","Cobertura","AFN","SO","Dorm. 1","São Paulo"
0,-1.3,0,7.1,0,-0.9,1,0.7,0,0,NA,-0.1,0,5.6,20,-2.1,0.6,-5.5,"Hip.","02","C10","Cobertura","AFN","SO","Dorm. 2","São Paulo"
-0.3,-1.9,0,6.7,0,-1.1,0,0.6,0,0,NA,-0.3,0,0.7,33.3,-0.9,0.9,-5.6,"Hip.","02","C10","Cobertura","AFN","SO","Sala","São Paulo"
0,0.3,1,0.7,0.9,1.4,1.3,1,0,0,0,0.8,0,3.5,10.3,-0.8,0.9,-3.8,"Hip.","02","C10","Cobertura","AFN","O","Dorm. N","São Paulo"
0,-4,0,6.5,0,0.8,0,0.7,2.5,3.8,NA,1.2,0,3.4,15.8,-1.5,0.9,-3.1,"Hip.","02","C10","Cobertura","AFN","O","Dorm. S","São Paulo"
-0.2,1.3,0,0,0,1.1,1.4,0.5,4.2,0,NA,-1.7,0,0.6,0,-0.7,1.1,-4.5,"Hip.","02","C10","Cobertura","AFN","O","Sala","São Paulo"
