"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,4.7,3.5,3.8,2.2,2.9,3.4,2.9,0,2.9,NA,-4.3,2.1,10,-60,0.2,0,1.8,"Hip.","02","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-2.9,32.7,8.8,6.6,5.3,7,7.1,0,8,NA,-4,2.2,0,-35.7,0.5,-0.3,2.4,"Hip.","02","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
0,4.5,8.6,5.3,6.3,5,6.8,5.8,0,6.7,NA,-1.2,0,0.3,NA,-0.2,-0.3,2.9,"Hip.","02","SF","Intermediário","AFN","L","Sala","Curitiba"
-0.3,9.3,2.5,7.3,4.5,5,5.6,5.8,-1.9,3.1,NA,-7,5.3,14.3,-100,-0.4,0.6,-7.3,"Hip.","02","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.3,9.6,3.8,7.9,5.6,5.8,5.4,6.3,-1.9,6.5,NA,-6.9,2.7,19.2,-100,-0.5,0.9,-6.2,"Hip.","02","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.3,11.1,2.8,7.3,5.9,4.9,4.8,6.1,-3.9,7.4,NA,-2.6,2.8,1.7,NA,-1.5,0.9,-1.1,"Hip.","02","SF","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,9.3,2.5,7.3,5.5,5,4.7,5.8,-1.9,3,NA,-6.9,5.3,19,-100,-0.3,0.6,-7.3,"Hip.","02","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.3,9.3,4.4,7.9,5.3,5.8,6.4,6.1,-1.9,6.5,NA,-6.9,2.7,19.2,NA,-0.5,0.9,-6.2,"Hip.","02","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
0,11.1,2.8,7.3,4.7,4.9,6,6.1,-3.9,7.4,NA,-2.7,2.8,1.7,NA,-1.5,0.9,-0.6,"Hip.","02","SF","Intermediário","AFN","NO","Sala","Curitiba"
0,1.7,13.3,8.9,6.4,8,6.3,7.4,0,5.6,NA,-5.1,3.1,0,-75,0.3,-0.6,1.2,"Hip.","02","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,2.3,14.3,6.5,6.6,9.5,6.7,7.4,0,5.6,NA,-5,3.2,0,-66.7,0.2,-0.3,-3.4,"Hip.","02","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0,2.6,13.8,8.1,8.3,8.6,6.8,8.5,0,8.8,NA,-3.3,3.6,1.7,NA,-0.5,-0.3,2.3,"Hip.","02","SF","Intermediário","AFN","SE","Sala","Curitiba"
0,1.1,13.1,8.7,6.2,8.9,5.1,7.3,0,5.6,NA,-5,3.1,0,-66.7,0.2,-0.6,1.7,"Hip.","02","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,2.3,14.3,6.5,6.7,9.5,7.8,7.4,0,5.6,NA,-5,3.2,0,-66.7,0.2,-0.3,-3.4,"Hip.","02","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0,2.6,13.8,8.1,6.8,8.6,6.7,8,-1.8,8.8,NA,-3.2,3.6,1.3,NA,-0.4,-0.3,2.3,"Hip.","02","SF","Intermediário","AFN","SO","Sala","Curitiba"
-0.2,5,3.3,2.9,2.7,1.9,2.1,2.6,-2.2,2.7,NA,-3.8,2.1,0,-50,0.2,-0.3,0,"Hip.","02","SF","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-3.3,26.3,8.1,5.6,3.7,5.5,5.3,0,3.4,NA,-3.4,2.2,-7.1,-61.5,0.9,0,2.4,"Hip.","02","SF","Intermediário","AFN","O","Dorm. S","Curitiba"
0,6.2,2.8,3.3,4.9,3.1,3.1,3.8,0,4.2,NA,-1.1,0,0.2,NA,-0.2,-0.3,2.3,"Hip.","02","SF","Intermediário","AFN","O","Sala","Curitiba"
-0.5,2.1,4.2,1.9,1.6,1.5,2.2,1.7,-4,2.4,NA,-3.6,1.2,3,NA,-4,0.3,-0.5,"Hip.","02","SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.5,-6.4,28.3,3.8,3.2,3.3,2.8,2.9,0,3.3,NA,-2.9,0,2.1,NA,-2.3,-0.3,-0.5,"Hip.","02","SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
0,2.6,4.8,3,2.7,2.9,3.5,2.7,0,3.7,NA,-0.1,0,-0.1,NA,1.1,-0.3,1,"Hip.","02","SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
-1.1,10,-0.6,5.1,3.6,3.4,4.3,4,-4.7,2.9,NA,-6.1,2.3,4.2,NA,-12.1,0.5,1,"Hip.","02","SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-1.5,10.3,1.2,6,4.6,3.8,4.4,4.9,-4.7,3,NA,-6.2,2.5,4.2,NA,-13.7,0.5,0.5,"Hip.","02","SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.7,11.7,0.5,5.2,4.5,4.3,4.3,4.6,-5,5.1,NA,-2.5,0,0.5,NA,-13.9,0.5,1.5,"Hip.","02","SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-1.1,10,-1.2,4.5,4.3,3.5,3.7,4,-4.7,2.9,NA,-6.1,2.3,4,NA,-11.7,0.3,1,"Hip.","02","SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-1.5,10,1.2,6,4.4,3.8,4.6,4.9,-4.7,3,NA,-6.2,2.5,4.2,NA,-13.7,0.5,0.5,"Hip.","02","SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
