"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,-2.5,2.3,-0.8,0,0,0,0,2.1,-3.1,NA,3.5,-2,35.7,20.3,-2.1,0.9,-4.9,"Hip.","02","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.2,-6.4,3.8,-5.1,-2.9,-2.5,-2.1,-2.5,1.6,-3.8,NA,2.7,-2.1,30.8,18.5,-2.1,1.2,-5.1,"Hip.","02","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
0,-5.3,0,-2.7,-2.1,-1.3,-2.1,-1.8,2,-3.3,NA,0.8,0,0.3,1200,-4.1,1.5,-6.3,"Hip.","02","SF","Cobertura","AFN","L","Sala","Curitiba"
0,-5.2,1.4,-2.7,-0.9,-1.1,-2.1,-1.3,1.8,-3.6,NA,3.8,-2.9,30.8,26,-2.2,1.2,-8.5,"Hip.","02","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.3,-6.9,1.4,-3.6,-1.4,-1.7,-1.8,-2.1,1.9,-3.7,NA,4.1,-3,25,30.4,-2.3,0.9,-8.4,"Hip.","02","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.3,-6.6,0,-2.7,-2.2,-1.4,-1.1,-1.9,1.9,-2,NA,0.7,0,1,Inf,-2.1,0.9,-9.3,"Hip.","02","SF","Cobertura","AFN","NE","Sala","Curitiba"
0,-5.2,1.4,-2.7,-1,-1.1,-1.7,-1.6,1.8,-3.4,NA,3.8,-2.9,25.9,24,-2.2,1.2,-8.5,"Hip.","02","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.3,-6.9,1.4,-3.6,-1.8,-1.7,-2.2,-2.1,1.9,-3.7,NA,4.1,-3,25,28.3,-2.3,0.9,-8.4,"Hip.","02","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.3,-6.6,0,-2.7,-1.1,-1.4,-1.1,-2.2,1.9,-2,NA,0.6,0,1,Inf,-2.1,0.9,-9.3,"Hip.","02","SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.3,-1.6,2.9,0,0,-0.9,0,-0.3,3.3,0,NA,0.2,-3.3,47.1,28.8,-3.3,1.5,-8.5,"Hip.","02","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
