"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-0.5,-12.8,-0.9,3.1,1.4,-4.7,-1.3,0,-4,NA,0.5,0,-100,-26.3,0.6,-1.3,1.8,"Hip.","02","TV","Térreo","AFN","L","Dorm. N","Curitiba"
0,-1.1,52.6,32,37,5,11.7,19.5,3.8,5.3,NA,-1.2,2.8,-100,-39.4,1.4,-1,1.8,"Hip.","02","TV","Térreo","AFN","L","Dorm. S","Curitiba"
0,-1.8,-8.7,4.2,7.7,-1.6,-1.9,0.4,2.5,0,NA,0.1,0,-9.9,NA,1.6,-1.4,1.7,"Hip.","02","TV","Térreo","AFN","L","Sala","Curitiba"
0,2.9,-20.1,-2.2,-1.8,4.1,-5.1,-1.9,6.3,-8,NA,2.9,-2.7,-100,Inf,0,-2,6,"Hip.","02","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
0.3,3.6,-20.9,-3.8,-4.9,4,-4.9,-3.7,6.3,-4.2,NA,3.2,-2.8,-100,Inf,0,-2.4,0.6,"Hip.","02","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.5,3.6,-25.3,-5.8,-5.4,0,-6.4,-4.8,5.9,-5.1,NA,5.3,-3.2,-30.4,NA,5.8,-2.3,0.6,"Hip.","02","TV","Térreo","AFN","NE","Sala","Curitiba"
0,3.5,-20,-2.9,-5.1,4.1,-1.7,-1.9,6.3,-7.7,NA,2.8,-2.7,-100,Inf,0,-2,6,"Hip.","02","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
0.3,3.6,-20.9,-3.8,-4.9,4,-5,-3.7,6.3,-4.2,NA,3.2,-2.8,-100,Inf,0,-2.4,0.6,"Hip.","02","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.5,3.6,-25.3,-5.8,-6.3,0,-5.5,-4.8,5.9,-5.1,NA,5.4,-3.2,-30.4,NA,5.8,-2.7,0.6,"Hip.","02","TV","Térreo","AFN","NO","Sala","Curitiba"
0,-2,16.7,140,6.2,0.8,6,6,2.2,6.2,NA,-2.3,0,NA,0,0,-1.8,1.2,"Hip.","02","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
0,-2,14.7,100,5.3,0,5.6,5.9,2.2,6.2,NA,-2.2,3.1,NA,Inf,-0.1,-1.8,-5.1,"Hip.","02","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
0,-2.4,11,100,4,0,6.2,6.7,4.1,3.8,NA,-2.7,4,-4.2,NA,0.2,-1.8,1.7,"Hip.","02","TV","Térreo","AFN","SE","Sala","Curitiba"
0,-2,15.1,175,4.4,0.8,4.8,5.5,4.3,6.2,NA,-2,0,NA,-100,0.1,-1.8,1.7,"Hip.","02","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
0,-2,14.7,120,6.5,1.1,5.3,6.2,2.2,6.2,NA,-2.3,3.1,NA,Inf,-0.1,-1.8,-4,"Hip.","02","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
