"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,-1.7,-10.6,1,14.3,2.7,-1.4,1.4,0,0,Inf,-0.4,2.8,0,-3.9,0.2,-0.3,0.6,"Hip.","03","C10","Térreo","AFN","L","Dorm. N","Curitiba"
0,-1.8,70.4,11.1,112.5,4.8,6.1,29.4,2,6.2,NA,-1.9,2.9,Inf,-5.8,0.4,0,0.6,"Hip.","03","C10","Térreo","AFN","L","Dorm. S","Curitiba"
-0.2,-1.2,-4.4,5.4,38.5,0,23.2,15.5,2.6,-35.1,NA,-1.2,0,8.9,0,-1.3,0,0.6,"Hip.","03","C10","Térreo","AFN","L","Sala","Curitiba"
0,-0.6,-15.3,18.4,0,5.8,-1,6.8,3.2,0,NA,-0.3,0,0,-22.2,0.3,-0.7,0.6,"Hip.","03","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
0,0.7,-17.4,22.6,-0.7,8.7,-1.3,4.8,3.3,0,NA,-0.2,0,0,-50,0.2,-0.7,0,"Hip.","03","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.3,0,-20.7,52.1,7.7,6.2,-2.7,16.7,0,-27.8,NA,0.6,0,-7.2,NA,1.1,-0.7,0.6,"Hip.","03","C10","Térreo","AFN","NE","Sala","Curitiba"
0,0,-15.8,19,-1,5.8,-0.9,6.7,0,0,NA,-0.3,0,0,-22.2,0.3,-0.7,1.2,"Hip.","03","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
0,0,-17.5,21.5,-1.3,8.7,-1.4,4.6,3.3,0,NA,-0.2,0,0,-50,0.1,-0.7,0,"Hip.","03","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.3,0,-20.7,52.1,-2.7,6.2,7.7,17.1,0,-30.6,NA,0.6,0,-7.9,NA,1.1,-0.7,0.6,"Hip.","03","C10","Térreo","AFN","NO","Sala","Curitiba"
0,-0.5,14.3,18,5.3,-23.1,3.1,-6.8,4.5,0,NA,0.9,0,NA,-10,0.3,0.4,0.6,"Hip.","03","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
