"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.6,25.9,9.6,11.7,0.7,4.4,19.5,36.2,-3.3,2.6,0.1,-91.9,4.7,1.1,12,86.9,32.4,11.9,"Hip.","03","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
47.7,13.1,6.4,-6.8,-0.8,10.2,8.4,11.1,-5,2,0,-83.9,4.5,0.8,16.5,82.6,32.5,11.5,"Hip.","03","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
50.3,24.6,10.5,4.9,0.7,7.4,15.7,28.7,-3.7,3,0,-77.6,2.6,28,5.3,66.7,32.6,12,"Hip.","03","C10","Cobertura","AFN","L","Sala","Curitiba"
35.9,27,7.9,15.9,9.1,1.1,11,37.1,-4.2,2.5,0,-120.2,3.4,2.1,6.8,91.1,32.2,13.3,"Hip.","03","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
35.7,28.2,8.4,13,15.8,0.6,17.8,47.3,-4.2,2.5,0,-123.7,3.4,2.8,5.8,91.5,32.2,14,"Hip.","03","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.4,30.4,9.4,13.2,8.2,1.2,8.7,31.3,-4.3,3,0,-96.8,3.1,35.6,2.5,61.9,32.2,13.6,"Hip.","03","C10","Cobertura","AFN","NE","Sala","Curitiba"
35.9,27.2,8,16.1,11.1,1.1,10,38.3,-4.2,2.6,0,-121.1,3.4,2.2,6.7,91.1,32.3,13.3,"Hip.","03","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
35.7,28.1,8.4,13,17.9,0.6,15.7,47.2,-4.2,2.5,0,-123.8,3.4,2.8,5.8,91.5,32.2,14,"Hip.","03","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.4,30.4,9.3,13.2,8.6,1.2,8.2,31.2,-4.3,3,0,-96.9,3.1,35.6,2.5,61.9,32.2,13.6,"Hip.","03","C10","Cobertura","AFN","NO","Sala","Curitiba"
36.3,13.7,7.5,-5.6,7,9.6,6.9,18,-4.6,1.5,0,-86.4,2.8,1.1,13.8,85.2,31.9,12.3,"Hip.","03","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.1,14.8,7.9,-4,9.7,8,10.7,24.4,-4.5,1.5,0,-88.1,2.7,1.4,12.5,86.2,31.8,12.8,"Hip.","03","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39.9,15,8.4,-4,4.6,7.8,4.9,13.4,-4.7,1.7,0,-61.4,2.3,21.8,6.9,71.3,32.2,12.4,"Hip.","03","C10","Cobertura","AFN","SE","Sala","Curitiba"
